,건축물 대장 코드,동이름,건물이름,도로주소,용도,건축면적,대지면적
0,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
1,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
2,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
3,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
4,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
5,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
6,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
7,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
8,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
9,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
10,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
11,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
12,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
13,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
14,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
15,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
16,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
17,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
18,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
19,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
20,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
21,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
22,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
23,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
24,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
25,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
26,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
27,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
28,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
29,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
30,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
31,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
32,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
33,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
