dong,2~4분기유동인구,평균유동인구
화양동,77181.33333333333,77181.33333333333
군자동,72816.0,72816.0
중곡1동,67775.0,67775.0
중곡2동,90385.66666666667,90385.66666666667
중곡3동,81817.33333333333,81817.33333333333
중곡4동,32753.333333333332,32753.333333333332
능동,18315.333333333332,18315.333333333332
광장동,23038.666666666668,23038.666666666668
자양1동,132200.33333333334,132200.33333333334
자양2동,31029.666666666668,31029.666666666668
자양3동,74933.33333333333,74933.33333333333
자양4동,64753.333333333336,64753.333333333336
구의1동,135468.33333333334,135468.33333333334
구의2동,44902.333333333336,44902.333333333336
구의3동,44019.0,44019.0
