pkCd,payGb,discntHdcp,discntLpvhr,discntTrp,discntDub,discntWk,discntTen,discntMrt,tkGb,memo,pymntAmt,vhrNo,inoutGb,inDy,inTm,outDy,outTm,discntEtcNm,discntEtcRt
1426397,,,,,,,,,,,,43331291202210254b7d6879,1,20221025,085821,,,,
1473187,,,,,,,,,,,0,2160550797,1,20221025,090000,,,,
1568617,,,,,,,,,,,0,2924360229,1,20221025,090000,,,,
1426397,,,,,,,,,,,,4333129120221025ac4b9e28,2,20221025,085735,20221025,085908,,
885057,,,,,,,,,,,0,968225516,1,20221025,085914,,,,
1473187,,,,,,,,,,,0,2341439675,1,20221025,090000,,,,
1570437,,,,,,,,,,,0,3876794535,1,20221025,090000,,,,
173277,,,,,,,,,,,,148루1040,1,20221025,090300,,,,
1426397,,,,,,,,,,,,433312912022102501926ce3,1,20221025,094004,,,,
1029107,,,,,,,,,,,0,845480823,1,20221025,093959,,,,
1426397,,,,,,,,,,,,4333129120221025d27c1972,1,20221025,094007,,,,
1426397,,,,,,,,,,,,4333129120221025ce5c8e16,1,20221025,094007,,,,
1029107,,,,,,,,,,,0,2483927301,1,20221025,103948,,,,
1426397,,,,,,,,,,,,43331291202210254dc031f6,1,20221025,103959,,,,
1029107,,,,,,,,,,,0,3028792124,1,20221025,103952,,,,
885057,,,,,,,,,,,0,3246521430,2,20221025,084237,20221025,103947,,
1426397,,,,,,,,,,,,433312912022102517f1c8c9,1,20221025,104027,,,,
1426397,,,,,,,,,,,,43331291202210255eba2908,1,20221025,104041,,,,
1570437,,,,,,,,,,,0,2542945001,1,20221025,120100,,,,
173437,,,,,,,,,,,0,1771404394,1,20221025,120229,,,,
1029107,,,,,,,,,,,0,2016804605,1,20221025,120242,,,,
1029107,,,,,,,,,,,0,683266210,2,20221025,111140,20221025,120233,,
1029107,,,,,,,,,,,0,243854581,1,20221025,120300,,,,
1426397,,,,,,,,,,,,43331291202210250d4709b0,2,20221025,120246,20221025,120339,,
173437,,,,,,,,,,,0,2776952563,2,20221025,105246,20221025,120546,,
1029107,,,,,,,,,,,0,2774986571,2,20221025,120019,20221025,120631,,
1029107,,,,,,,,,,,0,687205572,2,20221025,115458,20221025,120658,,
1426397,,,,,,,,,,,,4333129120221025842be537,1,20221025,121417,,,,
173447,,,,,,,,,,,0,474315748,1,20221025,121459,,,,
173277,,,,,,,,,,,3700,182구9648,2,20221025,091000,20221025,121500,,
1426397,,,,,,,,,,,,433312912022102558581c8d,1,20221025,123041,,,,
1029107,,,,,,,,,,,0,1421911875,1,20221025,123127,,,,
1426397,,,,,,,,,,,,4333129120221025c20eaa85,2,20221025,123047,20221025,123137,,
173437,,,,,,,,,,,0,3693682148,2,20221025,064515,20221025,124415,,
1056837,,,,,,,,,,,0,3640625994,1,20221025,124431,,,,
1029107,,,,,,,,,,,0,315546750,2,20221025,122625,20221025,124516,,
1426397,,,,,,,,,,,,43331291202210250c2c69b0,2,20221025,121540,20221025,130753,,
1426397,,,,,,,,,,,,4333129120221025bbb0b88e,1,20221025,130759,,,,
1892067,,,,,,,,,,,,51고9514,1,20221025,130800,,,,
1029107,,,,,,,,,,,0,618996890,1,20221025,130804,,,,
1029107,,,,,,,,,,,0,3809090870,1,20221025,130800,,,,
1029107,,,,,,,,,,,0,185033829,1,20221025,130847,,,,
1426397,,,,,,,,,,,,433312912022102598e852ab,2,20221025,101105,20221025,132154,,
1892067,,,,,,,,,,,,50다3575,1,20221025,132200,,,,
1892067,1,N,N,N,N,,,N,,,,경기90사4121,2,20221025,130500,20221025,132100,,
1426397,,,,,,,,,,,,433312912022102519063bf0,2,20221025,070339,20221025,132213,,
1426397,,,,,,,,,,,,43331291202210256e522997,2,20221025,081628,20221025,133854,,
173437,,,,,,,,,,,0,2792798313,1,20221025,133838,,,,
1473187,,,,,,,,,,,0,931280987,1,20221025,133900,,,,
1029107,,,,,,,,,,,0,719522051,1,20221025,133956,,,,
949857,,,,,,,,,,,0,2248788075,1,20221025,133927,,,,
1056837,,,,,,,,,,,0,1789451913,2,20221025,124411,20221025,134054,,
1426397,,,,,,,,,,,,4333129120221025f61830c6,1,20221025,141009,,,,
1426397,,,,,,,,,,,,43331291202210251f8dbad9,2,20221025,135742,20221025,141012,,
949857,,,,,,,,,,,0,2567691299,2,20221025,072451,20221025,140800,,
1426397,,,,,,,,,,,,4333129120221025f7ece6b7,2,20221025,140940,20221025,141050,,
1426397,,,,,,,,,,,,43331291202210257edff195,1,20221025,141057,,,,
1426397,,,,,,,,,,,,433312912022102522502f20,1,20221025,141109,,,,
1426397,,,,,,,,,,,,4333129120221025b5b92b61,2,20221025,135624,20221025,141109,,
