고유번호,구코드,법정동코드,동명,위도,경도,노상/노외/부설/주차장구분
1627724,11215,10200,능동,37.552251,127.088208,1
1627725,11215,10300,구의동,37.549023,127.085946,1
1627728,11215,10300,구의동,37.548965,127.085803,1
1627731,11215,10300,구의동,37.548883,127.085671,1
1627733,11215,10300,구의동,37.548816,127.08559,1
1627736,11215,10700,화양동,37.545328,127.074527,1
1627737,11215,10700,화양동,37.545347,127.074459,1
1627738,11215,10700,화양동,37.545368,127.074389,1
1627740,11215,10700,화양동,37.545407,127.074246,1
1627743,11215,10700,화양동,37.545152,127.075644,1
1627747,11215,10500,자양동,37.531205,127.072483,1
1627749,11215,10500,자양동,37.530964,127.07258,1
1627742,11215,10700,화양동,37.545092,127.075385,1
1574713,11215,10500,자양동,37.53084219,127.08822117,3
1574717,11215,10100,중곡동,37.55808177,127.0936476,3
1628496,11215,10300,구의동,37.542495,127.094044,1
866084,11215,10700,화양동,37.54747217,127.06779904,3
1627726,11215,10300,구의동,37.549003,127.085901,1
1627741,11215,10700,화양동,37.54493,127.075046,1
1626890,11215,10100,중곡동,37.561509,127.095784,1
1626938,11215,10300,구의동,37.55056,127.095608,1
1626959,11215,10100,중곡동,37.556454,127.093434,1
1626972,11215,10100,중곡동,37.559455,127.094394,1
1626987,11215,10100,중곡동,37.558949,127.093725,1
1627038,11215,10100,중곡동,37.559264,127.092009,1
1627060,11215,10100,중곡동,37.563135,127.086226,1
1627077,11215,10100,중곡동,37.560438,127.086844,1
1627102,11215,10100,중곡동,37.560464,127.085693,1
1627122,11215,10100,중곡동,37.558849,127.089172,1
1627152,11215,10100,중곡동,37.564914,127.087934,1
1627179,11215,10100,중곡동,37.565271,127.087813,1
1627216,11215,10100,중곡동,37.561244,127.084233,1
1627255,11215,10100,중곡동,37.5586,127.091446,1
1627275,11215,10100,중곡동,37.56011,127.087914,1
1627289,11215,10100,중곡동,37.559846,127.088886,1
1627301,11215,10100,중곡동,37.558835,127.088803,1
1627324,11215,10100,중곡동,37.558747,127.091048,1
1627351,11215,10500,자양동,37.536002,127.069747,1
1627367,11215,10200,능동,37.551933,127.087293,1
1627407,11215,10100,중곡동,37.565677,127.078731,1
1627423,11215,10500,자양동,37.535533,127.069617,1
1628618,11215,10200,능동,37.551685,127.085574,1
1629469,11215,10100,중곡동,37.570146,127.084449,1
1629483,11215,10300,구의동,37.542519,127.085964,1
1629500,11215,10400,광장동,37.54567,127.103992,1
1627817,11215,10100,중곡동,37.566509,127.078615,1
1627790,11215,10200,능동,37.551786,127.077179,1
1627845,11215,10100,중곡동,37.561731,127.077412,1
1627896,11215,10100,중곡동,37.558387,127.084436,1
1628632,11215,10100,중곡동,37.569284,127.084849,1
1628651,11215,10400,광장동,37.54604,127.103778,1
1629535,11215,10700,화양동,37.544935,127.067922,1
1629575,11215,10500,자양동,37.531984,127.08756,1
1627860,11215,10100,중곡동,37.561671,127.078111,1
1627872,11215,10100,중곡동,37.566423,127.078618,1
1627894,11215,10100,중곡동,37.558494,127.084141,1
