시군구,계,합계면수,차량대비면수
강남구,245487,413898,168.60281807183273
강동구,151959,209959,138.1681901039096
강북구,75122,96636,128.63874763717686
강서구,206522,315812,152.91930157561907
관악구,118273,153960,130.17341235954106
광진구,99115,134389,135.58896231650104
구로구,146038,191823,131.35142908010243
금천구,90501,139148,153.75299720445076
노원구,152375,178194,116.94438063986874
도봉구,95608,110933,116.0289933896745
동대문구,98603,148103,150.20131233329613
동작구,106417,137661,129.3599706813761
마포구,121250,199423,164.47257731958763
서대문구,89542,132942,148.46887494136828
서초구,176494,310949,176.18105997937607
성동구,106021,134544,126.90316069457938
성북구,122216,155254,127.03246710741638
송파구,249256,339227,136.09582116378343
양천구,151342,166327,109.90141533744765
영등포구,145490,203359,139.77524228469312
용산구,75234,118632,157.68402583938112
은평구,133791,176603,131.99916287343694
종로구,50756,92062,181.38151154543306
중구,59744,109153,182.70119175147295
중랑구,115099,132884,115.45191530769164
