gu,1분기유동인구,2~4분기유동인구,평균유동인구
종로구,20743,20502.333333333332,20622.666666666664
중구,48398,46679.333333333336,47538.66666666667
용산구,27337,26499.0,26918.0
성동구,41003,39633.333333333336,40318.16666666667
광진구,53780,52720.666666666664,53250.33333333333
동대문구,69151,68126.0,68638.5
중랑구,54318,53318.0,53818.0
성북구,44807,43859.666666666664,44333.33333333333
강북구,37203,36006.333333333336,36604.66666666667
도봉구,30719,29904.0,30311.5
노원구,27407,26800.0,27103.5
은평구,39097,38514.666666666664,38805.83333333333
서대문구,53376,51838.333333333336,52607.16666666667
마포구,44681,43455.666666666664,44068.33333333333
양천구,48513,46759.333333333336,47636.16666666667
강서구,27480,27387.333333333332,27433.666666666664
구로구,37201,36647.666666666664,36924.33333333333
금천구,31894,30864.666666666668,31379.333333333336
영등포구,44888,43906.0,44397.0
동작구,50922,49442.666666666664,50182.33333333333
관악구,44950,43358.0,44154.0
서초구,20415,19963.333333333332,20189.166666666664
강남구,36380,35103.333333333336,35741.66666666667
송파구,37948,36688.333333333336,37318.16666666667
강동구,46523,44006.333333333336,45264.66666666667
