"동별(1)",동별(2),2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),합계 (명),합계 (명),합계 (명)
"동별(1)",동별(2),소계,남자,여자
"합계",소계,9664666,4672790,4991876
"합계",종로구,152167,72977,79190
"합계",중구,130862,63390,67472
"합계",용산구,232804,112817,119987
"합계",성동구,287447,139319,148128
"합계",광진구,350820,168004,182816
"합계",동대문구,353869,172033,181836
"합계",중랑구,390018,191231,198787
"합계",성북구,441586,210974,230612
"합계",강북구,297265,143739,153526
"합계",도봉구,313137,151746,161391
"합계",노원구,507104,243605,263499
"합계",은평구,469489,223342,246147
"합계",서대문구,320887,150867,170020
"합계",마포구,376183,175195,200988
"합계",양천구,443160,216468,226692
"합계",강서구,574062,275161,298901
"합계",구로구,418282,206350,211932
"합계",금천구,242503,122554,119949
"합계",영등포구,398657,196438,202219
"합계",동작구,389322,187634,201688
"합계",관악구,501998,251078,250920
"합계",서초구,409220,195387,213833
"합계",강남구,534971,255810,279161
"합계",송파구,664553,319594,344959
"합계",강동구,464300,227077,237223
