,동이름,건물이름,도로주소,주용도,기타용도,건축면적,대지면적
0,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
1,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
2,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
3,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
4,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
5,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
6,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
7,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
8,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
9,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
10,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
11,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
12,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
13,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
14,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
15,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
