역명,승차총승객수,하차총승객수
수서,7370,7076
학여울,461,473
대청,3224,2903
일원,3321,2803
창동,1,0
신설동,4939,4733
동대문,6486,6390
종로5가,7975,7922
서울역,18398,16926
동묘앞,7240,7366
시청,5604,5006
종각,9977,8864
종로3가,11017,9630
구로디지털단지,18363,18352
신대방,11652,11727
신림,29564,29162
봉천,9207,8941
서울대입구(관악구청),20142,20315
낙성대(강감찬),11148,10973
사당,15292,16173
방배,4297,4484
서초,4010,3348
교대(법원.검찰청),6678,7333
강남,26200,24977
역삼,8239,8524
선릉,9197,7746
삼성(무역센터),15003,13937
종합운동장,3428,3504
잠실새내,8404,8750
잠실(송파구청),35454,33619
잠실나루,3594,3660
강변(동서울터미널),14225,13711
구의(광진구청),8872,8862
건대입구,21954,23039
성수,9220,10042
뚝섬,6067,5964
한양대,1359,1517
왕십리(성동구청),6953,6214
상왕십리,5212,5043
신당,6015,6529
동대문역사문화공원(DDP),5620,6213
을지로4가,2568,2350
을지로3가,5883,5290
을지로입구,10825,9485
시청,4137,2961
청량리(서울시립대입구),9400,9553
제기동,7244,7259
이대,4692,4938
일산,3367,3452
탄현,3023,3009
복정,1,0
신촌,15120,14485
홍대입구,38842,38438
합정,13993,14840
당산,6288,7044
영등포구청,5631,5554
문래,5480,5672
신도림,18150,18655
대림(구로구청),10717,11703
지평,24,40
용문,1171,1224
원덕,171,190
양평,1432,1481
오빈,144,142
아신,278,314
국수,337,378
신원,110,108
양수,1149,1169
운길산,689,667
팔당,838,820
도심,868,795
덕소,2626,2727
양정,277,203
도농,3751,3812
구리,5372,5743
양원,655,680
망우,3549,3588
상봉(시외버스터미널),2911,2736
중랑,2451,2381
회기,10723,10388
신창(순천향대),606,603
온양온천,2469,2493
배방,577,558
탕정,197,180
아산,1705,1503
쌍용(나사렛대),819,791
봉명,401,354
대화,4677,4190
주엽,3259,3354
정발산,3824,3861
마두,2568,2642
백석,4287,4281
대곡,721,534
화정,7575,7999
원당,4609,4594
삼송,8752,8588
원흥,3952,3997
신설동,791,844
보문,741,656
성신여대입구(돈암),1771,2160
정릉,1969,1772
북한산보국문,2808,2504
솔샘,2149,2052
삼양사거리,1183,1215
삼양,934,985
화계,1597,1464
가오리,1814,1754
4.19민주묘지,1374,1227
솔밭공원,1073,1012
북한산우이,2603,2554
수리산,1548,1470
오이도,5359,5296
정왕,4086,4310
신길온천,869,821
안산,7473,7880
초지,1778,1866
고잔,3162,3166
중앙,9574,9814
한대앞,4099,4233
상록수,7257,7467
반월,1970,1970
대야미,2182,1982
산본,6805,6259
인천,1172,1569
신포,1010,992
숭의,1636,1500
인하대,2640,2546
송도,1354,1324
연수,2297,2372
원인재,2188,2402
남동인더스파크,441,362
호구포,1548,1489
인천논현,2600,2694
소래포구,3911,3837
월곶,1348,1284
달월,38,55
사리,2162,1974
야목,152,122
어천,427,416
오목천,1239,1112
고색,1544,1512
매교,1075,1049
수원시청,6412,6209
매탄권선,2034,2085
망포,5250,5034
영통,4036,3958
청명,1364,1469
상갈,2335,2371
기흥,3933,3873
신갈,1426,1522
구성,1805,1908
죽전,5099,5796
보정,833,801
이매,2019,2134
오리,4144,3475
미금,5774,6011
정자,5621,5722
수내,3887,3641
서현,11052,10765
야탑,9563,10027
모란,8977,9270
태평,6305,5972
가천대,2542,2988
선정릉,1210,1218
강남구청,2024,2355
압구정로데오,5891,6496
서울숲,3164,3292
수원,4789,4007
수서,5513,5557
대모산입구,1430,1409
개포동,1114,1121
구룡,468,542
도곡,1858,1799
한티,5769,5517
선릉,1980,2837
범계,10536,10290
평촌,4657,4604
인덕원,8031,8303
정부과천청사,3162,3153
과천,2325,2194
대공원,1856,1869
경마공원,378,371
선바위,2468,2233
영종,1904,1839
인천공항2터미널,1684,1522
인천공항1터미널,3601,3377
공항화물청사,1055,1057
운서,4110,4080
청라국제도시,2333,2353
검암,2523,2697
계양,3715,3735
김포공항,8828,4204
마곡나루(서울식물원),1551,1591
디지털미디어시티,2655,2457
홍대입구,6979,6898
공덕,805,1177
서울역,4845,4299
춘천,976,904
남춘천,1573,1664
김유정,207,200
강촌,304,319
백양리,326,255
굴봉산,118,122
가평,1183,1126
상천,151,146
청평,1089,1001
대성리,391,247
마석,1805,1841
천마산,800,805
평내호평,2636,2550
금곡,643,614
사릉,1227,1256
퇴계원,1457,1421
별내,1348,1285
갈매,996,977
신내,652,648
도화,1894,1826
중동,3811,3747
온수(성공회대입구),2784,2648
도원,1306,1401
간석,2500,2449
부개,3717,3559
소사,3831,3896
구일,2408,2385
인천,3511,2837
동인천,7494,7323
제물포,4285,4358
주안,9520,8463
동암,7406,7824
백운,3037,3105
부평,19542,21240
송내,9835,9716
부천,18252,18977
역곡,11594,11696
오류동,5400,5191
개봉,8815,9030
임진강,56,73
문산,2792,2863
파주,482,424
월롱,757,813
금촌,3655,3696
금릉,2226,2242
운정,2739,2779
야당,4003,3880
풍산,2502,2511
백마,2377,2411
곡산,223,222
능곡,1562,1524
행신,2954,3044
강매,1078,1085
화전,515,449
수색,677,686
디지털미디어시티,1025,905
가좌,2017,1980
홍대입구,1134,1294
서강대,929,856
공덕,1251,1060
효창공원앞,934,1056
신촌,181,212
서울역,687,726
소요산,2218,1982
동두천,959,1154
보산,883,991
동두천중앙,1617,1626
지행,3454,3406
덕정,2668,2576
덕계,1203,1182
양주,3605,3514
녹양,2000,2031
가능,2996,2855
의정부,10507,10890
회룡,5162,5301
망월사,3245,3429
도봉산,5421,3866
도봉,2638,2480
방학,4376,4204
녹천,1934,1633
월계,2796,2675
광운대,3040,3166
석계,3821,4189
신이문,3480,3310
외대앞,3374,3345
청량리(서울시립대입구),9450,9171
왕십리(성동구청),7197,8126
응봉,876,794
옥수,28,28
한남,1487,1363
서빙고,750,695
이촌(국립중앙박물관),1274,1053
광명,1527,1276
서동탄,502,526
당정,2205,2137
천안,3883,4082
두정,2964,2944
직산,395,364
성환,1878,1795
평택,8433,8221
평택지제,1715,1621
서정리,3572,3493
송탄,2889,2713
진위,627,568
오산,6174,6117
오산대,1757,1558
세마,1243,1182
병점,7334,7617
세류,1498,1549
독산,4704,4655
수원,24644,25858
화서,2910,2947
성균관대,5914,6247
의왕,3292,3300
군포,2476,2230
금정,10218,10393
명학,2482,2353
안양,10329,10440
관악,3254,3061
석수,3675,3478
금천구청,4596,4650
가산디지털단지,3643,5070
구로,7339,7617
신길,3252,2893
신도림,1490,1275
영등포,24257,24411
대방,4284,4259
노량진,5028,4908
용산,22345,22394
남영,3089,3046
서울역,3983,1105
여주,1329,1328
세종대왕릉,161,195
부발,1223,1233
이천,1644,1720
신둔도예촌,589,579
곤지암,1251,1182
초월,1169,1135
경기광주,2922,3062
삼동,749,681
이매,519,317
판교,1427,1260
중앙보훈병원,2192,2310
둔촌오륜,301,293
올림픽공원(한국체대),5633,5455
한성백제,931,822
송파나루,2349,2546
석촌,3312,2852
석촌고분,2375,2318
삼전,2776,2658
종합운동장,1485,1472
봉은사,6418,6599
삼성중앙,1369,1342
선정릉,1905,2062
언주,2197,2177
신논현,11872,11567
사평,1135,1165
고속터미널,5747,8054
신반포,915,923
구반포,374,367
동작(현충원),979,871
흑석(중앙대입구),2765,2866
노들,1846,1592
노량진,11914,12084
샛강,1321,1284
여의도,4901,4639
국회의사당,2450,2192
당산,6380,6129
선유도,2097,2041
신목동,1286,1123
염창,6195,6059
등촌,3980,4040
증미,2496,2544
가양,7454,7393
양천향교,3038,3065
마곡나루(서울식물원),3936,3840
신방화,2613,2658
공항시장,1414,1491
김포공항,5785,7500
개화,888,806
남위례,1367,1592
모란,2208,1927
수진,2462,2262
신흥,2273,2602
단대오거리,4316,4142
남한산성입구(성남법원.검찰청),5323,5004
산성,2435,2447
복정,3374,3023
장지,7522,7404
문정,3686,3717
가락시장,2644,2828
송파,2576,2707
석촌,3107,3797
잠실(송파구청),8337,9287
몽촌토성(평화의문),2779,2571
강동구청,3371,3526
천호(풍납토성),6431,7632
암사,6855,6471
부평구청,1,0
굴포천,2,0
부천시청,1,0
신중동,3,0
온수(성공회대입구),2839,3001
천왕,3682,3662
광명사거리,9727,9687
철산,7963,8160
가산디지털단지,9016,7932
남구로,5309,5399
대림(구로구청),5540,5581
신풍,4307,4136
보라매,3071,2998
신대방삼거리,6131,5963
장승배기,3472,3561
상도,3968,3758
숭실대입구(살피재),3870,4157
남성,4096,3940
이수,5921,5493
내방,3514,3427
고속터미널,6805,4829
반포,2099,2027
논현,4681,4739
학동,3245,3172
강남구청,3317,3470
청담,4282,4279
뚝섬유원지,3864,3658
건대입구,6113,6462
어린이대공원(세종대),4664,4507
군자(능동),5938,4709
중곡,3969,3847
아현,3624,3682
용마산(용마폭포공원),2554,2749
사가정,6932,6677
면목,6160,6241
상봉(시외버스터미널),7178,6724
중화,4220,4206
먹골,4191,4164
태릉입구,3370,3161
공릉(서울과학기술대),4812,4860
하계,6656,6447
중계,5003,4677
노원,7963,8076
마들,5163,5126
수락산,5660,5453
도봉산,3393,5082
장암,726,529
봉화산(서울의료원),2943,2985
화랑대(서울여대입구),3640,3191
태릉입구,2249,2439
석계,5057,5057
돌곶이,3505,3169
상월곡(한국과학기술연구원),2265,1980
월곡(동덕여대),4090,4232
고려대(종암),2874,2802
안암(고대병원앞),3170,3182
보문,2841,2727
창신,1309,1104
동묘앞,4065,3980
신당,3539,3001
청구,1258,1237
약수,1197,1206
버티고개,782,870
한강진,5417,6074
이태원,7952,7914
녹사평(용산구청),2710,2610
삼각지,2519,1941
효창공원앞,2388,2105
공덕,5045,4766
대흥(서강대앞),2752,2770
광흥창(서강),2822,2715
상수,4796,5142
합정,6695,6122
망원,7118,7554
마포구청,5295,4801
월드컵경기장(성산),2867,2883
디지털미디어시티,3843,3953
증산(명지대앞),4364,4537
새절(신사),4975,5010
구산,2969,2258
독바위,1225,1442
불광,2301,2062
역촌,1514,1880
응암,7342,7591
하남검단산,3509,3422
하남시청(덕풍·신장),3074,2964
하남풍산,1684,1772
미사,6848,6830
강일,1527,1558
마천,2732,2942
거여,3095,3109
개롱,2085,2304
오금,1080,1041
방이,2789,2757
올림픽공원(한국체대),2184,2150
둔촌동,3208,3233
상일동,4982,4848
고덕,3515,3454
명일,3191,3429
굽은다리(강동구민회관앞),4329,4090
길동,3397,3534
강동,6644,6329
천호(풍납토성),9009,8308
광나루(장신대),5727,5762
아차산(어린이대공원후문),9533,9281
군자(능동),4671,5286
장한평,5610,5604
답십리,5872,5566
마장,2302,2166
왕십리(성동구청),2005,2381
행당,2816,2563
신금호,2302,2414
청구,1437,1325
동대문역사문화공원(DDP),672,778
을지로4가,1163,1289
종로3가,7197,6625
광화문(세종문화회관),8245,7887
서대문,3995,3793
충정로(경기대입구),1029,980
애오개,1995,1911
공덕,3249,3303
마포,3732,3718
여의나루,3296,3376
여의도,4712,5120
신길,1375,1483
영등포시장,3730,3872
영등포구청,986,907
양평,1828,1869
오목교(목동운동장앞),7333,7737
목동,5641,5864
신정(은행정),4971,4549
까치산,12401,12296
화곡,11204,10584
우장산,4987,5287
발산,7230,7644
마곡,2606,2607
송정,3160,2982
김포공항,5736,5212
개화산,2253,2366
방화,2873,2870
쌍문,11661,11083
창동,11195,12193
노원,9287,10239
상계,8017,7693
당고개,5762,5674
남태령,437,372
사당,10613,9321
총신대입구(이수),7163,7857
동작(현충원),766,802
이촌(국립중앙박물관),2154,2461
신용산,5930,6093
삼각지,1657,2037
충정로(경기대입구),2661,2761
용답,1334,1385
신답,512,551
신설동,1801,1806
도림천,332,348
양천구청,2299,2518
신정네거리,3834,4073
용두(동대문구청),889,882
지축,1580,1532
구파발,8761,9006
연신내,16671,15993
불광,7261,8298
녹번,5319,4904
홍제,7002,6640
무악재,1416,1550
독립문,3120,3377
경복궁(정부서울청사),7916,8217
안국,6901,7218
종로3가,3034,4181
을지로3가,2345,2163
동대입구,3319,3865
약수,4669,4528
금호,2920,2819
옥수,3543,3641
압구정,7726,7982
신사,9269,9133
잠원,1488,1587
고속터미널,21392,21318
교대(법원.검찰청),2419,1533
남부터미널(예술의전당),8813,8988
양재(서초구청),8646,9105
매봉,2829,2774
도곡,1330,1263
대치,4906,5067
숙대입구(갈월),4439,4172
서울역,3123,6657
회현(남대문시장),6552,7068
명동,12174,12386
