구별,승차총승객수,하차총승객수,총승객수
강남구,19304.14285714286,19938.85714285714,39242.90476190476
강동구,9944.642857142857,9759.642857142857,19704.14285714286
강북구,22947.0,22560.333333333332,45507.666666666664
강서구,12976.888888888889,12552.111111111111,25529.222222222223
관악구,30948.25,29882.75,60831.25
광진구,16128.90909090909,15885.636363636364,32014.636363636364
구로구,16973.75,16989.375,33963.125
금천구,25051.0,26193.0,51244.0
노원구,12072.538461538461,11778.692307692309,23851.384615384617
도봉구,17297.666666666668,16777.666666666668,34075.0
동대문구,10426.333333333334,10420.333333333334,20846.666666666668
동작구,14362.083333333334,14036.583333333334,28398.75
마포구,12114.4375,12481.5,24595.8125
서대문구,7659.2,7676.0,15335.4
서초구,17011.166666666668,17169.916666666668,34181.333333333336
성동구,10219.285714285714,10377.785714285714,20596.928571428572
성북구,9957.333333333334,9657.222222222223,19614.555555555555
송파구,10218.851851851852,10241.777777777777,20460.74074074074
양천구,12325.6,12385.0,24710.8
영등포구,12745.916666666666,13092.0,25837.833333333332
용산구,8156.0,8409.888888888889,16566.0
은평구,11668.846153846154,11266.76923076923,22935.846153846152
종로구,17520.0,17593.928571428572,35114.142857142855
중구,12057.9,12311.15,24369.15
중랑구,9023.125,8767.75,17790.75
