사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201609,2호선,강변,63,10,10447,4894,31657,41654,102197,46650,147372,64658,107161,59198,88454,57493,83143,59627,80990,70409,83159,76621,77629,82284,79428,93640,84337,101508,95483,112608,99275,145203,85256,133591,75170,93113,69504,85358,49194,78817,19565,44500,2911,10194,62,262,0,23,0,0,20161008
201608,2호선,강변,84,2,11325,5221,33745,44927,107110,52224,154127,71299,114835,68751,97182,63851,92775,63092,88538,71476,86188,84603,78036,85225,80314,95707,83126,101655,95039,114552,100005,156035,86543,139617,76179,97406,73207,89063,54367,84951,23739,46771,3356,10841,3,34,1,0,0,0,20160908
201607,2호선,강변,64,2,11321,4934,34709,41767,108706,47531,157704,74308,117801,67199,97524,61782,91840,60237,89438,70178,86258,81425,78166,86875,79648,95015,82732,104393,93570,116031,100094,157636,83828,140727,72874,96749,69360,90435,52648,86020,21841,47155,3160,11133,4,137,0,0,0,0,20160808
201606,2호선,강변,85,2,11696,5222,36108,41672,111652,48691,158573,76444,114205,66053,93394,59120,87501,57511,83376,65900,83064,76094,77282,82556,78085,94176,81725,101873,93249,112928,99923,151301,86604,137352,71270,94915,69802,87829,51049,84808,20982,47380,3066,11980,1,98,0,0,0,0,20160708
201605,2호선,강변,47,2,11572,5439,36402,46923,110703,52361,163117,71865,121583,66792,100558,62852,94602,61063,89268,70084,87478,80803,82739,88154,82443,101355,88092,111605,100490,124627,107075,159065,95646,146753,81300,104637,68638,92577,57094,90368,25616,51259,3125,12680,4,200,0,0,0,0,20160608
201604,2호선,강변,42,1,10700,4459,34879,39860,110500,48201,161136,68200,116472,64202,95914,59292,91005,58687,87124,66317,86586,76010,82079,84241,81068,95729,83716,105870,95010,118225,98906,154245,88454,141667,75382,99770,64814,91144,52064,84481,21341,48574,2859,11659,7,80,0,0,0,0,20160508
201603,2호선,강변,23,0,10881,3905,34924,36211,119414,46308,173229,65532,121154,61873,96428,57646,90160,57365,86387,66199,86005,75620,81563,84151,82438,97210,87659,107957,98920,119882,103319,158919,90416,147557,74515,101579,59250,92759,46803,88215,18721,49270,2773,11680,8,255,0,0,0,0,20160408
201602,2호선,강변,32,1,9241,3885,26574,32493,88091,37596,136595,58780,103847,60473,91823,57840,88336,59862,87957,69027,89034,78876,83793,85313,82420,95405,82865,101825,88831,108657,90724,139665,80393,130824,66593,89737,54826,79318,42011,74171,18069,41438,2680,10200,54,110,5,14,0,0,20160308
201601,2호선,강변,32,0,9835,4218,29662,31885,97125,37493,151299,60823,110092,58992,92801,57355,93648,60582,90778,69113,91443,78123,83534,84879,84059,96200,85176,103851,91851,114325,96138,149776,81412,137472,66964,94353,54269,82627,42166,78686,16968,45754,2112,10119,1,1,0,0,0,0,20160208
201512,2호선,강변,29,2,10662,4659,31535,35822,105642,41086,165249,66521,118989,63159,103169,62701,100118,67277,95603,73939,96090,82493,91664,92853,91964,108027,96665,115664,105848,127898,108881,162403,91160,144052,75407,102105,60950,93314,47180,89315,19698,55468,3258,14583,76,528,0,4,0,0,20160108
