시도명,시군구명,단속년월,단속건수
서울특별시,강동구,2011-01,8097
서울특별시,강동구,2011-02,6844
서울특별시,강동구,2011-03,9705
서울특별시,강동구,2011-04,9226
서울특별시,강동구,2011-05,9740
서울특별시,강동구,2011-06,10054
서울특별시,강동구,2011-07,9543
서울특별시,강동구,2011-08,11170
서울특별시,강동구,2011-09,9294
서울특별시,강동구,2011-10,10489
서울특별시,강동구,2011-11,11757
서울특별시,강동구,2011-12,9511
서울특별시,강동구,2012-01,8186
서울특별시,강동구,2012-02,10201
서울특별시,강동구,2012-03,9667
서울특별시,강동구,2012-04,9079
서울특별시,강동구,2012-05,9384
서울특별시,강동구,2012-06,7095
서울특별시,강동구,2012-07,9800
서울특별시,강동구,2012-08,9610
서울특별시,강동구,2012-09,7671
서울특별시,강동구,2012-10,9757
서울특별시,강동구,2012-11,10622
서울특별시,강동구,2012-12,5527
서울특별시,강동구,2013-01,7975
서울특별시,강동구,2013-02,7373
서울특별시,강동구,2013-03,10156
서울특별시,강동구,2013-04,10270
서울특별시,강동구,2013-05,9974
서울특별시,강동구,2013-06,9788
서울특별시,강동구,2013-07,11178
서울특별시,강동구,2013-08,10057
서울특별시,강동구,2013-09,7916
서울특별시,강동구,2013-10,9818
서울특별시,강동구,2013-11,9303
서울특별시,강동구,2013-12,8118
서울특별시,강동구,2014-01,8667
서울특별시,강동구,2014-02,8988
서울특별시,강동구,2014-03,9924
서울특별시,강동구,2014-04,9011
서울특별시,강동구,2014-05,7880
서울특별시,강동구,2014-06,7389
서울특별시,강동구,2014-07,9584
서울특별시,강동구,2014-08,8461
서울특별시,강동구,2014-09,7524
서울특별시,강동구,2014-10,9399
서울특별시,강동구,2014-11,9132
서울특별시,강동구,2014-12,8141
서울특별시,강동구,2015-01,9708
서울특별시,강동구,2015-02,6772
서울특별시,강동구,2015-03,9593
서울특별시,강동구,2015-04,7888
서울특별시,강동구,2015-05,7190
서울특별시,강동구,2015-06,7852
서울특별시,강동구,2015-07,8707
서울특별시,강동구,2015-08,7986
서울특별시,강동구,2015-09,7236
서울특별시,강동구,2015-10,7341
서울특별시,강동구,2015-11,8108
서울특별시,강동구,2015-12,8694
서울특별시,강동구,2016-01,7088
서울특별시,강동구,2016-02,6292
서울특별시,강동구,2016-03,11727
서울특별시,강동구,2016-04,10408
서울특별시,강동구,2016-05,9226
서울특별시,강동구,2016-06,8948
서울특별시,강동구,2016-07,9772
서울특별시,강동구,2016-08,9427
서울특별시,강동구,2016-09,7514
서울특별시,강동구,2016-10,8431
서울특별시,강동구,2016-11,9053
서울특별시,강동구,2016-12,9524
서울특별시,강동구,2017-01,8303
서울특별시,강동구,2017-02,10506
서울특별시,강동구,2017-03,11355
서울특별시,강동구,2017-04,10180
서울특별시,강동구,2017-05,7446
서울특별시,강동구,2017-06,7754
서울특별시,강동구,2017-07,7631
서울특별시,강동구,2017-08,9869
서울특별시,강동구,2017-09,9362
서울특별시,강동구,2017-10,6785
서울특별시,강동구,2017-11,10478
서울특별시,강동구,2017-12,8204
서울특별시,강동구,2018-01,9730
서울특별시,강동구,2018-02,7702
서울특별시,강동구,2018-03,9603
서울특별시,강동구,2018-04,9316
서울특별시,강동구,2018-05,8293
서울특별시,강동구,2018-06,8183
서울특별시,강동구,2018-07,9419
서울특별시,강동구,2018-08,8076
서울특별시,강동구,2018-09,4826
서울특별시,강동구,2018-10,6101
서울특별시,강동구,2018-11,7818
서울특별시,강동구,2018-12,6366
서울특별시,강동구,2019-01,6234
서울특별시,강동구,2019-02,4792
서울특별시,강동구,2019-03,5641
서울특별시,강동구,2019-04,5716
서울특별시,강동구,2019-05,6353
서울특별시,강동구,2019-06,6863
서울특별시,강동구,2019-07,8117
서울특별시,강동구,2019-08,8504
서울특별시,강동구,2019-09,6808
서울특별시,강동구,2019-10,7361
서울특별시,강동구,2019-11,7390
서울특별시,강동구,2019-12,6575
서울특별시,강동구,2020-01,6265
서울특별시,강동구,2020-02,6448
서울특별시,강동구,2020-03,6550
서울특별시,강동구,2020-04,5800
서울특별시,강동구,2020-05,5806
서울특별시,강동구,2020-06,5742
서울특별시,강동구,2020-07,6161
서울특별시,강동구,2020-08,5992
서울특별시,강동구,2020-09,5666
서울특별시,강동구,2020-10,5533
서울특별시,강동구,2020-11,6025
서울특별시,강동구,2020-12,5227
서울특별시,강동구,2021-01,4081
서울특별시,강동구,2021-02,2825
서울특별시,강동구,2021-03,4323
서울특별시,강동구,2021-04,3290
서울특별시,강동구,2021-05,3614
서울특별시,강동구,2021-06,3335
서울특별시,강동구,2021-07,3769
서울특별시,강동구,2021-08,3794
서울특별시,강동구,2021-09,3984
서울특별시,강동구,2021-10,4189
서울특별시,강동구,2021-11,4381
서울특별시,강동구,2021-12,3892
