연도,통계기준,견인건수,단속건수,단속원금(원)
2021,강북구,2340,1139,45710000
2021,미아동,,18606,903720000
2021,번1동,,3,130000
2021,번2동,,2,80000
2021,번3동,,1,40000
2021,번동,,7978,391330000
2021,삼양동,,5,210000
2021,송중동,,3,160000
2021,수유1동,,3,120000
2021,수유2동,,4,160000
2021,수유3동,,4,160000
2021,수유동,,23719,1083170000
2021,시민신고웹,,1,40000
2021,우이동,,1828,86580000
2021,인수동,,1,40000
2020,강북구,3204,4,160000
2020,미아4동,,68,2760000
2020,미아동,,15763,704685000
2020,번  동,,6,240000
2020,번1동,,687,27770000
2020,번2동,,77,3150000
2020,번3동,,261,10440000
2020,번동,,6404,291860000
2020,삼양동,,140,7190000
2020,송중동,,2166,98720000
2020,송천동,,290,22170000
2020,수유1동,,331,13490000
2020,수유2동,,11,440000
2020,수유3동,,3559,142230000
2020,수유동,,20695,912150000
2020,우이동,,1929,88570000
2020,인수동,,515,40350000
2019,강북구,1186,97,4250000
2019,미아동,,15649,680505000
2019,번  동,,99,3990000
2019,번1동,,1855,74720000
2019,번2동,,331,13720000
2019,번3동,,486,19720000
2019,번동,,5841,254980000
2019,삼양동,,69,5520000
2019,송중동,,4576,196590000
2019,송천동,,763,61070000
2019,수유1동,,919,36980000
2019,수유3동,,7316,292160000
2019,수유동,,19605,854030000
2019,우이동,,1318,62295000
2019,인수동,,460,36750000
2018,강북구,1144,477,19210000
2018,미아4동,,166,6820000
2018,미아동,,12954,588320000
2018,번  동,,373,15100000
2018,번1동,,2129,85510000
2018,번2동,,299,12050000
2018,번3동,,750,30070000
2018,번동,,4873,215855000
2018,삼양동,,101,8090000
2018,송중동,,2152,101300000
2018,송천동,,234,18560000
2018,수유1동,,1166,46980000
2018,수유3동,,5172,206425000
2018,수유동,,17052,730495000
2018,우이동,,980,51360000
2018,인수동,,488,39140000
2017,강북구,1652,186,7520000
2017,미아4동,,282,11390000
2017,미아동,,18489,802135000
2017,번  동,,688,28050000
2017,번1동,,3384,136790000
2017,번2동,,604,24730000
2017,번3동,,680,27110000
2017,번동,,7017,305360000
2017,삼양동,,96,7720000
2017,송중동,,2246,112380000
2017,송천동,,521,36095000
2017,수유1동,,1259,50720000
2017,수유3동,,4171,167615000
2017,수유동,,20603,883795000
2017,시민신고웹,,6,250000
2017,우이동,,1037,55220000
2017,인수동,,546,43860000
