시도명,시군구명,단속년월,단속건수
서울특별시,강북구,2011-01,2628
서울특별시,강북구,2011-02,2445
서울특별시,강북구,2011-03,2786
서울특별시,강북구,2011-04,2817
서울특별시,강북구,2011-05,2172
서울특별시,강북구,2011-06,2143
서울특별시,강북구,2011-07,2207
서울특별시,강북구,2011-08,2549
서울특별시,강북구,2011-09,2560
서울특별시,강북구,2011-10,2780
서울특별시,강북구,2011-11,2526
서울특별시,강북구,2011-12,2739
서울특별시,강북구,2012-01,2259
서울특별시,강북구,2012-02,2582
서울특별시,강북구,2012-03,2237
서울특별시,강북구,2012-04,2198
서울특별시,강북구,2012-05,2270
서울특별시,강북구,2012-06,2096
서울특별시,강북구,2012-07,2190
서울특별시,강북구,2012-08,2264
서울특별시,강북구,2012-09,2575
서울특별시,강북구,2012-10,2724
서울특별시,강북구,2012-11,2689
서울특별시,강북구,2012-12,2176
서울특별시,강북구,2013-01,2970
서울특별시,강북구,2013-02,1606
서울특별시,강북구,2013-03,2530
서울특별시,강북구,2013-04,2411
서울특별시,강북구,2013-05,2616
서울특별시,강북구,2013-06,2388
서울특별시,강북구,2013-07,2464
서울특별시,강북구,2013-08,2318
서울특별시,강북구,2013-09,1972
서울특별시,강북구,2013-10,2223
서울특별시,강북구,2013-11,2462
서울특별시,강북구,2013-12,2203
서울특별시,강북구,2014-01,2094
서울특별시,강북구,2014-02,2235
서울특별시,강북구,2014-03,2165
서울특별시,강북구,2014-04,1836
서울특별시,강북구,2014-05,1949
서울특별시,강북구,2014-06,1892
서울특별시,강북구,2014-07,2481
서울특별시,강북구,2014-08,2528
서울특별시,강북구,2014-09,2190
서울특별시,강북구,2014-10,3106
서울특별시,강북구,2014-11,3110
서울특별시,강북구,2014-12,2953
서울특별시,강북구,2015-01,2347
서울특별시,강북구,2015-02,2302
서울특별시,강북구,2015-03,2239
서울특별시,강북구,2015-04,2427
서울특별시,강북구,2015-05,2118
서울특별시,강북구,2015-06,2824
서울특별시,강북구,2015-07,3016
서울특별시,강북구,2015-08,3800
서울특별시,강북구,2015-09,3522
서울특별시,강북구,2015-10,3387
서울특별시,강북구,2015-11,3765
서울특별시,강북구,2015-12,3332
서울특별시,강북구,2016-01,2841
서울특별시,강북구,2016-02,3220
서울특별시,강북구,2016-03,3829
서울특별시,강북구,2016-04,4034
서울특별시,강북구,2016-05,4749
서울특별시,강북구,2016-06,4596
서울특별시,강북구,2016-07,4413
서울특별시,강북구,2016-08,3925
서울특별시,강북구,2016-09,3659
서울특별시,강북구,2016-10,4210
서울특별시,강북구,2016-11,4776
서울특별시,강북구,2016-12,4644
서울특별시,강북구,2017-01,4337
서울특별시,강북구,2017-02,4341
서울특별시,강북구,2017-03,5900
서울특별시,강북구,2017-04,6213
서울특별시,강북구,2017-05,5662
서울특별시,강북구,2017-06,5498
서울특별시,강북구,2017-07,5238
서울특별시,강북구,2017-08,5549
서울특별시,강북구,2017-09,5214
서울특별시,강북구,2017-10,4231
서울특별시,강북구,2017-11,5153
서울특별시,강북구,2017-12,4479
서울특별시,강북구,2018-01,4628
서울특별시,강북구,2018-02,3432
서울특별시,강북구,2018-03,3953
서울특별시,강북구,2018-04,4016
서울특별시,강북구,2018-05,4406
서울특별시,강북구,2018-06,3953
서울특별시,강북구,2018-07,4639
서울특별시,강북구,2018-08,5077
서울특별시,강북구,2018-09,3551
서울특별시,강북구,2018-10,3761
서울특별시,강북구,2018-11,3966
서울특별시,강북구,2018-12,4992
서울특별시,강북구,2019-01,5405
서울특별시,강북구,2019-02,4572
서울특별시,강북구,2019-03,4738
서울특별시,강북구,2019-04,4946
서울특별시,강북구,2019-05,5451
서울특별시,강북구,2019-06,4622
서울특별시,강북구,2019-07,5012
서울특별시,강북구,2019-08,5321
서울특별시,강북구,2019-09,4991
서울특별시,강북구,2019-10,5012
서울특별시,강북구,2019-11,4810
서울특별시,강북구,2019-12,4264
서울특별시,강북구,2020-01,4268
서울특별시,강북구,2020-02,3847
서울특별시,강북구,2020-03,4578
서울특별시,강북구,2020-04,4454
서울특별시,강북구,2020-05,4905
서울특별시,강북구,2020-06,4860
서울특별시,강북구,2020-07,4225
서울특별시,강북구,2020-08,3670
서울특별시,강북구,2020-09,3505
서울특별시,강북구,2020-10,4100
서울특별시,강북구,2020-11,5256
서울특별시,강북구,2020-12,5238
서울특별시,강북구,2021-01,4536
서울특별시,강북구,2021-02,4294
서울특별시,강북구,2021-03,4822
서울특별시,강북구,2021-04,4495
서울특별시,강북구,2021-05,3983
서울특별시,강북구,2021-06,4427
서울특별시,강북구,2021-07,4226
서울특별시,강북구,2021-08,4563
서울특별시,강북구,2021-09,4439
서울특별시,강북구,2021-10,4180
서울특별시,강북구,2021-11,4480
서울특별시,강북구,2021-12,4848
