기관,과태료명,단속년월,단속건수,단속원금
서울특별시 관악구,주정차위반과태료,2019-01,8968,358995000
서울특별시 관악구,주정차위반과태료,2019-02,7880,318740000
서울특별시 관악구,주정차위반과태료,2019-03,11314,457195000
서울특별시 관악구,주정차위반과태료,2019-04,10955,442045000
서울특별시 관악구,주정차위반과태료,2019-05,9306,380650000
서울특별시 관악구,주정차위반과태료,2019-06,9336,377325000
서울특별시 관악구,주정차위반과태료,2019-07,9205,373280000
서울특별시 관악구,주정차위반과태료,2019-08,9286,379230000
서울특별시 관악구,주정차위반과태료,2019-09,7541,314305000
서울특별시 관악구,주정차위반과태료,2019-10,8459,351555000
서울특별시 관악구,주정차위반과태료,2019-11,8328,344260000
서울특별시 관악구,주정차위반과태료,2019-12,7820,322265000
서울특별시 관악구,주정차위반과태료,2020-01,7640,311770000
서울특별시 관악구,주정차위반과태료,2020-02,7903,325115000
서울특별시 관악구,주정차위반과태료,2020-03,7553,318400000
서울특별시 관악구,주정차위반과태료,2020-04,6047,252690000
서울특별시 관악구,주정차위반과태료,2020-05,6849,292040000
서울특별시 관악구,주정차위반과태료,2020-06,7769,345030000
서울특별시 관악구,주정차위반과태료,2020-07,7490,322610000
서울특별시 관악구,주정차위반과태료,2020-08,6619,280830000
서울특별시 관악구,주정차위반과태료,2020-09,6103,262955000
서울특별시 관악구,주정차위반과태료,2020-10,6204,275120000
서울특별시 관악구,주정차위반과태료,2020-11,6933,312280000
서울특별시 관악구,주정차위반과태료,2020-12,7592,335475000
서울특별시 관악구,주정차위반과태료,2021-01,6453,281210000
서울특별시 관악구,주정차위반과태료,2021-02,6182,274985000
서울특별시 관악구,주정차위반과태료,2021-03,7984,361595000
서울특별시 관악구,주정차위반과태료,2021-04,7219,324965000
서울특별시 관악구,주정차위반과태료,2021-05,7784,371580000
서울특별시 관악구,주정차위반과태료,2021-06,6904,336725000
서울특별시 관악구,주정차위반과태료,2021-07,7978,400660000
서울특별시 관악구,주정차위반과태료,2021-08,7356,372880000
서울특별시 관악구,주정차위반과태료,2021-09,7253,373640000
서울특별시 관악구,주정차위반과태료,2021-10,8839,444610000
서울특별시 관악구,주정차위반과태료,2021-11,7907,396170000
서울특별시 관악구,주정차위반과태료,2021-12,7667,376765000
