단속연도,단속동,단속건수,단속금액,견인건수
2017,신도림동,8241,335390000,222
2017,구로1동,9011,368600000,3102
2017,구로2동,10533,422590000,0
2017,구로3동,13471,559040000,0
2017,구로4동,11742,471110000,0
2017,구로5동,12625,513810000,0
2017,가리봉동,4242,170190000,433
2017,고척1동,5949,246130000,483
2017,고척2동,6181,247990000,0
2017,개봉1동,5220,218500000,651
2017,개봉2동,3171,131710000,0
2017,개봉3동,3539,145840000,0
2017,오류1동,4203,148710000,317
2017,오류2동,3561,173890000,0
2017,수궁동,4458,166550000,269
2018,신도림동,7971,324400000,277
2018,구로1동,9066,373510000,3592
2018,구로2동,9585,392110000,0
2018,구로3동,14357,593940000,0
2018,구로4동,12084,454310000,0
2018,구로5동,9973,419020000,0
2018,가리봉동,3418,141940000,353
2018,고척1동,5885,240740000,1126
2018,고척2동,5868,239530000,0
2018,개봉1동,5247,216170000,1030
2018,개봉2동,2898,117940000,0
2018,개봉3동,3111,126610000,0
2018,오류1동,3287,136410000,639
2018,오류2동,3180,128210000,0
2018,수궁동,3555,127600000,500
2019,신도림동,5324,225800000,384
2019,구로1동,7612,320794000,5770
2019,구로2동,8610,362894000,0
2019,구로3동,13057,568854000,0
2019,구로4동,9975,418174000,0
2019,구로5동,8343,350224000,0
2019,가리봉동,2649,114340000,386
2019,고척1동,6634,283375000,1851
2019,고척2동,5928,247495000,0
2019,개봉1동,5011,208450000,1416
2019,개봉2동,3095,129000000,0
2019,개봉3동,3286,137500000,0
2019,오류1동,3793,173740000,1110
2019,오류2동,4494,205510000,0
2019,수궁동,1175,51950000,516
2020,가리봉동,1931,87590000,314
2020,개봉동,8743,365695000,1073
2020,고척동,8987,391075000,847
2020,구로동,39520,1733165000,3834
2020,신도림동,4636,205120000,340
2020,오류동,2883,312690000,735
2020,항동,1221,92920000,215
2020,수궁동,1637,71770000,315
2021,신도림동,3262,160370000,79
2021,구로동,36352,1702715000,2015
2021,가리봉동,2788,127730000,250
2021,고척동,6798,327685000,203
2021,개봉동,6615,282845000,423
2021,오류동,5001,275870000,192
2021,수궁동,1733,82340000,192
2021,항동,2547,115470000,1
2022,신도림동,2458,138080000,122
2022,구로동,37367,1859000000,3818
2022,가리봉동,5105,239010000,146
2022,고척동,8652,462335000,917
2022,개봉동,7584,333720000,1191
2022,오류동,6178,392000000,622
2022,수궁동,1562,82600000,246
2022,항동,1249,116410000,41
