단속연월,단속건수(건)
2011-01,2382
2011-02,3296
2011-03,4467
2011-04,3671
2011-05,3525
2011-06,3202
2011-07,2573
2011-08,2659
2011-09,3663
2011-10,4210
2011-11,3958
2011-12,3608
2012-01,3407
2012-02,4383
2012-03,4512
2012-04,3743
2012-05,4495
2012-06,4406
2012-07,4301
2012-08,3992
2012-09,3961
2012-10,4135
2012-11,4369
2012-12,3616
2013-01,4409
2013-02,2993
2013-03,4500
2013-04,4841
2013-05,5656
2013-06,4114
2013-07,3617
2013-08,3487
2013-09,2882
2013-10,4189
2013-11,4475
2013-12,3329
2014-01,3626
2014-02,3340
2014-03,4454
2014-04,4256
2014-05,3949
2014-06,3360
2014-07,5221
2014-08,3736
2014-09,3691
2014-10,4998
2014-11,4143
2014-12,3427
2015-01,3691
2015-02,2606
2015-03,3699
2015-04,3435
2015-05,4013
2015-06,4522
2015-07,3905
2015-08,2531
2015-09,3516
2015-10,4214
2015-11,4172
2015-12,4266
2016-01,5104
2016-02,5278
2016-03,6368
2016-04,5513
2016-05,5828
2016-06,5748
2016-07,5833
2016-08,5740
2016-09,6018
2016-10,5774
2016-11,5657
2016-12,3585
2017-01,3132
2017-02,3645
2017-03,4658
2017-04,4031
2017-05,3827
2017-06,4276
2017-07,4549
2017-08,5289
2017-09,5461
2017-10,5687
2017-11,7072
2017-12,5173
2018-01,5880
2018-02,4677
2018-03,3959
2018-04,4246
2018-05,3968
2018-06,4114
2018-07,5060
2018-08,4757
2018-09,4140
2018-10,4805
2018-11,5436
2018-12,4853
2019-01,5199
2019-02,4429
2019-03,5070
2019-04,5294
2019-05,5185
2019-06,5226
2019-07,5646
2019-08,5199
2019-09,4821
2019-10,4426
2019-11,5058
2019-12,4337
2020-01,4960
2020-02,4188
2020-03,5086
2020-04,4278
2020-05,4481
2020-06,4773
2020-07,4141
2020-08,3522
2020-09,4225
2020-10,4596
2020-11,4672
2020-12,4568
2021-01,4492
2021-02,4277
2021-03,5332
2021-04,4452
2021-05,4761
2021-06,4635
2021-07,4410
2021-08,3631
2021-09,4366
2021-10,3884
2021-11,4362
2021-12,3801
