월_년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
01월,4678,4365,5189,8300,6969,6941,5852,7079,6315,8443,5256
02월,3801,4755,4746,7621,5482,5242,6421,5952,5438,9435,5198
03월,5100,5469,5648,7785,7324,6656,6970,6786,6922,8514,7839
04월,4999,4995,5344,7790,6442,6141,5258,8850,7165,7455,7413
05월,4846,6010,5340,5351,5789,6137,5487,8044,6705,8447,7221
06월,5472,5465,6522,5330,5800,6901,5941,8256,6064,8239,7083
07월,5657,6131,6688,7307,6216,6273,6223,8767,6659,8811,6980
08월,5272,4919,5964,6986,6898,6787,6780,7766,7234,7929,7351
09월,4715,6138,6624,6425,7868,5099,7173,5817,6856,9212,6855
10월,5477,7573,8599,8289,8448,5576,4798,7021,7614,9367,6616
11월,5956,7019,8588,8382,8162,8347,7829,7951,8637,6858,6533
12월,5450,4174,8894,6900,6764,7432,4850,5817,9289,6200,6564
