시도명,시군구명,단속년월,단속건수
서울특별시,서대문구,2011-01-01,3593
서울특별시,서대문구,2011-02-01,4351
서울특별시,서대문구,2011-03-01,5581
서울특별시,서대문구,2011-04-01,5107
서울특별시,서대문구,2011-05-01,4797
서울특별시,서대문구,2011-06-01,4855
서울특별시,서대문구,2011-07-01,4732
서울특별시,서대문구,2011-08-01,4560
서울특별시,서대문구,2011-09-01,3504
서울특별시,서대문구,2011-10-01,4295
서울특별시,서대문구,2011-11-01,4352
서울특별시,서대문구,2011-12-01,3744
서울특별시,서대문구,2012-01-01,3194
서울특별시,서대문구,2012-02-01,4708
서울특별시,서대문구,2012-03-01,4560
서울특별시,서대문구,2012-04-01,4077
서울특별시,서대문구,2012-05-01,4394
서울특별시,서대문구,2012-06-01,4137
서울특별시,서대문구,2012-07-01,4005
서울특별시,서대문구,2012-08-01,4134
서울특별시,서대문구,2012-09-01,3393
서울특별시,서대문구,2012-10-01,4428
서울특별시,서대문구,2012-11-01,5211
서울특별시,서대문구,2012-12-01,3455
서울특별시,서대문구,2013-01-01,4148
서울특별시,서대문구,2013-02-01,3379
서울특별시,서대문구,2013-03-01,3918
서울특별시,서대문구,2013-04-01,4238
서울특별시,서대문구,2013-05-01,4324
서울특별시,서대문구,2013-06-01,3747
서울특별시,서대문구,2013-07-01,3529
서울특별시,서대문구,2013-08-01,4036
서울특별시,서대문구,2013-09-01,3099
서울특별시,서대문구,2013-10-01,5098
서울특별시,서대문구,2013-11-01,4172
서울특별시,서대문구,2013-12-01,4622
서울특별시,서대문구,2014-01-01,4392
서울특별시,서대문구,2014-02-01,4344
서울특별시,서대문구,2014-03-01,6382
서울특별시,서대문구,2014-04-01,7543
서울특별시,서대문구,2014-05-01,6981
서울특별시,서대문구,2014-06-01,6743
서울특별시,서대문구,2014-07-01,6443
서울특별시,서대문구,2014-08-01,5371
서울특별시,서대문구,2014-09-01,5610
서울특별시,서대문구,2014-10-01,6166
서울특별시,서대문구,2014-11-01,5930
서울특별시,서대문구,2014-12-01,6091
서울특별시,서대문구,2015-01-01,5351
서울특별시,서대문구,2015-02-01,4385
서울특별시,서대문구,2015-03-01,5996
서울특별시,서대문구,2015-04-01,6186
서울특별시,서대문구,2015-05-01,4743
서울특별시,서대문구,2015-06-01,5386
서울특별시,서대문구,2015-07-01,4996
서울특별시,서대문구,2015-08-01,4631
서울특별시,서대문구,2015-09-01,5037
서울특별시,서대문구,2015-10-01,6165
서울특별시,서대문구,2015-11-01,5855
서울특별시,서대문구,2015-12-01,6845
서울특별시,서대문구,2016-01-01,6227
서울특별시,서대문구,2016-02-01,5488
서울특별시,서대문구,2016-03-01,6876
서울특별시,서대문구,2016-04-01,6299
서울특별시,서대문구,2016-05-01,5928
서울특별시,서대문구,2016-06-01,5616
서울특별시,서대문구,2016-07-01,5653
서울특별시,서대문구,2016-08-01,5823
서울특별시,서대문구,2016-09-01,4688
서울특별시,서대문구,2016-10-01,5593
서울특별시,서대문구,2016-11-01,6456
서울특별시,서대문구,2016-12-01,5941
서울특별시,서대문구,2017-01-01,5134
서울특별시,서대문구,2017-02-01,6099
서울특별시,서대문구,2017-03-01,6641
서울특별시,서대문구,2017-04-01,5950
서울특별시,서대문구,2017-05-01,5340
서울특별시,서대문구,2017-06-01,6185
서울특별시,서대문구,2017-07-01,5927
서울특별시,서대문구,2017-08-01,5898
서울특별시,서대문구,2017-09-01,5635
서울특별시,서대문구,2017-10-01,4217
서울특별시,서대문구,2017-11-01,6590
서울특별시,서대문구,2017-12-01,5727
서울특별시,서대문구,2018-01-01,5853
서울특별시,서대문구,2018-02-01,4872
서울특별시,서대문구,2018-03-01,6141
서울특별시,서대문구,2018-04-01,5843
서울특별시,서대문구,2018-05-01,5747
서울특별시,서대문구,2018-06-01,5688
서울특별시,서대문구,2018-07-01,6162
서울특별시,서대문구,2018-08-01,6445
서울특별시,서대문구,2018-09-01,3892
서울특별시,서대문구,2018-10-01,5311
서울특별시,서대문구,2018-11-01,5203
서울특별시,서대문구,2018-12-01,5348
서울특별시,서대문구,2019-01-01,6020
서울특별시,서대문구,2019-02-01,5965
서울특별시,서대문구,2019-03-01,6746
서울특별시,서대문구,2019-04-01,5976
서울특별시,서대문구,2019-05-01,5256
서울특별시,서대문구,2019-06-01,5280
서울특별시,서대문구,2019-07-01,5909
서울특별시,서대문구,2019-08-01,5463
서울특별시,서대문구,2019-09-01,4899
서울특별시,서대문구,2019-10-01,6252
서울특별시,서대문구,2019-11-01,6153
서울특별시,서대문구,2019-12-01,5794
서울특별시,서대문구,2020-01-01,5510
서울특별시,서대문구,2020-02-01,5164
서울특별시,서대문구,2020-03-01,5600
서울특별시,서대문구,2020-04-01,4621
서울특별시,서대문구,2020-05-01,4451
서울특별시,서대문구,2020-06-01,4415
서울특별시,서대문구,2020-07-01,4543
서울특별시,서대문구,2020-08-01,3958
서울특별시,서대문구,2020-09-01,4290
서울특별시,서대문구,2020-10-01,3910
서울특별시,서대문구,2020-11-01,4092
서울특별시,서대문구,2020-12-01,3691
서울특별시,서대문구,2021-01-01,3366
서울특별시,서대문구,2021-02-01,3247
서울특별시,서대문구,2021-03-01,3794
서울특별시,서대문구,2021-04-01,3767
서울특별시,서대문구,2021-05-01,3509
서울특별시,서대문구,2021-06-01,3692
서울특별시,서대문구,2021-07-01,3875
서울특별시,서대문구,2021-08-01,3327
서울특별시,서대문구,2021-09-01,3395
서울특별시,서대문구,2021-10-01,3419
서울특별시,서대문구,2021-11-01,3963
서울특별시,서대문구,2021-12-01,3635
