시군구명,단속연월,단속건수
서초구,2022-01-11,13530
서초구,2022-02-11,16172
서초구,2022-03-11,20556
서초구,2022-04-11,17792
서초구,2022-05-11,18712
서초구,2022-06-11,18193
서초구,2022-07-11,16584
서초구,2022-08-11,15072
서초구,2022-09-11,15610
서초구,2022-10-11,22244
서초구,2022-11-11,22502
서초구,2022-12-11,21928
서초구,2022-01-12,14252
서초구,2022-02-12,17369
서초구,2022-03-12,23577
서초구,2022-04-12,23399
서초구,2022-05-12,22553
서초구,2022-06-12,19078
서초구,2022-07-12,18961
서초구,2022-08-12,17860
서초구,2022-09-12,17909
서초구,2022-10-12,19981
서초구,2022-11-12,19170
서초구,2022-12-12,11692
서초구,2022-01-13,15714
서초구,2022-02-13,12371
서초구,2022-03-13,23627
서초구,2022-04-13,20868
서초구,2022-05-13,18879
서초구,2022-06-13,21879
서초구,2022-07-13,22453
서초구,2022-08-13,20385
서초구,2022-09-13,17461
서초구,2022-10-13,22633
서초구,2022-11-13,24375
서초구,2022-12-13,25178
서초구,2022-01-14,20622
서초구,2022-02-14,20410
서초구,2022-03-14,22928
서초구,2022-04-14,19612
서초구,2022-05-14,19547
서초구,2022-06-14,17899
서초구,2022-07-14,18195
서초구,2022-08-14,18377
서초구,2022-09-14,17661
서초구,2022-10-14,22872
서초구,2022-11-14,23130
서초구,2022-12-14,24663
서초구,2022-01-15,25267
서초구,2022-02-15,17040
서초구,2022-03-15,23216
서초구,2022-04-15,20541
서초구,2022-05-15,21153
서초구,2022-06-15,22022
서초구,2022-07-15,21413
서초구,2022-08-15,20293
서초구,2022-09-15,17381
서초구,2022-10-15,19277
서초구,2022-11-15,25129
서초구,2022-12-15,24578
서초구,2022-01-16,23455
서초구,2022-02-16,20056
서초구,2022-03-16,25963
서초구,2022-04-16,22149
서초구,2022-05-16,21333
서초구,2022-06-16,21466
서초구,2022-07-16,23437
서초구,2022-08-16,22954
서초구,2022-09-16,18541
서초구,2022-10-16,21801
서초구,2022-11-16,21733
서초구,2022-12-16,24058
서초구,2022-01-17,19258
서초구,2022-02-17,17916
서초구,2022-03-17,19038
서초구,2022-04-17,18400
서초구,2022-05-17,19436
서초구,2022-06-17,20335
서초구,2022-07-17,19289
서초구,2022-08-17,19196
서초구,2022-09-17,19320
서초구,2022-10-17,14747
서초구,2022-11-17,20093
서초구,2022-12-17,17943
서초구,2022-01-18,19232
서초구,2022-02-18,17654
서초구,2022-03-18,21650
서초구,2022-04-18,21211
서초구,2022-05-18,20306
서초구,2022-06-18,19702
서초구,2022-07-18,19965
서초구,2022-08-18,14639
서초구,2022-09-18,11777
서초구,2022-10-18,18939
서초구,2022-11-18,18665
서초구,2022-12-18,23245
서초구,2022-01-19,20681
서초구,2022-02-19,14547
서초구,2022-03-19,20244
서초구,2022-04-19,19417
서초구,2022-05-19,18612
서초구,2022-06-19,16533
서초구,2022-07-19,16906
서초구,2022-08-19,13733
서초구,2022-09-19,11674
서초구,2022-10-19,14024
서초구,2022-11-19,14292
서초구,2022-12-19,14396
서초구,2022-01-20,12567
서초구,2022-02-20,14195
서초구,2022-03-20,8428
서초구,2022-04-20,9703
서초구,2022-05-20,13642
서초구,2022-06-20,15279
서초구,2022-07-20,15525
서초구,2022-08-20,12953
서초구,2022-09-20,12643
서초구,2022-10-20,14355
서초구,2022-11-20,14539
서초구,2022-12-20,13005
서초구,2022-01-21,10905
서초구,2022-02-21,9355
서초구,2022-03-21,13310
서초구,2022-04-21,12230
서초구,2022-05-21,12134
서초구,2022-06-21,11740
서초구,2022-07-21,12550
서초구,2022-08-21,12634
서초구,2022-09-21,10289
서초구,2022-10-21,12376
서초구,2022-11-21,13374
서초구,2022-12-21,12184
