단속연도,시도명,시군구명,단속동,단속건수,단속원금
2017,서울특별시,송파구,가락1동,2912,121760000
2017,서울특별시,송파구,가락2동,4196,186030000
2017,서울특별시,송파구,가락동,9155,372395000
2017,서울특별시,송파구,가락본동,10848,445480000
2017,서울특별시,송파구,거여1동,1463,66320000
2017,서울특별시,송파구,거여2동,2340,99500000
2017,서울특별시,송파구,거여동,4508,184380000
2017,서울특별시,송파구,마천1동,2384,100600000
2017,서울특별시,송파구,마천2동,2670,116010000
2017,서울특별시,송파구,마천동,1557,63525000
2017,서울특별시,송파구,문정1동,3567,147740000
2017,서울특별시,송파구,문정2동,10344,419290000
2017,서울특별시,송파구,문정동,11828,479060000
2017,서울특별시,송파구,방이1동,2588,109740000
2017,서울특별시,송파구,방이2동,5192,209440000
2017,서울특별시,송파구,방이동,8324,344660000
2017,서울특별시,송파구,삼전동,6782,281320000
2017,서울특별시,송파구,석촌동,7954,328235000
2017,서울특별시,송파구,송파1동,6798,275620000
2017,서울특별시,송파구,송파2동,1914,89320000
2017,서울특별시,송파구,송파동,2461,100660000
2017,서울특별시,송파구,신천동,7886,324140000
2017,서울특별시,송파구,오금동,8178,346470000
2017,서울특별시,송파구,오륜동,2307,94230000
2017,서울특별시,송파구,위례동,6076,247590000
2017,서울특별시,송파구,잠실2동,718,28920000
2017,서울특별시,송파구,잠실3동,584,23990000
2017,서울특별시,송파구,잠실4동,868,35070000
2017,서울특별시,송파구,잠실6동,2371,98590000
2017,서울특별시,송파구,잠실7동,5053,210220000
2017,서울특별시,송파구,잠실동,13676,561920000
2017,서울특별시,송파구,잠실본동,8452,350830000
2017,서울특별시,송파구,장지동,3067,127910000
2017,서울특별시,송파구,풍납1동,3028,125890000
2017,서울특별시,송파구,풍납2동,4884,202465000
2017,서울특별시,송파구,풍납동,1989,82640000
2018,서울특별시,송파구,가락1동,3903,165235000
2018,서울특별시,송파구,가락2동,2906,133750000
2018,서울특별시,송파구,가락동,8340,336360000
2018,서울특별시,송파구,가락본동,11242,461630000
2018,서울특별시,송파구,거여1동,1794,79420000
2018,서울특별시,송파구,거여2동,2057,86250000
2018,서울특별시,송파구,거여동,3794,153020000
2018,서울특별시,송파구,마천1동,1799,77070000
2018,서울특별시,송파구,마천2동,2365,106250000
2018,서울특별시,송파구,마천동,1372,56960000
2018,서울특별시,송파구,문정1동,3024,124970000
2018,서울특별시,송파구,문정2동,5955,241030000
2018,서울특별시,송파구,문정동,12571,504510000
2018,서울특별시,송파구,방이1동,3599,150430000
2018,서울특별시,송파구,방이2동,8265,333505000
2018,서울특별시,송파구,방이동,6633,270605000
2018,서울특별시,송파구,삼전동,6294,257300000
2018,서울특별시,송파구,석촌동,6774,276210000
2018,서울특별시,송파구,송파1동,5635,228440000
2018,서울특별시,송파구,송파2동,1990,88620000
2018,서울특별시,송파구,송파동,1332,55515000
2018,서울특별시,송파구,신천동,6372,261010000
2018,서울특별시,송파구,오금동,7097,294355000
2018,서울특별시,송파구,오륜동,844,35140000
2018,서울특별시,송파구,위례동,572,24490000
2018,서울특별시,송파구,잠실2동,1047,42510000
2018,서울특별시,송파구,잠실3동,599,24350000
2018,서울특별시,송파구,잠실4동,430,17410000
2018,서울특별시,송파구,잠실6동,1094,45800000
2018,서울특별시,송파구,잠실7동,3666,150480000
2018,서울특별시,송파구,잠실동,9069,371000000
2018,서울특별시,송파구,잠실본동,6882,281280000
2018,서울특별시,송파구,장지동,3458,141970000
2018,서울특별시,송파구,풍납1동,3156,129775000
2018,서울특별시,송파구,풍납2동,4482,185380000
2018,서울특별시,송파구,풍납동,2343,97320000
2019,서울특별시,송파구,가락1동,1689,71580000
2019,서울특별시,송파구,가락2동,1324,58460000
2019,서울특별시,송파구,가락동,2185,87580000
2019,서울특별시,송파구,가락본동,4446,182400000
2019,서울특별시,송파구,거여1동,796,33350000
