자치구,단속연월,단속건수(건)
양천구,2011-01,9294
양천구,2011-02,8459
양천구,2011-03,10571
양천구,2011-04,8256
양천구,2011-05,6950
양천구,2011-06,7755
양천구,2011-07,7256
양천구,2011-08,7693
양천구,2011-09,4942
양천구,2011-10,5635
양천구,2011-11,7362
양천구,2011-12,5153
양천구,2012-01,3731
양천구,2012-02,6974
양천구,2012-03,6421
양천구,2012-04,6004
양천구,2012-05,8086
양천구,2012-06,7083
양천구,2012-07,7343
양천구,2012-08,6456
양천구,2012-09,8409
양천구,2012-10,8524
양천구,2012-11,8794
양천구,2012-12,6184
양천구,2013-01,7021
양천구,2013-02,5862
양천구,2013-03,8162
양천구,2013-04,7806
양천구,2013-05,7009
양천구,2013-06,7105
양천구,2013-07,7258
양천구,2013-08,7052
양천구,2013-09,4950
양천구,2013-10,6739
양천구,2013-11,4958
양천구,2013-12,5165
양천구,2014-01,5926
양천구,2014-02,7994
양천구,2014-03,7919
양천구,2014-04,8136
양천구,2014-05,7672
양천구,2014-06,7395
양천구,2014-07,9295
양천구,2014-08,8160
양천구,2014-09,7009
양천구,2014-10,8101
양천구,2014-11,9819
양천구,2014-12,8697
양천구,2015-01,"7,810"
양천구,2015-02,"5,714"
양천구,2015-03,"6,321"
양천구,2015-04,"7,049"
양천구,2015-05,"6,145"
양천구,2015-06,"5,973"
양천구,2015-07,"6,244"
양천구,2015-08,"5,173"
양천구,2015-09,"4,628"
양천구,2015-10,"6,293"
양천구,2015-11,"7,002"
양천구,2015-12,"6,145"
양천구,2016-01,"6,415"
양천구,2016-02,"5,431"
양천구,2016-03,"8,058"
양천구,2016-04,"7,790"
양천구,2016-05,"7,855"
양천구,2016-06,"6,762"
양천구,2016-07,"8,551"
양천구,2016-08,"8,625"
양천구,2016-09,"6,982"
양천구,2016-10,"8,218"
양천구,2016-11,"9,091"
양천구,2016-12,"7,462"
양천구,2017-01,"7,375"
양천구,2017-02,"8,068"
양천구,2017-03,"10,140"
양천구,2017-04,"9,256"
양천구,2017-05,"9,169"
양천구,2017-06,"10,124"
양천구,2017-07,"10,264"
양천구,2017-08,"10,064"
양천구,2017-09,"9,108"
양천구,2017-10,"7,045"
양천구,2017-11,"10,822"
양천구,2017-12,"9,597"
양천구,2018-01,"9,809"
양천구,2018-02,"8,910"
양천구,2018-03,"8,641"
양천구,2018-04,"7,903"
양천구,2018-05,"7,463"
양천구,2018-06,"7,313"
양천구,2018-07,"9,032"
양천구,2018-08,"7,666"
양천구,2018-09,"6,778"
양천구,2018-10,"8,694"
양천구,2018-11,"9,114"
양천구,2018-12,"7,768"
양천구,2019-01,"8,749"
양천구,2019-02,"7,853"
양천구,2019-03,"9,857"
양천구,2019-04,"9,450"
양천구,2019-05,"8,913"
양천구,2019-06,"9,213"
양천구,2019-07,"11,770"
양천구,2019-08,"10,224"
양천구,2019-09,"9,173"
양천구,2019-10,"9,761"
양천구,2019-11,"9,974"
양천구,2019-12,"10,315"
양천구,2020-01,"8,892"
양천구,2020-02,"7,811"
양천구,2020-03,"7,480"
양천구,2020-04,"6,425"
양천구,2020-05,"6,249"
양천구,2020-06,"6,780"
양천구,2020-07,"7,130"
양천구,2020-08,"6,137"
양천구,2020-09,"6,947"
양천구,2020-10,"7,511"
양천구,2020-11,"7,321"
양천구,2020-12,"4,271"
양천구,2021-01,"3,940"
양천구,2021-02,"4,444"
양천구,2021-03,"6,254"
양천구,2021-04,"5,245"
양천구,2021-05,"5,572"
양천구,2021-06,"5,940"
양천구,2021-07,"6,449"
양천구,2021-08,"5,907"
양천구,2021-09,"6,573"
양천구,2021-10,"6,777"
양천구,2021-11,"8,293"
양천구,2021-12,"7,447"
