시군구명,과태료명,단속년월,단속실적,데이터기준일자
영등포구,주정차위반과태료,2011-01,9322,2022-06-28
영등포구,주정차위반과태료,2011-02,9753,2022-06-28
영등포구,주정차위반과태료,2011-03,14906,2022-06-28
영등포구,주정차위반과태료,2011-04,15480,2022-06-28
영등포구,주정차위반과태료,2011-05,13587,2022-06-28
영등포구,주정차위반과태료,2011-06,11761,2022-06-28
영등포구,주정차위반과태료,2011-07,12467,2022-06-28
영등포구,주정차위반과태료,2011-08,12707,2022-06-28
영등포구,주정차위반과태료,2011-09,11698,2022-06-28
영등포구,주정차위반과태료,2011-10,12660,2022-06-28
영등포구,주정차위반과태료,2011-11,13446,2022-06-28
영등포구,주정차위반과태료,2011-12,12274,2022-06-28
영등포구,주정차위반과태료,2012-01,8446,2022-06-28
영등포구,주정차위반과태료,2012-02,11312,2022-06-28
영등포구,주정차위반과태료,2012-03,12065,2022-06-28
영등포구,주정차위반과태료,2012-04,10406,2022-06-28
영등포구,주정차위반과태료,2012-05,9761,2022-06-28
영등포구,주정차위반과태료,2012-06,9631,2022-06-28
영등포구,주정차위반과태료,2012-07,11068,2022-06-28
영등포구,주정차위반과태료,2012-08,10228,2022-06-28
영등포구,주정차위반과태료,2012-09,8348,2022-06-28
영등포구,주정차위반과태료,2012-10,10513,2022-06-28
영등포구,주정차위반과태료,2012-11,14643,2022-06-28
영등포구,주정차위반과태료,2012-12,9446,2022-06-28
영등포구,주정차위반과태료,2013-01,10243,2022-06-28
영등포구,주정차위반과태료,2013-02,9338,2022-06-28
영등포구,주정차위반과태료,2013-03,12016,2022-06-28
영등포구,주정차위반과태료,2013-04,12973,2022-06-28
영등포구,주정차위반과태료,2013-05,13351,2022-06-28
영등포구,주정차위반과태료,2013-06,11763,2022-06-28
영등포구,주정차위반과태료,2013-07,10692,2022-06-28
영등포구,주정차위반과태료,2013-08,10496,2022-06-28
영등포구,주정차위반과태료,2013-09,9199,2022-06-28
영등포구,주정차위반과태료,2013-10,13335,2022-06-28
영등포구,주정차위반과태료,2013-11,10656,2022-06-28
영등포구,주정차위반과태료,2013-12,10809,2022-06-28
영등포구,주정차위반과태료,2014-01,9331,2022-06-28
영등포구,주정차위반과태료,2014-02,11393,2022-06-28
영등포구,주정차위반과태료,2014-03,13013,2022-06-28
영등포구,주정차위반과태료,2014-04,12043,2022-06-28
영등포구,주정차위반과태료,2014-05,11099,2022-06-28
영등포구,주정차위반과태료,2014-06,10298,2022-06-28
영등포구,주정차위반과태료,2014-07,11072,2022-06-28
영등포구,주정차위반과태료,2014-08,10624,2022-06-28
영등포구,주정차위반과태료,2014-09,9111,2022-06-28
영등포구,주정차위반과태료,2014-10,11591,2022-06-28
영등포구,주정차위반과태료,2014-11,11506,2022-06-28
영등포구,주정차위반과태료,2014-12,10499,2022-06-28
영등포구,주정차위반과태료,2015-01,7964,2022-06-28
영등포구,주정차위반과태료,2015-02,5961,2022-06-28
영등포구,주정차위반과태료,2015-03,9531,2022-06-28
영등포구,주정차위반과태료,2015-04,10421,2022-06-28
영등포구,주정차위반과태료,2015-05,9282,2022-06-28
영등포구,주정차위반과태료,2015-06,9366,2022-06-28
영등포구,주정차위반과태료,2015-07,10774,2022-06-28
영등포구,주정차위반과태료,2015-08,9931,2022-06-28
영등포구,주정차위반과태료,2015-09,8301,2022-06-28
영등포구,주정차위반과태료,2015-10,13423,2022-06-28
영등포구,주정차위반과태료,2015-11,12240,2022-06-28
영등포구,주정차위반과태료,2015-12,9858,2022-06-28
영등포구,주정차위반과태료,2016-01,10191,2022-06-28
영등포구,주정차위반과태료,2016-02,9652,2022-06-28
영등포구,주정차위반과태료,2016-03,13689,2022-06-28
영등포구,주정차위반과태료,2016-04,14222,2022-06-28
영등포구,주정차위반과태료,2016-05,10659,2022-06-28
영등포구,주정차위반과태료,2016-06,12892,2022-06-28
영등포구,주정차위반과태료,2016-07,13037,2022-06-28
영등포구,주정차위반과태료,2016-08,12505,2022-06-28
영등포구,주정차위반과태료,2016-09,11509,2022-06-28
영등포구,주정차위반과태료,2016-10,13593,2022-06-28
영등포구,주정차위반과태료,2016-11,14325,2022-06-28
영등포구,주정차위반과태료,2016-12,15140,2022-06-28
영등포구,주정차위반과태료,2017-01,11939,2022-06-28
영등포구,주정차위반과태료,2017-02,12413,2022-06-28
영등포구,주정차위반과태료,2017-03,14309,2022-06-28
영등포구,주정차위반과태료,2017-04,16808,2022-06-28
영등포구,주정차위반과태료,2017-05,12692,2022-06-28
영등포구,주정차위반과태료,2017-06,13678,2022-06-28
영등포구,주정차위반과태료,2017-07,12356,2022-06-28
영등포구,주정차위반과태료,2017-08,13420,2022-06-28
영등포구,주정차위반과태료,2017-09,14926,2022-06-28
영등포구,주정차위반과태료,2017-10,10730,2022-06-28
영등포구,주정차위반과태료,2017-11,13675,2022-06-28
영등포구,주정차위반과태료,2017-12,12395,2022-06-28
영등포구,주정차위반과태료,2018-01,15158,2022-06-28
영등포구,주정차위반과태료,2018-02,10940,2022-06-28
영등포구,주정차위반과태료,2018-03,14000,2022-06-28
영등포구,주정차위반과태료,2018-04,16766,2022-06-28
영등포구,주정차위반과태료,2018-05,14291,2022-06-28
영등포구,주정차위반과태료,2018-06,13485,2022-06-28
영등포구,주정차위반과태료,2018-07,16119,2022-06-28
영등포구,주정차위반과태료,2018-08,14174,2022-06-28
영등포구,주정차위반과태료,2018-09,12179,2022-06-28
영등포구,주정차위반과태료,2018-10,14087,2022-06-28
영등포구,주정차위반과태료,2018-11,13199,2022-06-28
영등포구,주정차위반과태료,2018-12,11747,2022-06-28
영등포구,주정차위반과태료,2019-01,12543,2022-06-28
영등포구,주정차위반과태료,2019-02,10087,2022-06-28
영등포구,주정차위반과태료,2019-03,14387,2022-06-28
영등포구,주정차위반과태료,2019-04,17490,2022-06-28
영등포구,주정차위반과태료,2019-05,15147,2022-06-28
영등포구,주정차위반과태료,2019-06,13359,2022-06-28
영등포구,주정차위반과태료,2019-07,12617,2022-06-28
영등포구,주정차위반과태료,2019-08,13187,2022-06-28
영등포구,주정차위반과태료,2019-09,12330,2022-06-28
영등포구,주정차위반과태료,2019-10,14225,2022-06-28
영등포구,주정차위반과태료,2019-11,13609,2022-06-28
영등포구,주정차위반과태료,2019-12,14525,2022-06-28
영등포구,주정차위반과태료,2020-01,11389,2022-06-28
영등포구,주정차위반과태료,2020-02,11485,2022-06-28
영등포구,주정차위반과태료,2020-03,11766,2022-06-28
영등포구,주정차위반과태료,2020-04,12901,2022-06-28
영등포구,주정차위반과태료,2020-05,13113,2022-06-28
영등포구,주정차위반과태료,2020-06,13210,2022-06-28
영등포구,주정차위반과태료,2020-07,13144,2022-06-28
영등포구,주정차위반과태료,2020-08,10838,2022-06-28
영등포구,주정차위반과태료,2020-09,10086,2022-06-28
영등포구,주정차위반과태료,2020-10,9802,2022-06-28
영등포구,주정차위반과태료,2020-11,9580,2022-06-28
영등포구,주정차위반과태료,2020-12,10156,2022-06-28
영등포구,주정차위반과태료,2021-01,8602,2022-06-28
영등포구,주정차위반과태료,2021-02,7661,2022-06-28
영등포구,주정차위반과태료,2021-03,9380,2022-06-28
영등포구,주정차위반과태료,2021-04,9806,2022-06-28
영등포구,주정차위반과태료,2021-05,8861,2022-06-28
영등포구,주정차위반과태료,2021-06,9988,2022-06-28
영등포구,주정차위반과태료,2021-07,8300,2022-06-28
영등포구,주정차위반과태료,2021-08,8699,2022-06-28
영등포구,주정차위반과태료,2021-09,7986,2022-06-28
영등포구,주정차위반과태료,2021-10,8798,2022-06-28
영등포구,주정차위반과태료,2021-11,9163,2022-06-28
영등포구,주정차위반과태료,2021-12,10067,2022-06-28
