 연월 , 총합계 , 구청합계 , 시청합계 , 종로구청 고정형 CCTV , 종로구청 주행형CCTV , 종로구청 PDA , 종로구청 본관 상황실 외 , 종로구 소방서 , 종로구 경찰서 , 종로구청 시민신고 , 시청 고정형 CCTV , 시청 주행형 CCTV , 시청 버스 CCTV , 시청 PDA 
2011-01,9745,6466,3279,1898,246,4322,,,,,2447,356,6,470
2011-02,9022,5994,3028,1160,148,4686,,,,,2238,334,11,445
2011-03,12540,8359,4181,1915,421,6023,,,,,3495,106,27,553
2011-04,13210,8255,4955,3037,159,5059,,,,,3969,170,78,738
2011-05,12356,7864,4492,2737,69,5058,,,,,3492,106,72,822
2011-06,12663,7947,4716,3002,127,4817,,,1,,3651,168,54,843
2011-07,10539,6357,4182,2119,25,4211,,,2,,3292,176,85,629
2011-08,13195,8563,4632,2956,260,5347,,,,,3753,217,55,607
2011-09,12070,7773,4297,2718,176,4879,,,,,3430,114,43,710
2011-10,15166,9574,5592,2346,199,7025,,,4,,4123,420,53,996
2011-11,13520,8683,4837,2695,233,5748,,1,6,,3856,198,41,742
2011-12,11101,7155,3946,2872,35,4244,,,4,,3181,168,59,538
2012-01,9415,6669,2746,2970,56,3639,4,,,,2226,181,24,315
2012-02,12642,8930,3712,3627,89,5200,4,10,,,3012,287,20,393
2012-03,15151,10491,4660,4384,157,5941,8,,1,,3703,403,13,541
2012-04,14762,10475,4287,3601,208,6655,9,2,,,3097,536,16,638
2012-05,17539,12953,4586,4174,810,7952,14,1,2,,3262,237,14,1073
2012-06,16542,11764,4778,3331,959,7462,11,,1,,3628,355,15,780
2012-07,16683,12040,4643,3877,944,7187,32,,,,3584,242,11,806
2012-08,15297,11341,3956,4201,764,6364,7,,5,,2777,299,18,862
2012-09,14873,11140,3733,3310,789,7014,27,,,,2571,258,10,894
2012-10,16567,12203,4364,3282,790,8124,6,,1,,3114,296,3,951
2012-11,17269,12858,4411,3645,973,8223,15,1,1,,3461,130,7,813
2012-12,10769,7714,3055,2172,548,4983,11,,,,2328,79,7,641
2013-01,15173,11128,4045,2551,1316,7260,1,,,,3148,69,24,804
2013-02,14811,11628,3183,3680,1805,6142,,1,,,2495,48,8,632
2013-03,18118,14446,3672,3864,2030,8552,,,,,2915,96,16,645
2013-04,20217,15599,4618,5245,2070,8283,,1,,,3186,80,6,1346
2013-05,20149,16168,3981,5359,1662,9147,,,,,3098,53,2,828
2013-06,11862,8034,3828,2823,727,4419,,5,58,2,3041,30,,757
2013-07,12490,7927,4563,2998,847,4081,,1,,,3824,57,2,680
2013-08,13911,9051,4860,2751,939,5275,,1,73,12,3931,108,7,814
2013-09,13865,9821,4044,2953,1127,5608,,2,131,,3397,36,11,600
