시도명,시군구명,단속년월,단속건수
서울특별시,중구,2011-01,15181
서울특별시,중구,2011-02,12512
서울특별시,중구,2011-03,20671
서울특별시,중구,2011-04,19983
서울특별시,중구,2011-05,15909
서울특별시,중구,2011-06,13714
서울특별시,중구,2011-07,13475
서울특별시,중구,2011-08,18143
서울특별시,중구,2011-09,12854
서울특별시,중구,2011-10,16160
서울특별시,중구,2011-11,19743
서울특별시,중구,2011-12,17941
서울특별시,중구,2012-01,13573
서울특별시,중구,2012-02,15907
서울특별시,중구,2012-03,19516
서울특별시,중구,2012-04,17935
서울특별시,중구,2012-05,19156
서울특별시,중구,2012-06,16539
서울특별시,중구,2012-07,14452
서울특별시,중구,2012-08,14055
서울특별시,중구,2012-09,12965
서울특별시,중구,2012-10,15535
서울특별시,중구,2012-11,15307
서울특별시,중구,2012-12,12141
서울특별시,중구,2013-01,10759
서울특별시,중구,2013-02,6689
서울특별시,중구,2013-03,14977
서울특별시,중구,2013-04,14872
서울특별시,중구,2013-05,14203
서울특별시,중구,2013-06,13405
서울특별시,중구,2013-07,11960
서울특별시,중구,2013-08,13069
서울특별시,중구,2013-09,9683
서울특별시,중구,2013-10,15024
서울특별시,중구,2013-11,13682
서울특별시,중구,2013-12,11204
서울특별시,중구,2014-01,10692
서울특별시,중구,2014-02,10013
서울특별시,중구,2014-03,15388
서울특별시,중구,2014-04,14934
서울특별시,중구,2014-05,12976
서울특별시,중구,2014-06,14571
서울특별시,중구,2014-07,17364
서울특별시,중구,2014-08,17620
서울특별시,중구,2014-09,16584
서울특별시,중구,2014-10,18259
서울특별시,중구,2014-11,18293
서울특별시,중구,2014-12,17408
서울특별시,중구,2015-01,18036
서울특별시,중구,2015-02,11637
서울특별시,중구,2015-03,21530
서울특별시,중구,2015-04,21992
서울특별시,중구,2015-05,20874
서울특별시,중구,2015-06,19348
서울특별시,중구,2015-07,17763
서울특별시,중구,2015-08,18632
서울특별시,중구,2015-09,15382
서울특별시,중구,2015-10,19257
서울특별시,중구,2015-11,18191
서울특별시,중구,2015-12,19714
서울특별시,중구,2016-01,14598
서울특별시,중구,2016-02,9534
서울특별시,중구,2016-03,19142
서울특별시,중구,2016-04,16893
서울특별시,중구,2016-05,14981
서울특별시,중구,2016-06,16584
서울특별시,중구,2016-07,16732
서울특별시,중구,2016-08,18667
서울특별시,중구,2016-09,14446
서울특별시,중구,2016-10,19404
서울특별시,중구,2016-11,18980
서울특별시,중구,2016-12,20045
서울특별시,중구,2017-01,9650
서울특별시,중구,2017-02,15346
서울특별시,중구,2017-03,18018
서울특별시,중구,2017-04,17924
서울특별시,중구,2017-05,11849
서울특별시,중구,2017-06,15098
서울특별시,중구,2017-07,17520
서울특별시,중구,2017-08,20810
서울특별시,중구,2017-09,19766
서울특별시,중구,2017-10,10016
서울특별시,중구,2017-11,14657
서울특별시,중구,2017-12,12740
서울특별시,중구,2018-01,14806
서울특별시,중구,2018-02,11641
서울특별시,중구,2018-03,16339
서울특별시,중구,2018-04,14745
서울특별시,중구,2018-05,13633
서울특별시,중구,2018-06,13331
서울특별시,중구,2018-07,14221
서울특별시,중구,2018-08,15087
서울특별시,중구,2018-09,10779
서울특별시,중구,2018-10,12550
서울특별시,중구,2018-11,11659
서울특별시,중구,2018-12,9326
서울특별시,중구,2019-01,10253
서울특별시,중구,2019-02,8904
서울특별시,중구,2019-03,12134
서울특별시,중구,2019-04,13716
서울특별시,중구,2019-05,14267
서울특별시,중구,2019-06,14318
서울특별시,중구,2019-07,19080
서울특별시,중구,2019-08,17930
서울특별시,중구,2019-09,13429
서울특별시,중구,2019-10,15944
서울특별시,중구,2019-11,16227
서울특별시,중구,2019-12,16008
서울특별시,중구,2020-01,12108
서울특별시,중구,2020-02,12168
서울특별시,중구,2020-03,12914
서울특별시,중구,2020-04,12657
서울특별시,중구,2020-05,13108
서울특별시,중구,2020-06,12754
서울특별시,중구,2020-07,13507
서울특별시,중구,2020-08,13563
서울특별시,중구,2020-09,14074
서울특별시,중구,2020-10,12807
서울특별시,중구,2020-11,13858
서울특별시,중구,2020-12,11055
서울특별시,중구,2021-01,9822
서울특별시,중구,2021-02,11150
서울특별시,중구,2021-03,12910
서울특별시,중구,2021-04,13478
서울특별시,중구,2021-05,13254
서울특별시,중구,2021-06,15222
서울특별시,중구,2021-07,12892
서울특별시,중구,2021-08,11596
서울특별시,중구,2021-09,13198
서울특별시,중구,2021-10,13473
서울특별시,중구,2021-11,14345
서울특별시,중구,2021-12,15982
