시도명,시군구명,단속년월,단속건수
 서울특별시 , 중랑구 ,2011-01,2560
 서울특별시 , 중랑구 ,2011-02,3854
 서울특별시 , 중랑구 ,2011-03,5789
 서울특별시 , 중랑구 ,2011-04,4362
 서울특별시 , 중랑구 ,2011-05,3913
 서울특별시 , 중랑구 ,2011-06,4177
 서울특별시 , 중랑구 ,2011-07,4106
 서울특별시 , 중랑구 ,2011-08,4823
 서울특별시 , 중랑구 ,2011-09,4460
 서울특별시 , 중랑구 ,2011-10,4638
 서울특별시 , 중랑구 ,2011-11,4826
 서울특별시 , 중랑구 ,2011-12,4804
 서울특별시 , 중랑구 ,2012-01,4904
 서울특별시 , 중랑구 ,2012-02,6425
 서울특별시 , 중랑구 ,2012-03,7003
 서울특별시 , 중랑구 ,2012-04,5365
 서울특별시 , 중랑구 ,2012-05,6008
 서울특별시 , 중랑구 ,2012-06,6607
 서울특별시 , 중랑구 ,2012-07,7525
 서울특별시 , 중랑구 ,2012-08,7433
 서울특별시 , 중랑구 ,2012-09,6161
 서울특별시 , 중랑구 ,2012-10,6280
 서울특별시 , 중랑구 ,2012-11,7077
 서울특별시 , 중랑구 ,2012-12,4571
 서울특별시 , 중랑구 ,2013-01,5588
 서울특별시 , 중랑구 ,2013-02,4226
 서울특별시 , 중랑구 ,2013-03,6672
 서울특별시 , 중랑구 ,2013-04,6118
 서울특별시 , 중랑구 ,2013-05,4999
 서울특별시 , 중랑구 ,2013-06,5407
 서울특별시 , 중랑구 ,2013-07,5237
 서울특별시 , 중랑구 ,2013-08,5294
 서울특별시 , 중랑구 ,2013-09,4341
 서울특별시 , 중랑구 ,2013-10,5264
 서울특별시 , 중랑구 ,2013-11,5364
 서울특별시 , 중랑구 ,2013-12,3883
 서울특별시 , 중랑구 ,2014-01,4062
 서울특별시 , 중랑구 ,2014-02,6119
 서울특별시 , 중랑구 ,2014-03,6121
 서울특별시 , 중랑구 ,2014-04,5363
 서울특별시 , 중랑구 ,2014-05,3570
 서울특별시 , 중랑구 ,2014-06,4741
 서울특별시 , 중랑구 ,2014-07,6482
 서울특별시 , 중랑구 ,2014-08,5230
 서울특별시 , 중랑구 ,2014-09,4336
 서울특별시 , 중랑구 ,2014-10,6158
 서울특별시 , 중랑구 ,2014-11,5737
 서울특별시 , 중랑구 ,2014-12,4571
 서울특별시 , 중랑구 ,2015-01,4733
 서울특별시 , 중랑구 ,2015-02,3924
 서울특별시 , 중랑구 ,2015-03,5981
 서울특별시 , 중랑구 ,2015-04,5223
 서울특별시 , 중랑구 ,2015-05,4845
 서울특별시 , 중랑구 ,2015-06,5370
 서울특별시 , 중랑구 ,2015-07,4969
 서울특별시 , 중랑구 ,2015-08,4261
 서울특별시 , 중랑구 ,2015-09,4641
 서울특별시 , 중랑구 ,2015-10,5308
 서울특별시 , 중랑구 ,2015-11,4644
 서울특별시 , 중랑구 ,2015-12,5318
 서울특별시 , 중랑구 ,2016-01,5217
 서울특별시 , 중랑구 ,2016-02,3910
 서울특별시 , 중랑구 ,2016-03,6549
 서울특별시 , 중랑구 ,2016-04,5571
