연번,수신일시,현재주차차량수
173754,2021-11-10 00:00:01,0
173582,2021-11-10 00:00:01,56
996492,2021-11-10 00:00:01,3
173573,2021-11-10 00:00:01,22
1434470,2021-11-10 00:00:01,317
1273241,2021-11-10 00:00:01,75
798382,2021-11-10 00:00:01,85
1473187,2021-11-10 00:00:01,0
1406239,2021-11-10 00:00:01,68
1567373,2021-11-10 00:00:01,2
1473526,2021-11-10 00:00:01,0
1473758,2021-11-10 00:00:01,0
1886486,2021-11-10 00:00:01,47
173874,2021-11-10 00:00:01,147
1247675,2021-11-10 00:00:01,93
173686,2021-11-10 00:00:01,152
792654,2021-11-10 00:00:01,0
700094,2021-11-10 00:00:01,0
1587127,2021-11-10 00:00:01,106
949857,2021-11-10 00:00:01,67
805691,2021-11-10 00:00:01,0
1021034,2021-11-10 00:00:01,52
764573,2021-11-10 00:00:01,22
662512,2021-11-10 00:00:01,70
832678,2021-11-10 00:00:01,27
1029107,2021-11-10 00:00:01,617
1380218,2021-11-10 00:00:01,159
173701,2021-11-10 00:00:01,77
866663,2021-11-10 00:00:01,14
668831,2021-11-10 00:00:01,488
1495593,2021-11-10 00:00:01,30
1051101,2021-11-10 00:00:01,568
1113401,2021-11-10 00:00:01,167
1568792,2021-11-10 00:00:01,0
1496178,2021-11-10 00:00:01,0
1570038,2021-11-10 00:00:01,0
1569183,2021-11-10 00:00:01,1
1495954,2021-11-10 00:00:01,0
1495594,2021-11-10 00:00:01,16
1495566,2021-11-10 00:00:01,64
1495580,2021-11-10 00:00:01,0
1495596,2021-11-10 00:00:01,4
1495386,2021-11-10 00:00:01,0
1495680,2021-11-10 00:00:01,1
1495622,2021-11-10 00:00:01,1
1570185,2021-11-10 00:00:01,0
1495568,2021-11-10 00:00:01,0
1565220,2021-11-10 00:00:01,0
1568804,2021-11-10 00:00:01,0
1495562,2021-11-10 00:00:01,164
1566024,2021-11-10 00:00:01,1
989647,2021-11-10 00:00:01,12
1576989,2021-11-10 00:00:01,10
1448316,2021-11-10 00:00:01,35
744822,2021-11-10 00:00:01,630
1910369,2021-11-10 00:00:01,60
819245,2021-11-10 00:00:01,19
