구,동,평균유동인구
종로구,청운효자동,13988.666666666668
종로구,사직동,31652.5
종로구,삼청동,5726.333333333334
종로구,부암동,4217.833333333334
종로구,평창동,1648.0
종로구,무악동,36718.5
종로구,교남동,79139.0
종로구,가회동,19455.0
종로구,종로1.2.3.4가동,29439.166666666664
종로구,종로5.6가동,72024.83333333334
종로구,이화동,42034.0
종로구,혜화동,70785.16666666666
종로구,창신1동,118648.0
종로구,창신2동,184893.8333333333
종로구,창신3동,55953.5
종로구,숭인1동,97979.5
종로구,숭인2동,145265.8333333333
중구,소공동,27977.5
중구,회현동,33226.66666666667
중구,명동,53154.16666666667
중구,필동,15820.333333333332
중구,장충동,17057.833333333336
중구,광희동,44083.83333333333
중구,을지로동,61701.5
중구,신당동,113899.33333333334
중구,다산동,80235.83333333334
중구,약수동,40390.33333333333
중구,청구동,117222.16666666666
중구,신당5동,120788.16666666666
중구,동화동,86136.83333333334
중구,황학동,162556.8333333333
중구,중림동,38328.83333333333
용산구,후암동,40207.33333333333
용산구,용산2가동,16507.5
용산구,남영동,30798.333333333336
용산구,청파동,79843.16666666666
용산구,원효로1동,74965.66666666666
용산구,원효로2동,32769.666666666664
용산구,효창동,75856.16666666666
용산구,용문동,101408.5
용산구,한강로동,14540.833333333332
용산구,이촌1동,27537.166666666664
용산구,이촌2동,11717.833333333332
용산구,이태원1동,46141.5
용산구,이태원2동,35380.0
용산구,한남동,15616.833333333332
용산구,서빙고동,6028.333333333334
용산구,보광동,40318.16666666667
성동구,왕십리2동,93248.33333333334
성동구,왕십리도선동,62867.83333333333
성동구,마장동,48805.33333333333
성동구,사근동,21267.5
성동구,행당1동,92375.66666666666
성동구,행당2동,81490.83333333334
성동구,응봉동,53765.5
성동구,금호1가동,78908.16666666666
성동구,금호2.3가동,97955.33333333334
성동구,금호4가동,20210.166666666664
성동구,옥수동,26852.833333333336
성동구,성수1가1동,12553.333333333332
성동구,성수1가2동,54158.5
성동구,성수2가1동,41328.83333333333
성동구,성수2가3동,40680.83333333333
성동구,송정동,46263.66666666667
성동구,용답동,13175.833333333332
광진구,화양동,88964.83333333334
광진구,군자동,77612.83333333334
광진구,중곡1동,67849.5
광진구,중곡2동,90479.83333333334
광진구,중곡3동,86114.0
광진구,중곡4동,37161.66666666667
광진구,능동,19742.166666666664
광진구,광장동,24419.666666666664
광진구,자양1동,144168.0
광진구,자양2동,33108.33333333333
광진구,자양3동,74159.66666666666
광진구,자양4동,63573.0
광진구,구의1동,126500.66666666666
광진구,구의2동,46866.66666666667
광진구,구의3동,47326.66666666667
동대문구,용신동,76028.16666666666
동대문구,제기동,90702.0
동대문구,전농1동,108237.16666666666
동대문구,전농2동,28214.166666666664
동대문구,답십리1동,85481.16666666666
동대문구,답십리2동,63331.33333333333
동대문구,장안1동,66530.83333333334
동대문구,장안2동,71232.83333333334
동대문구,청량리동,51810.83333333333
동대문구,회기동,61649.83333333333
동대문구,휘경1동,111353.33333333334
동대문구,휘경2동,48451.83333333333
동대문구,이문1동,101750.5
동대문구,이문2동,71962.16666666666
중랑구,면목2동,81150.5
중랑구,면목4동,70331.0
중랑구,면목5동,46531.0
중랑구,면목본동,132589.8333333333
중랑구,면목7동,50338.83333333333
중랑구,면목3.8동,41988.5
중랑구,상봉1동,69428.33333333333
중랑구,상봉2동,99146.66666666666
중랑구,중화1동,80815.83333333334
중랑구,중화2동,72318.83333333334
중랑구,묵1동,62688.5
중랑구,묵2동,83443.16666666666
중랑구,망우본동,30797.333333333336
중랑구,망우3동,42775.16666666667
중랑구,신내1동,22098.833333333336
중랑구,신내2동,30962.166666666664
성북구,성북동,6377.833333333334
성북구,삼선동,94888.83333333334
성북구,동선동,118749.16666666666
성북구,돈암1동,70754.33333333334
성북구,돈암2동,41290.33333333333
성북구,안암동,42253.5
성북구,보문동,103858.16666666666
성북구,정릉1동,131311.66666666666
성북구,정릉2동,42183.66666666667
성북구,정릉3동,7669.833333333334
성북구,정릉4동,9609.333333333332
성북구,길음1동,84803.0
성북구,길음2동,61814.0
성북구,종암동,66059.16666666666
성북구,월곡1동,57757.66666666667
성북구,월곡2동,56043.16666666667
성북구,장위1동,103020.5
성북구,장위2동,82666.0
성북구,장위3동,45706.33333333333
성북구,석관동,50490.33333333333
강북구,삼양동,93480.5
강북구,미아동,64723.16666666667
강북구,송중동,100469.66666666666
강북구,송천동,123847.16666666666
강북구,삼각산동,59652.83333333333
강북구,번1동,119374.83333333334
강북구,번2동,30967.666666666664
강북구,번3동,28335.666666666664
강북구,수유1동,36372.0
강북구,수유2동,113854.0
강북구,수유3동,123291.33333333334
강북구,우이동,3566.166666666667
강북구,인수동,29748.5
도봉구,창1동,49587.66666666667
도봉구,창2동,118171.66666666666
도봉구,창3동,61485.0
도봉구,창4동,33890.33333333333
도봉구,창5동,77447.5
도봉구,도봉1동,4397.666666666666
도봉구,도봉2동,24096.666666666664
도봉구,쌍문1동,37817.5
도봉구,쌍문2동,102322.33333333334
도봉구,쌍문3동,97101.33333333334
도봉구,쌍문4동,57313.83333333333
도봉구,방학1동,70497.33333333333
도봉구,방학2동,37296.0
도봉구,방학3동,18614.0
노원구,월계1동,46333.66666666667
노원구,월계2동,18119.666666666664
노원구,월계3동,17995.0
노원구,공릉1동,90448.33333333334
노원구,공릉2동,10407.833333333332
노원구,하계1동,32420.833333333336
노원구,하계2동,59349.16666666667
노원구,중계본동,19006.333333333336
노원구,중계1동,57885.66666666667
노원구,중계4동,21694.333333333336
노원구,중계2.3동,52415.83333333333
노원구,상계1동,12082.5
노원구,상계2동,162658.1666666667
노원구,상계3.4동,12939.0
노원구,상계5동,116043.16666666666
노원구,상계6.7동,39582.0
노원구,상계8동,18722.5
노원구,상계9동,27724.333333333336
노원구,상계10동,35918.0
은평구,녹번동,43363.33333333333
은평구,불광1동,19323.666666666664
은평구,불광2동,54083.16666666667
은평구,갈현1동,96099.66666666666
은평구,갈현2동,71628.0
은평구,구산동,53594.16666666667
은평구,대조동,143986.1666666667
은평구,응암1동,62615.0
은평구,응암2동,50583.33333333333
은평구,응암3동,124202.66666666666
은평구,역촌동,135674.1666666667
은평구,신사1동,91330.66666666666
은평구,신사2동,50891.66666666667
은평구,증산동,43606.33333333333
은평구,수색동,25146.0
은평구,진관동,4269.5
서대문구,천연동,39392.5
서대문구,북아현동,271131.6666666666
서대문구,충현동,89396.0
서대문구,신촌동,48704.33333333333
서대문구,연희동,30796.333333333336
서대문구,홍제1동,47811.33333333333
서대문구,홍제3동,43914.0
서대문구,홍제2동,26547.833333333336
서대문구,홍은1동,21040.0
서대문구,홍은2동,28072.5
서대문구,남가좌1동,28722.5
서대문구,남가좌2동,80290.5
서대문구,북가좌1동,51170.33333333333
서대문구,북가좌2동,143719.8333333333
마포구,아현동,76772.5
마포구,공덕동,143041.0
마포구,도화동,64114.83333333333
