구,동,평균직장인구
종로구,청운효자동,29.833333333333336
종로구,사직동,587.1666666666667
종로구,삼청동,28.166666666666664
종로구,부암동,14.0
종로구,평창동,3.0
종로구,무악동,17.666666666666664
종로구,교남동,113.5
종로구,가회동,390.0
종로구,종로1.2.3.4가동,615.0
종로구,종로5.6가동,320.16666666666663
종로구,이화동,226.3333333333333
종로구,혜화동,43.0
종로구,창신1동,96.0
종로구,창신2동,25.0
종로구,창신3동,20.166666666666664
종로구,숭인1동,26.333333333333336
종로구,숭인2동,80.0
중구,소공동,1470.5
중구,회현동,842.0
중구,명동,1607.6666666666663
중구,필동,161.33333333333331
중구,장충동,97.16666666666666
중구,광희동,496.1666666666667
중구,을지로동,482.1666666666666
중구,신당동,258.5
중구,다산동,156.16666666666669
중구,약수동,56.5
중구,청구동,87.0
중구,신당5동,60.83333333333333
중구,동화동,82.0
중구,황학동,99.0
중구,중림동,154.33333333333331
용산구,후암동,44.16666666666667
용산구,용산2가동,14.833333333333332
용산구,남영동,441.0
용산구,청파동,94.5
용산구,원효로1동,280.83333333333337
용산구,원효로2동,57.66666666666667
용산구,효창동,38.66666666666667
용산구,용문동,36.0
용산구,한강로동,199.0
용산구,이촌1동,9.5
용산구,이촌2동,4.0
용산구,이태원1동,100.83333333333334
용산구,이태원2동,30.0
용산구,한남동,50.16666666666667
용산구,서빙고동,21.0
용산구,보광동,11.0
성동구,왕십리2동,31.83333333333333
성동구,왕십리도선동,113.5
성동구,마장동,105.66666666666666
성동구,사근동,66.83333333333334
성동구,행당1동,106.83333333333334
성동구,행당2동,21.166666666666664
성동구,응봉동,8.0
성동구,금호1가동,22.0
성동구,금호2.3가동,19.166666666666664
성동구,금호4가동,9.666666666666668
성동구,옥수동,17.166666666666664
성동구,성수1가1동,32.83333333333333
성동구,성수1가2동,174.83333333333331
성동구,성수2가1동,381.33333333333337
성동구,성수2가3동,470.83333333333337
성동구,송정동,32.33333333333333
성동구,용답동,118.0
광진구,화양동,54.5
광진구,군자동,92.0
광진구,중곡1동,69.0
광진구,중곡2동,72.0
광진구,중곡3동,41.33333333333333
광진구,중곡4동,11.0
광진구,능동,30.166666666666664
광진구,광장동,29.166666666666664
광진구,자양1동,158.16666666666669
광진구,자양2동,32.833333333333336
광진구,자양3동,28.666666666666664
광진구,자양4동,25.5
광진구,구의1동,83.33333333333334
광진구,구의2동,24.166666666666664
광진구,구의3동,94.5
동대문구,용신동,177.0
동대문구,제기동,50.66666666666667
동대문구,전농1동,24.166666666666664
동대문구,전농2동,34.0
동대문구,답십리1동,60.5
동대문구,답십리2동,45.16666666666667
동대문구,장안1동,102.33333333333334
동대문구,장안2동,60.83333333333333
동대문구,청량리동,48.16666666666667
동대문구,회기동,49.33333333333333
동대문구,휘경1동,33.16666666666667
동대문구,휘경2동,32.83333333333333
동대문구,이문1동,57.66666666666667
동대문구,이문2동,15.333333333333334
중랑구,면목2동,35.5
중랑구,면목4동,22.0
중랑구,면목5동,17.5
중랑구,면목본동,28.0
중랑구,면목7동,12.166666666666668
중랑구,면목3.8동,22.666666666666664
중랑구,상봉1동,34.33333333333333
중랑구,상봉2동,115.0
중랑구,중화1동,28.166666666666664
중랑구,중화2동,42.33333333333333
중랑구,묵1동,26.333333333333336
중랑구,묵2동,26.833333333333336
중랑구,망우본동,18.5
중랑구,망우3동,17.5
중랑구,신내1동,27.666666666666664
중랑구,신내2동,45.16666666666667
성북구,성북동,10.166666666666668
성북구,삼선동,75.16666666666666
성북구,동선동,84.83333333333334
성북구,돈암1동,21.0
성북구,돈암2동,16.666666666666664
성북구,안암동,68.0
성북구,보문동,63.833333333333336
성북구,정릉1동,24.166666666666664
성북구,정릉2동,13.166666666666668
성북구,정릉3동,9.0
성북구,정릉4동,8.0
성북구,길음1동,28.333333333333336
성북구,길음2동,27.166666666666664
성북구,종암동,25.666666666666664
성북구,월곡1동,38.66666666666667
성북구,월곡2동,40.5
성북구,장위1동,13.333333333333332
성북구,장위2동,30.0
성북구,장위3동,25.0
성북구,석관동,27.666666666666664
강북구,삼양동,16.0
강북구,미아동,32.16666666666667
강북구,송중동,32.33333333333333
강북구,송천동,36.83333333333333
강북구,삼각산동,21.166666666666664
강북구,번1동,70.0
강북구,번2동,21.0
강북구,번3동,14.0
강북구,수유1동,17.166666666666664
강북구,수유2동,35.16666666666667
강북구,수유3동,66.83333333333334
강북구,우이동,2.0
강북구,인수동,12.0
도봉구,창1동,16.333333333333336
도봉구,창2동,34.5
도봉구,창3동,15.0
도봉구,창4동,32.66666666666667
도봉구,창5동,75.33333333333334
도봉구,도봉1동,4.0
도봉구,도봉2동,44.0
도봉구,쌍문1동,20.166666666666664
도봉구,쌍문2동,56.33333333333333
도봉구,쌍문3동,42.33333333333333
도봉구,쌍문4동,22.166666666666664
도봉구,방학1동,49.83333333333333
도봉구,방학2동,12.0
도봉구,방학3동,10.0
노원구,월계1동,22.833333333333336
노원구,월계2동,11.0
노원구,월계3동,14.833333333333332
노원구,공릉1동,75.5
노원구,공릉2동,9.0
노원구,하계1동,52.33333333333333
노원구,하계2동,12.5
노원구,중계본동,11.5
노원구,중계1동,24.5
노원구,중계4동,14.166666666666668
노원구,중계2.3동,31.166666666666664
노원구,상계1동,12.166666666666668
노원구,상계2동,72.66666666666666
노원구,상계3.4동,5.833333333333334
노원구,상계5동,41.0
노원구,상계6.7동,62.5
노원구,상계8동,17.5
노원구,상계9동,15.5
노원구,상계10동,12.5
은평구,녹번동,38.16666666666667
은평구,불광1동,9.166666666666668
은평구,불광2동,20.166666666666664
은평구,갈현1동,24.666666666666664
은평구,갈현2동,32.83333333333333
은평구,구산동,32.16666666666667
은평구,대조동,40.5
은평구,응암1동,34.16666666666667
은평구,응암2동,17.833333333333336
은평구,응암3동,32.33333333333333
은평구,역촌동,36.33333333333333
은평구,신사1동,25.166666666666664
은평구,신사2동,17.166666666666664
은평구,증산동,25.0
은평구,수색동,11.5
은평구,진관동,3.5
서대문구,천연동,17.166666666666664
서대문구,북아현동,27.666666666666664
서대문구,충현동,220.66666666666669
서대문구,신촌동,80.66666666666666
서대문구,연희동,29.5
서대문구,홍제1동,12.0
서대문구,홍제3동,14.166666666666668
서대문구,홍제2동,16.666666666666664
서대문구,홍은1동,9.166666666666668
서대문구,홍은2동,17.166666666666664
서대문구,남가좌1동,28.0
서대문구,남가좌2동,20.333333333333336
서대문구,북가좌1동,30.5
서대문구,북가좌2동,32.66666666666667
마포구,아현동,254.16666666666669
마포구,공덕동,122.66666666666666
마포구,도화동,174.83333333333331
마포구,용강동,197.0
마포구,대흥동,82.66666666666666
마포구,염리동,145.0
마포구,신수동,47.33333333333333
마포구,서강동,52.0
마포구,서교동,299.16666666666663
마포구,합정동,61.16666666666667
마포구,망원1동,26.666666666666664
마포구,망원2동,22.0
마포구,연남동,74.5
마포구,성산1동,108.0
마포구,성산2동,48.0
마포구,상암동,46.33333333333333
양천구,목1동,90.16666666666666
양천구,목2동,24.5
양천구,목3동,45.66666666666667
양천구,목4동,36.33333333333333
양천구,목5동,30.333333333333336
