,구,동,평균직장인구
0,종로구,청운효자동,36.83333333333333
1,종로구,사직동,496.83333333333337
2,종로구,삼청동,37.5
3,종로구,부암동,16.166666666666664
4,종로구,평창동,13.833333333333334
5,종로구,무악동,17.333333333333332
6,종로구,교남동,78.0
7,종로구,가회동,264.5
8,종로구,종로1.2.3.4가동,486.0
9,종로구,종로5.6가동,270.3333333333333
10,종로구,이화동,146.83333333333334
11,종로구,혜화동,49.33333333333333
12,종로구,창신1동,79.33333333333333
13,종로구,창신2동,19.666666666666668
14,종로구,창신3동,16.166666666666668
15,종로구,숭인1동,24.333333333333336
16,종로구,숭인2동,70.0
17,중구,소공동,1212.0
18,중구,회현동,645.6666666666666
19,중구,명동,1339.1666666666667
20,중구,필동,151.33333333333331
21,중구,장충동,100.83333333333334
22,중구,광희동,553.6666666666667
23,중구,을지로동,363.5
24,중구,신당동,164.5
25,중구,다산동,136.0
26,중구,약수동,293.1666666666667
27,중구,청구동,86.33333333333334
28,중구,신당5동,49.0
29,중구,동화동,65.5
30,중구,황학동,77.0
31,중구,중림동,129.33333333333334
32,용산구,후암동,32.666666666666664
33,용산구,용산2가동,13.0
34,용산구,남영동,365.33333333333337
35,용산구,청파동,82.16666666666666
36,용산구,원효로1동,187.16666666666666
37,용산구,원효로2동,57.83333333333333
38,용산구,효창동,38.16666666666667
39,용산구,용문동,66.33333333333334
40,용산구,한강로동,179.16666666666669
41,용산구,이촌1동,32.5
42,용산구,이촌2동,12.0
43,용산구,이태원1동,162.33333333333331
44,용산구,이태원2동,29.0
45,용산구,한남동,93.66666666666667
46,용산구,서빙고동,42.666666666666664
47,용산구,보광동,16.833333333333336
48,성동구,왕십리2동,33.5
49,성동구,왕십리도선동,94.5
50,성동구,마장동,78.0
51,성동구,사근동,45.666666666666664
52,성동구,행당1동,118.5
53,성동구,행당2동,14.333333333333334
54,성동구,응봉동,16.833333333333336
55,성동구,금호1가동,38.33333333333333
56,성동구,금호2.3가동,17.5
57,성동구,금호4가동,11.833333333333332
58,성동구,옥수동,30.166666666666668
59,성동구,성수1가1동,27.0
60,성동구,성수1가2동,123.66666666666666
61,성동구,성수2가1동,233.33333333333334
62,성동구,성수2가3동,353.6666666666667
63,성동구,송정동,28.166666666666664
64,성동구,용답동,69.16666666666667
65,광진구,화양동,40.166666666666664
66,광진구,군자동,65.5
67,광진구,중곡1동,69.16666666666666
68,광진구,중곡2동,63.33333333333333
69,광진구,중곡3동,33.166666666666664
70,광진구,중곡4동,16.166666666666664
71,광진구,능동,27.333333333333336
72,광진구,광장동,39.33333333333333
73,광진구,자양1동,179.83333333333331
74,광진구,자양2동,31.333333333333336
75,광진구,자양3동,29.0
76,광진구,자양4동,18.333333333333332
77,광진구,구의1동,74.66666666666666
78,광진구,구의2동,27.333333333333336
79,광진구,구의3동,96.33333333333334
80,동대문구,용신동,164.33333333333331
81,동대문구,제기동,48.66666666666667
82,동대문구,전농1동,20.0
83,동대문구,전농2동,39.83333333333333
84,동대문구,답십리1동,76.5
85,동대문구,답십리2동,39.16666666666667
86,동대문구,장안1동,92.66666666666666
87,동대문구,장안2동,61.16666666666667
88,동대문구,청량리동,46.66666666666667
89,동대문구,회기동,30.333333333333332
90,동대문구,휘경1동,32.0
91,동대문구,휘경2동,35.0
92,동대문구,이문1동,48.0
93,동대문구,이문2동,24.333333333333336
94,중랑구,면목2동,29.0
95,중랑구,면목4동,20.333333333333336
96,중랑구,면목5동,19.333333333333336
97,중랑구,면목본동,25.666666666666664
98,중랑구,면목7동,12.166666666666668
99,중랑구,면목3.8동,23.166666666666664
100,중랑구,상봉1동,30.0
