,Unnamed: 0,구별,동별,연도,주차장면수
4,4,종로구,사직동,2022,12605
9,9,종로구,삼청동,2022,2237
14,14,종로구,부암동,2022,3533
19,19,종로구,평창동,2022,9390
24,24,종로구,무악동,2022,3185
29,29,종로구,교남동,2022,5240
34,34,종로구,가회동,2022,3238
39,39,종로구,종로1.2.3.4가동,2022,18551
44,44,종로구,종로5.6가동,2022,4754
49,49,종로구,이화동,2022,8766
54,54,종로구,창신1동,2022,2175
59,59,종로구,창신2동,2022,917
64,64,종로구,창신3동,2022,1637
69,69,종로구,숭인1동,2022,1512
74,74,종로구,숭인2동,2022,3776
79,79,종로구,청운효자동,2022,4592
84,84,종로구,혜화동,2022,5954
89,89,중구,소공동,2022,14062
94,94,중구,회현동,2022,11806
99,99,중구,명동,2022,15101
104,104,중구,필동,2022,4903
109,109,중구,장충동,2022,5458
114,114,중구,광희동,2022,8776
119,119,중구,을지로동,2022,4828
124,124,중구,신당5동,2022,2794
129,129,중구,황학동,2022,6894
134,134,중구,중림동,2022,5383
139,139,중구,신당동,2022,7819
144,144,중구,다산동,2022,4827
149,149,중구,약수동,2022,6341
154,154,중구,청구동,2022,5147
159,159,중구,동화동,2022,5014
164,164,용산구,후암동,2022,4578
169,169,용산구,용산2가동,2022,1177
174,174,용산구,남영동,2022,5552
179,179,용산구,원효로2동,2022,6196
184,184,용산구,효창동,2022,3837
189,189,용산구,용문동,2022,4697
194,194,용산구,이촌1동,2022,10058
199,199,용산구,이촌2동,2022,2159
204,204,용산구,이태원1동,2022,3966
209,209,용산구,이태원2동,2022,3786
214,214,용산구,서빙고동,2022,6523
219,219,용산구,보광동,2022,2800
224,224,용산구,청파동,2022,6781
229,229,용산구,원효로1동,2022,9967
234,234,용산구,한강로동,2022,30057
239,239,용산구,한남동,2022,16498
244,244,성동구,왕십리2동,2022,5044
249,249,성동구,마장동,2022,8796
254,254,성동구,사근동,2022,7355
259,259,성동구,행당1동,2022,7516
264,264,성동구,행당2동,2022,9357
269,269,성동구,응봉동,2022,3151
274,274,성동구,금호1가동,2022,5457
279,279,성동구,금호4가동,2022,5423
284,284,성동구,성수1가1동,2022,7635
289,289,성동구,성수1가2동,2022,9712
294,294,성동구,성수2가1동,2022,8387
299,299,성동구,성수2가3동,2022,16697
304,304,성동구,송정동,2022,3118
309,309,성동구,용답동,2022,6002
314,314,성동구,왕십리도선동,2022,13447
319,319,성동구,금호2.3가동,2022,6764
324,324,성동구,옥수동,2022,10683
329,329,광진구,화양동,2022,10647
334,334,광진구,군자동,2022,7263
339,339,광진구,중곡1동,2022,4979
344,344,광진구,중곡2동,2022,6526
349,349,광진구,중곡3동,2022,5359
354,354,광진구,중곡4동,2022,8177
359,359,광진구,능동,2022,6560
364,364,광진구,구의1동,2022,8621
369,369,광진구,구의2동,2022,8722
374,374,광진구,구의3동,2022,14788
379,379,광진구,광장동,2022,16425
384,384,광진구,자양1동,2022,6870
389,389,광진구,자양2동,2022,9499
394,394,광진구,자양3동,2022,14240
399,399,광진구,자양4동,2022,5713
404,404,동대문구,회기동,2022,6029
409,409,동대문구,휘경1동,2022,6499
414,414,동대문구,휘경2동,2022,11358
419,419,동대문구,청량리동,2022,8940
424,424,동대문구,용신동,2022,16812
429,429,동대문구,제기동,2022,9163
