,구별,동별,연도,주차장면수
0,종로구,사직동,2018,15562
1,종로구,사직동,2019,14217
2,종로구,사직동,2020,14146
3,종로구,사직동,2021,14232
4,종로구,사직동,2022,12605
5,종로구,삼청동,2018,2064
6,종로구,삼청동,2019,1853
7,종로구,삼청동,2020,1867
8,종로구,삼청동,2021,1840
9,종로구,삼청동,2022,2237
10,종로구,부암동,2018,3522
11,종로구,부암동,2019,3474
12,종로구,부암동,2020,3485
13,종로구,부암동,2021,3494
14,종로구,부암동,2022,3533
15,종로구,평창동,2018,9587
16,종로구,평창동,2019,9620
17,종로구,평창동,2020,9614
18,종로구,평창동,2021,9505
19,종로구,평창동,2022,9390
20,종로구,무악동,2018,2891
21,종로구,무악동,2019,3249
22,종로구,무악동,2020,3249
23,종로구,무악동,2021,3249
24,종로구,무악동,2022,3185
25,종로구,교남동,2018,1429
26,종로구,교남동,2019,5254
27,종로구,교남동,2020,5261
28,종로구,교남동,2021,4927
29,종로구,교남동,2022,5240
30,종로구,가회동,2018,2787
31,종로구,가회동,2019,2942
32,종로구,가회동,2020,2955
33,종로구,가회동,2021,2914
34,종로구,가회동,2022,3238
35,종로구,종로1.2.3.4가동,2018,18736
36,종로구,종로1.2.3.4가동,2019,18101
37,종로구,종로1.2.3.4가동,2020,18146
38,종로구,종로1.2.3.4가동,2021,19276
39,종로구,종로1.2.3.4가동,2022,18551
40,종로구,종로5.6가동,2018,5094
41,종로구,종로5.6가동,2019,5203
42,종로구,종로5.6가동,2020,4882
43,종로구,종로5.6가동,2021,5276
44,종로구,종로5.6가동,2022,4754
45,종로구,이화동,2018,10252
46,종로구,이화동,2019,9643
47,종로구,이화동,2020,9590
48,종로구,이화동,2021,9607
49,종로구,이화동,2022,8766
50,종로구,창신1동,2018,2337
51,종로구,창신1동,2019,2286
52,종로구,창신1동,2020,2291
53,종로구,창신1동,2021,2388
54,종로구,창신1동,2022,2175
55,종로구,창신2동,2018,935
56,종로구,창신2동,2019,995
57,종로구,창신2동,2020,993
58,종로구,창신2동,2021,999
59,종로구,창신2동,2022,917
60,종로구,창신3동,2018,1538
61,종로구,창신3동,2019,1712
62,종로구,창신3동,2020,1781
63,종로구,창신3동,2021,1722
64,종로구,창신3동,2022,1637
65,종로구,숭인1동,2018,1737
66,종로구,숭인1동,2019,1832
67,종로구,숭인1동,2020,1831
68,종로구,숭인1동,2021,1860
69,종로구,숭인1동,2022,1512
70,종로구,숭인2동,2018,3593
71,종로구,숭인2동,2019,3561
72,종로구,숭인2동,2020,3551
73,종로구,숭인2동,2021,3674
74,종로구,숭인2동,2022,3776
75,종로구,청운효자동,2018,5585
76,종로구,청운효자동,2019,4774
77,종로구,청운효자동,2020,4771
78,종로구,청운효자동,2021,4663
79,종로구,청운효자동,2022,4592
80,종로구,혜화동,2018,6836
81,종로구,혜화동,2019,6634
82,종로구,혜화동,2020,6635
83,종로구,혜화동,2021,6724
84,종로구,혜화동,2022,5954
85,중구,소공동,2018,14053
86,중구,소공동,2019,13973
87,중구,소공동,2020,14076
88,중구,소공동,2021,14056
89,중구,소공동,2022,14062
90,중구,회현동,2018,12487
91,중구,회현동,2019,12348
92,중구,회현동,2020,12208
93,중구,회현동,2021,11896
94,중구,회현동,2022,11806
95,중구,명동,2018,14525
96,중구,명동,2019,14470
97,중구,명동,2020,13938
98,중구,명동,2021,14869
99,중구,명동,2022,15101
100,중구,필동,2018,5163
101,중구,필동,2019,4996
102,중구,필동,2020,5001
103,중구,필동,2021,4870
104,중구,필동,2022,4903
105,중구,장충동,2018,4638
106,중구,장충동,2019,4658
107,중구,장충동,2020,5485
108,중구,장충동,2021,5467
109,중구,장충동,2022,5458
110,중구,광희동,2018,9944
111,중구,광희동,2019,8647
112,중구,광희동,2020,8709
113,중구,광희동,2021,8616
114,중구,광희동,2022,8776
115,중구,을지로동,2018,5112
116,중구,을지로동,2019,4714
117,중구,을지로동,2020,4989
118,중구,을지로동,2021,4865
119,중구,을지로동,2022,4828
120,중구,신당5동,2018,2984
121,중구,신당5동,2019,3097
122,중구,신당5동,2020,6547
123,중구,신당5동,2021,2975
124,중구,신당5동,2022,2794
125,중구,황학동,2018,5957
126,중구,황학동,2019,6140
127,중구,황학동,2020,6226
128,중구,황학동,2021,6584
129,중구,황학동,2022,6894
130,중구,중림동,2018,6226
131,중구,중림동,2019,5982
132,중구,중림동,2020,5346
133,중구,중림동,2021,5365
134,중구,중림동,2022,5383
135,중구,신당동,2018,6988
136,중구,신당동,2019,8079
137,중구,신당동,2020,4182
138,중구,신당동,2021,7755
139,중구,신당동,2022,7819
140,중구,다산동,2018,4735
141,중구,다산동,2019,4819
142,중구,다산동,2020,4761
143,중구,다산동,2021,4795
144,중구,다산동,2022,4827
145,중구,약수동,2018,6134
146,중구,약수동,2019,6189
147,중구,약수동,2020,6144
148,중구,약수동,2021,6309
149,중구,약수동,2022,6341
150,중구,청구동,2018,5132
151,중구,청구동,2019,5128
152,중구,청구동,2020,5144
153,중구,청구동,2021,5142
154,중구,청구동,2022,5147
155,중구,동화동,2018,4162
156,중구,동화동,2019,4159
157,중구,동화동,2020,4982
158,중구,동화동,2021,4997
159,중구,동화동,2022,5014
160,용산구,후암동,2018,4669
161,용산구,후암동,2019,4600
162,용산구,후암동,2020,4853
163,용산구,후암동,2021,4204
164,용산구,후암동,2022,4578
165,용산구,용산2가동,2018,1955
166,용산구,용산2가동,2019,2014
167,용산구,용산2가동,2020,2068
168,용산구,용산2가동,2021,1199
169,용산구,용산2가동,2022,1177
170,용산구,남영동,2018,5579
171,용산구,남영동,2019,5578
172,용산구,남영동,2020,5587
173,용산구,남영동,2021,5512
174,용산구,남영동,2022,5552
175,용산구,원효로2동,2018,5765
176,용산구,원효로2동,2019,5812
177,용산구,원효로2동,2020,5640
178,용산구,원효로2동,2021,5281
179,용산구,원효로2동,2022,6196
180,용산구,효창동,2018,3379
181,용산구,효창동,2019,3931
182,용산구,효창동,2020,4049
183,용산구,효창동,2021,3835
184,용산구,효창동,2022,3837
185,용산구,용문동,2018,4142
186,용산구,용문동,2019,4166
187,용산구,용문동,2020,4380
188,용산구,용문동,2021,4268
189,용산구,용문동,2022,4697
190,용산구,이촌1동,2018,11392
191,용산구,이촌1동,2019,12289
192,용산구,이촌1동,2020,12547
193,용산구,이촌1동,2021,10739
