,Unnamed: 0,구별,동별,연도,주민인구
4,4,종로구,사직동,2022,9355
9,9,종로구,삼청동,2022,2642
14,14,종로구,부암동,2022,9536
19,19,종로구,평창동,2022,17858
24,24,종로구,무악동,2022,8052
29,29,종로구,교남동,2022,9994
34,34,종로구,가회동,2022,4065
39,39,종로구,종로1.2.3.4가동,2022,8700
44,44,종로구,종로5.6가동,2022,5817
49,49,종로구,이화동,2022,7631
54,54,종로구,창신1동,2022,5383
59,59,종로구,창신2동,2022,8796
64,64,종로구,창신3동,2022,6606
69,69,종로구,숭인1동,2022,6057
74,74,종로구,숭인2동,2022,10509
79,79,종로구,청운효자동,2022,11818
84,84,종로구,혜화동,2022,19392
89,89,중구,소공동,2022,3578
94,94,중구,회현동,2022,5222
99,99,중구,명동,2022,3638
104,104,중구,필동,2022,4816
109,109,중구,장충동,2022,5326
114,114,중구,광희동,2022,6682
119,119,중구,을지로동,2022,1912
124,124,중구,신당5동,2022,10513
129,129,중구,황학동,2022,13459
134,134,중구,중림동,2022,12338
139,139,중구,신당동,2022,9087
144,144,중구,다산동,2022,13954
149,149,중구,약수동,2022,16610
154,154,중구,청구동,2022,13451
159,159,중구,동화동,2022,10199
164,164,용산구,후암동,2022,16812
169,169,용산구,용산2가동,2022,10333
174,174,용산구,남영동,2022,7552
179,179,용산구,원효로2동,2022,13795
184,184,용산구,효창동,2022,10888
189,189,용산구,용문동,2022,11664
194,194,용산구,이촌1동,2022,25707
199,199,용산구,이촌2동,2022,8094
204,204,용산구,이태원1동,2022,7947
209,209,용산구,이태원2동,2022,10427
214,214,용산구,서빙고동,2022,13458
219,219,용산구,보광동,2022,14060
224,224,용산구,청파동,2022,19833
229,229,용산구,원효로1동,2022,17774
234,234,용산구,한강로동,2022,22886
239,239,용산구,한남동,2022,22054
244,244,성동구,왕십리2동,2022,16688
249,249,성동구,마장동,2022,22706
254,254,성동구,사근동,2022,14082
259,259,성동구,행당1동,2022,13996
264,264,성동구,행당2동,2022,23148
269,269,성동구,응봉동,2022,15100
274,274,성동구,금호1가동,2022,15137
279,279,성동구,금호4가동,2022,14228
284,284,성동구,성수1가1동,2022,16407
289,289,성동구,성수1가2동,2022,12322
294,294,성동구,성수2가1동,2022,15716
299,299,성동구,성수2가3동,2022,10520
304,304,성동구,송정동,2022,10464
309,309,성동구,용답동,2022,12551
314,314,성동구,왕십리도선동,2022,26903
319,319,성동구,금호2.3가동,2022,22423
324,324,성동구,옥수동,2022,25843
334,334,광진구,화양동,2022,27082
339,339,광진구,군자동,2022,21524
344,344,광진구,중곡1동,2022,15663
349,349,광진구,중곡2동,2022,21336
354,354,광진구,중곡3동,2022,16177
359,359,광진구,중곡4동,2022,28405
364,364,광진구,능동,2022,11561
369,369,광진구,구의1동,2022,24049
374,374,광진구,구의2동,2022,26573
379,379,광진구,구의3동,2022,28440
384,384,광진구,광장동,2022,34362
389,389,광진구,자양1동,2022,22709
394,394,광진구,자양2동,2022,24253
399,399,광진구,자양3동,2022,27858
404,404,광진구,자양4동,2022,21260
409,409,동대문구,회기동,2022,13536
414,414,동대문구,휘경1동,2022,16339
419,419,동대문구,휘경2동,2022,24666
424,424,동대문구,청량리동,2022,19094
429,429,동대문구,용신동,2022,36137
434,434,동대문구,제기동,2022,26484
439,439,동대문구,전농1동,2022,29220
444,444,동대문구,전농2동,2022,18629
449,449,동대문구,답십리2동,2022,28055
454,454,동대문구,장안1동,2022,38677
459,459,동대문구,장안2동,2022,32685
464,464,동대문구,이문1동,2022,21366
469,469,동대문구,이문2동,2022,20183
