,구별,동별,연도,평균교통량
0,종로구,청운효자동,2018,641.5932598039216
1,종로구,사직동,2018,990.459829443447
2,종로구,삼청동,2018,985.403660252498
3,종로구,부암동,2018,985.403660252498
4,종로구,평창동,2018,932.1144838183184
5,종로구,무악동,2018,985.403660252498
6,종로구,교남동,2018,1521.9070512820513
7,종로구,가회동,2018,985.403660252498
8,종로구,종로1.2.3.4가동,2018,1067.1191614623992
9,종로구,종로5.6가동,2018,985.403660252498
10,종로구,이화동,2018,780.1726710334789
11,종로구,혜화동,2018,877.6091049382717
12,종로구,창신1동,2018,985.403660252498
13,종로구,창신2동,2018,985.403660252498
14,종로구,창신3동,2018,985.403660252498
15,종로구,숭인1동,2018,985.403660252498
16,종로구,숭인2동,2018,1072.2537202380952
17,중구,소공동,2018,976.7964689265536
18,중구,회현동,2018,563.2508078155461
19,중구,명동,2018,1088.8921062780782
20,중구,필동,2018,1020.2080976928788
21,중구,장충동,2018,1197.2986750677533
22,중구,광희동,2018,1020.2080976928788
23,중구,을지로동,2018,1020.2080976928788
24,중구,신당동,2018,1020.2080976928788
25,중구,다산동,2018,1020.2080976928788
26,중구,약수동,2018,1337.9245445593303
27,중구,청구동,2018,1020.2080976928788
28,중구,신당5동,2018,1020.2080976928788
29,중구,동화동,2018,1020.2080976928788
30,중구,황학동,2018,957.0859835100116
31,중구,중림동,2018,1020.2080976928788
32,용산구,후암동,2018,1435.16646751121
33,용산구,용산2가동,2018,784.4904815935452
34,용산구,남영동,2018,1435.16646751121
35,용산구,청파동,2018,1435.16646751121
36,용산구,원효로1동,2018,1435.16646751121
37,용산구,원효로2동,2018,1435.16646751121
38,용산구,효창동,2018,1435.16646751121
39,용산구,용문동,2018,1435.16646751121
40,용산구,한강로동,2018,1435.16646751121
41,용산구,이촌1동,2018,2776.8824508606617
42,용산구,이촌2동,2018,1435.16646751121
43,용산구,이태원1동,2018,1435.16646751121
44,용산구,이태원2동,2018,542.4735811504879
45,용산구,한남동,2018,1636.819356440145
46,용산구,서빙고동,2018,1435.16646751121
47,용산구,보광동,2018,1435.16646751121
48,성동구,왕십리2동,2018,1683.7646657344658
49,성동구,왕십리도선동,2018,1683.7646657344658
50,성동구,마장동,2018,1683.7646657344658
51,성동구,사근동,2018,1683.7646657344658
52,성동구,행당1동,2018,1683.7646657344658
53,성동구,행당2동,2018,1683.7646657344658
54,성동구,응봉동,2018,1683.7646657344658
55,성동구,금호1가동,2018,1683.7646657344658
56,성동구,금호2.3가동,2018,1683.7646657344658
57,성동구,금호4가동,2018,1683.7646657344658
58,성동구,옥수동,2018,1885.305348416044
59,성동구,성수1가1동,2018,1683.7646657344658
60,성동구,성수1가2동,2018,1683.7646657344658
61,성동구,성수2가1동,2018,1683.7646657344658
62,성동구,성수2가3동,2018,1683.7646657344658
63,성동구,송정동,2018,1404.4358230134158
64,성동구,용답동,2018,1761.552825773938
