,구별,동별,승객수
0,강남구,개포1동,1383381.0
1,강남구,개포2동,4297670.0
2,강남구,개포4동,2200443.0
3,강남구,논현1동,22841561.0
4,강남구,논현2동,18207161.0
5,강남구,대치1동,4610907.0
6,강남구,대치2동,27150232.0
7,강남구,대치4동,23160438.0
8,강남구,도곡1동,7837032.0
9,강남구,도곡2동,9223380.0
10,강남구,삼성1동,19090476.0
11,강남구,삼성2동,9433356.0
12,강남구,세곡동,5309496.0
13,강남구,수서동,12619894.0
14,강남구,신사동,4478167.0
15,강남구,압구정동,22222508.0
16,강남구,역삼1동,42861690.0
17,강남구,역삼2동,5661607.0
18,강남구,일원1동,1201882.0
19,강남구,일원2동,4317942.0
20,강남구,일원본동,5823645.0
21,강남구,청담동,6610867.0
22,강동구,강일동,3801622.0
23,강동구,고덕1동,1232919.0
24,강동구,고덕2동,1690238.0
25,강동구,길동,5802029.0
26,강동구,둔촌1동,3589617.0
27,강동구,둔촌2동,5471071.0
28,강동구,명일1동,5173806.0
29,강동구,명일2동,4647319.0
30,강동구,상일동,8359814.0
31,강동구,성내1동,5041439.0
32,강동구,성내2동,18924272.0
33,강동구,성내3동,1565661.0
34,강동구,암사1동,1047323.0
35,강동구,암사2동,6463595.0
36,강동구,암사3동,1163485.0
37,강동구,천호1동,4393552.0
38,강동구,천호2동,3758143.0
39,강동구,천호3동,1613402.0
40,강북구,미아동,8637666.0
41,강북구,번1동,18429555.0
42,강북구,번2동,3053665.0
43,강북구,번3동,2491434.0
44,강북구,삼각산동,2437761.0
45,강북구,삼양동,4118983.0
46,강북구,송중동,11218734.0
47,강북구,송천동,13885997.0
48,강북구,수유1동,4755775.0
49,강북구,수유2동,3262112.0
50,강북구,수유3동,7054747.0
51,강북구,우이동,5351505.0
52,강북구,인수동,3077129.0
53,강서구,가양1동,14562012.0
54,강서구,가양2동,696671.0
55,강서구,가양3동,733804.0
56,강서구,공항동,5656682.0
57,강서구,등촌1동,4798401.0
58,강서구,등촌2동,2514525.0
59,강서구,등촌3동,10756283.0
60,강서구,발산1동,8361847.0
61,강서구,방화1동,5860869.0
62,강서구,방화2동,12211371.0
63,강서구,방화3동,2665736.0
64,강서구,염창동,4548188.0
65,강서구,우장산동,10499278.0
66,강서구,화곡1동,24771328.0
67,강서구,화곡2동,1622771.0
68,강서구,화곡3동,1425640.0
69,강서구,화곡4동,1760106.0
70,강서구,화곡6동,4825927.0
71,강서구,화곡8동,2845792.0
72,강서구,화곡본동,2982363.0
73,관악구,낙성대동,5321774.0
74,관악구,난곡동,3710853.0
75,관악구,난향동,1942662.0
76,관악구,남현동,23832091.0
77,관악구,대학동,9118250.0
78,관악구,미성동,5231734.0
79,관악구,보라매동,3724635.0
80,관악구,삼성동,3374736.0
81,관악구,서림동,4096358.0
82,관악구,서원동,28336124.0
83,관악구,성현동,3103820.0
84,관악구,신림동,7432318.0
85,관악구,신사동,10187282.0
86,관악구,신원동,907188.0
87,관악구,은천동,4703071.0
88,관악구,인헌동,11293378.0
89,관악구,조원동,8792256.0
90,관악구,중앙동,3156749.0
91,관악구,청룡동,28515201.0
92,관악구,청림동,1327762.0
93,관악구,행운동,5390685.0
94,광진구,광장동,6048120.0
95,광진구,구의1동,10190644.0
96,광진구,구의2동,7566450.0
97,광진구,구의3동,12914418.0
98,광진구,군자동,2989565.0
99,광진구,능동,15706017.0
100,광진구,자양1동,2089438.0
101,광진구,자양2동,2276670.0
102,광진구,자양3동,2162027.0
103,광진구,자양4동,5129717.0
104,광진구,중곡1동,1485387.0
105,광진구,중곡2동,2016330.0
106,광진구,중곡3동,5209733.0
107,광진구,중곡4동,1228397.0
108,광진구,화양동,20082492.0
109,구로구,가리봉동,2259660.0
110,구로구,개봉1동,10640200.0
111,구로구,개봉2동,3755303.0
112,구로구,개봉3동,1386916.0
113,구로구,고척1동,3991126.0
114,구로구,고척2동,3277307.0
115,구로구,구로1동,1269764.0
116,구로구,구로2동,8963979.0
117,구로구,구로3동,29482041.0
118,구로구,구로4동,2532473.0
119,구로구,구로5동,8175324.0
120,구로구,수궁동,8801328.0
121,구로구,신도림동,22537540.0
122,구로구,오류1동,4765380.0
123,구로구,오류2동,7668421.0
124,금천구,가산동,26070260.0
125,금천구,독산1동,8509691.0
126,금천구,독산2동,3161442.0
127,금천구,독산3동,5113917.0
128,금천구,독산4동,3595999.0
129,금천구,시흥1동,8448200.0
130,금천구,시흥2동,2266068.0
131,금천구,시흥3동,1271754.0
132,금천구,시흥4동,2506285.0
133,금천구,시흥5동,4042494.0
134,노원구,공릉1동,12284277.0
135,노원구,공릉2동,8090458.0
136,노원구,상계10동,2200090.0
137,노원구,상계1동,6781940.0
138,노원구,상계2동,16514084.0
139,노원구,상계3.4동,3909336.0
140,노원구,상계5동,7860440.0
141,노원구,상계6.7동,3892569.0
142,노원구,상계8동,5010287.0
143,노원구,상계9동,1287387.0
144,노원구,월계1동,4541403.0
145,노원구,월계2동,4134733.0
146,노원구,월계3동,4093754.0
147,노원구,중계1동,2030357.0
148,노원구,중계2.3동,7777761.0
149,노원구,중계4동,2280260.0
150,노원구,중계본동,2688277.0
151,노원구,하계1동,3651132.0
152,노원구,하계2동,7750512.0
153,도봉구,도봉1동,3623884.0
154,도봉구,도봉2동,7952384.0
155,도봉구,방학1동,5310075.0
156,도봉구,방학2동,1490496.0
157,도봉구,방학3동,2966970.0
158,도봉구,쌍문1동,2715520.0
159,도봉구,쌍문2동,3143532.0
160,도봉구,쌍문3동,2668939.0
161,도봉구,쌍문4동,1990209.0
162,도봉구,창1동,14614966.0
163,도봉구,창2동,2459348.0
164,도봉구,창3동,1686603.0
165,도봉구,창4동,3999752.0
166,도봉구,창5동,10718427.0
167,동대문구,답십리1동,2499480.0
168,동대문구,답십리2동,3579384.0
169,동대문구,용신동,23294536.0
170,동대문구,이문1동,4139788.0
171,동대문구,이문2동,3128950.0
172,동대문구,장안1동,6006908.0
173,동대문구,장안2동,4893058.0
174,동대문구,전농1동,17161391.0
175,동대문구,전농2동,3040667.0
176,동대문구,제기동,9736465.0
177,동대문구,청량리동,4167901.0
178,동대문구,회기동,2247383.0
179,동대문구,휘경1동,9645480.0
180,동대문구,휘경2동,3850133.0
181,동작구,노량진1동,20354636.0
182,동작구,노량진2동,4527840.0
183,동작구,대방동,15689667.0
184,동작구,사당1동,2912763.0
185,동작구,사당2동,17032162.0
186,동작구,사당3동,2006349.0
187,동작구,사당4동,3928167.0
188,동작구,사당5동,1457483.0
189,동작구,상도1동,17639856.0
190,동작구,상도2동,6672300.0
191,동작구,상도3동,2801865.0
192,동작구,상도4동,2388036.0
