구별,동별,연도,면적
강남구,개포1동,2018,1.27
강남구,개포1동,2019,1.27
강남구,개포1동,2020,1.27
강남구,개포1동,2021,1.27
강남구,개포1동,2022,1.27
강남구,개포2동,2018,2.51
강남구,개포2동,2019,2.51
강남구,개포2동,2020,2.51
강남구,개포2동,2021,2.51
강남구,개포2동,2022,2.51
강남구,개포3동,2022,1.24
강남구,개포4동,2018,1.49
강남구,개포4동,2019,1.49
강남구,개포4동,2020,1.49
강남구,개포4동,2021,1.49
강남구,개포4동,2022,1.49
강남구,논현1동,2018,1.25
강남구,논현1동,2019,1.25
강남구,논현1동,2020,1.25
강남구,논현1동,2021,1.25
강남구,논현1동,2022,1.25
강남구,논현2동,2018,1.47
강남구,논현2동,2019,1.47
강남구,논현2동,2020,1.47
강남구,논현2동,2021,1.47
강남구,논현2동,2022,1.47
강남구,대치1동,2018,0.79
강남구,대치1동,2019,0.79
강남구,대치1동,2020,0.79
강남구,대치1동,2021,0.79
강남구,대치1동,2022,0.79
강남구,대치2동,2018,2.0
강남구,대치2동,2019,2.0
강남구,대치2동,2020,2.0
강남구,대치2동,2021,2.0
강남구,대치2동,2022,2.0
강남구,대치4동,2018,0.73
강남구,대치4동,2019,0.73
강남구,대치4동,2020,0.73
강남구,대치4동,2021,0.73
강남구,대치4동,2022,0.73
강남구,도곡1동,2018,1.02
강남구,도곡1동,2019,1.02
강남구,도곡1동,2020,1.02
강남구,도곡1동,2021,1.02
강남구,도곡1동,2022,1.02
강남구,도곡2동,2018,1.02
강남구,도곡2동,2019,1.02
강남구,도곡2동,2020,1.02
강남구,도곡2동,2021,1.02
강남구,도곡2동,2022,1.02
강남구,삼성1동,2018,1.94
강남구,삼성1동,2019,1.94
강남구,삼성1동,2020,1.94
강남구,삼성1동,2021,1.94
강남구,삼성1동,2022,1.94
강남구,삼성2동,2018,1.24
강남구,삼성2동,2019,1.24
강남구,삼성2동,2020,1.24
강남구,삼성2동,2021,1.24
강남구,삼성2동,2022,1.24
강남구,세곡동,2018,6.36
강남구,세곡동,2019,6.36
강남구,세곡동,2020,6.36
강남구,세곡동,2021,6.36
강남구,세곡동,2022,6.36
강남구,수서동,2018,1.43
강남구,수서동,2019,1.43
강남구,수서동,2020,1.43
강남구,수서동,2021,1.43
강남구,수서동,2022,1.43
강남구,신사동,2018,1.89
강남구,신사동,2019,1.89
강남구,신사동,2020,1.89
강남구,신사동,2021,1.89
강남구,신사동,2022,1.89
강남구,압구정동,2018,2.53
강남구,압구정동,2019,2.53
강남구,압구정동,2020,2.53
강남구,압구정동,2021,2.53
강남구,압구정동,2022,2.53
강남구,역삼1동,2018,2.35
강남구,역삼1동,2019,2.35
강남구,역삼1동,2020,2.35
강남구,역삼1동,2021,2.35
강남구,역삼1동,2022,2.35
강남구,역삼2동,2018,1.15
강남구,역삼2동,2019,1.15
강남구,역삼2동,2020,1.15
강남구,역삼2동,2021,1.15
강남구,역삼2동,2022,1.15
강남구,일원1동,2018,0.92
강남구,일원1동,2019,0.92
강남구,일원1동,2020,0.92
강남구,일원1동,2021,0.92
강남구,일원1동,2022,0.92
강남구,일원2동,2018,1.24
강남구,일원2동,2019,1.24
강남구,일원2동,2020,1.24
강남구,일원2동,2021,1.24
강남구,일원본동,2018,2.58
강남구,일원본동,2019,2.58
강남구,일원본동,2020,2.58
강남구,일원본동,2021,2.58
강남구,일원본동,2022,2.58
강남구,청담동,2018,2.33
강남구,청담동,2019,2.33
강남구,청담동,2020,2.33
강남구,청담동,2021,2.33
강남구,청담동,2022,2.33
강동구,강일동,2018,2.8
강동구,강일동,2019,2.8
강동구,강일동,2020,2.8
강동구,강일동,2021,2.26
강동구,강일동,2022,2.26
강동구,고덕1동,2018,1.73
강동구,고덕1동,2019,1.73
강동구,고덕1동,2020,1.73
강동구,고덕1동,2021,1.73
강동구,고덕1동,2022,1.73
강동구,고덕2동,2018,2.01
강동구,고덕2동,2019,2.01
강동구,고덕2동,2020,2.01
강동구,고덕2동,2021,2.01
강동구,고덕2동,2022,2.01
강동구,길동,2018,2.17
강동구,길동,2019,2.17
강동구,길동,2020,2.17
강동구,길동,2021,2.17
강동구,길동,2022,2.17
강동구,둔촌1동,2018,0.92
강동구,둔촌1동,2019,0.92
강동구,둔촌1동,2020,0.92
강동구,둔촌1동,2021,0.92
강동구,둔촌1동,2022,0.92
강동구,둔촌2동,2018,0.98
강동구,둔촌2동,2019,0.98
강동구,둔촌2동,2020,0.98
강동구,둔촌2동,2021,0.98
강동구,둔촌2동,2022,0.98
강동구,명일1동,2018,0.61
강동구,명일1동,2019,0.61
강동구,명일1동,2020,0.61
강동구,명일1동,2021,0.61
강동구,명일1동,2022,0.61
강동구,명일2동,2018,0.97
강동구,명일2동,2019,0.97
강동구,명일2동,2020,0.97
강동구,명일2동,2021,0.97
강동구,명일2동,2022,0.97
강동구,성내1동,2018,0.58
강동구,성내1동,2019,0.58
강동구,성내1동,2020,0.58
강동구,성내1동,2021,0.58
강동구,성내1동,2022,0.58
강동구,성내2동,2018,0.67
강동구,성내2동,2019,0.67
강동구,성내2동,2020,0.67
강동구,성내2동,2021,0.67
강동구,성내2동,2022,0.67
강동구,성내3동,2018,0.71
강동구,성내3동,2019,0.71
강동구,성내3동,2020,0.71
강동구,성내3동,2021,0.71
강동구,성내3동,2022,0.71
강동구,암사1동,2018,1.02
강동구,암사1동,2019,1.02
강동구,암사1동,2020,1.02
강동구,암사1동,2021,1.02
강동구,암사1동,2022,1.02
강동구,암사2동,2018,1.18
강동구,암사2동,2019,1.18
강동구,암사2동,2020,1.18
강동구,암사2동,2021,1.18
강동구,암사2동,2022,1.18
강동구,암사3동,2018,2.51
