,연도,구별,동별,면적
2,2018,종로구,사직동,1.23
3,2018,종로구,삼청동,1.49
4,2018,종로구,부암동,2.27
5,2018,종로구,평창동,8.87
6,2018,종로구,무악동,0.36
7,2018,종로구,교남동,0.35
8,2018,종로구,가회동,0.54
9,2018,종로구,종로1.2.3.4가동,2.35
10,2018,종로구,종로5.6가동,0.6
11,2018,종로구,이화동,0.78
12,2018,종로구,창신1동,0.31
13,2018,종로구,창신2동,0.26
14,2018,종로구,창신3동,0.23
15,2018,종로구,숭인1동,0.23
16,2018,종로구,숭인2동,0.35
17,2018,종로구,청운효자동,2.57
18,2018,종로구,혜화동,1.12
20,2018,중구,소공동,0.95
21,2018,중구,회현동,0.84
22,2018,중구,명동,0.99
23,2018,중구,필동,1.14
24,2018,중구,장충동,1.36
25,2018,중구,광희동,0.74
26,2018,중구,을지로동,0.6
27,2018,중구,신당5동,0.39
28,2018,중구,황학동,0.33
29,2018,중구,중림동,0.48
30,2018,중구,신당동,0.55
31,2018,중구,다산동,0.51
32,2018,중구,약수동,0.48
33,2018,중구,청구동,0.34
34,2018,중구,동화동,0.26
36,2018,용산구,후암동,0.86
37,2018,용산구,용산2가동,1.96
38,2018,용산구,남영동,1.19
39,2018,용산구,원효로2동,0.71
40,2018,용산구,효창동,0.44
41,2018,용산구,용문동,0.28
42,2018,용산구,이촌1동,2.86
43,2018,용산구,이촌2동,1.22
44,2018,용산구,이태원1동,0.57
45,2018,용산구,이태원2동,0.86
46,2018,용산구,서빙고동,2.8
47,2018,용산구,보광동,0.71
48,2018,용산구,청파동,0.91
49,2018,용산구,원효로1동,0.59
50,2018,용산구,한강로동,2.9
51,2018,용산구,한남동,3.01
53,2018,성동구,왕십리2동,0.41
54,2018,성동구,마장동,1.06
55,2018,성동구,사근동,1.11
56,2018,성동구,행당1동,0.59
57,2018,성동구,행당2동,0.42
58,2018,성동구,응봉동,0.57
59,2018,성동구,금호1가동,0.46
60,2018,성동구,금호4가동,0.84
61,2018,성동구,성수1가1동,1.98
62,2018,성동구,성수1가2동,0.89
63,2018,성동구,성수2가1동,1.18
64,2018,성동구,성수2가3동,1.03
65,2018,성동구,송정동,0.68
66,2018,성동구,용답동,2.32
67,2018,성동구,왕십리도선동,0.72
68,2018,성동구,금호2.3가동,0.64
69,2018,성동구,옥수동,1.95
71,2018,광진구,화양동,1.16
72,2018,광진구,군자동,0.74
73,2018,광진구,중곡1동,0.62
74,2018,광진구,중곡2동,0.55
75,2018,광진구,중곡3동,0.6
76,2018,광진구,중곡4동,2.32
77,2018,광진구,능동,1.1
78,2018,광진구,구의1동,0.56
79,2018,광진구,구의2동,1.39
80,2018,광진구,구의3동,1.02
81,2018,광진구,광장동,2.39
