구별,동별,연도,차량등록대수
강남구,개포1동,2018,3773.0
강남구,개포1동,2019,3616.0
강남구,개포1동,2020,3608.0
강남구,개포1동,2021,3643.0
강남구,개포1동,2022,3875.0
강남구,개포2동,2018,4746.0
강남구,개포2동,2019,7733.0
강남구,개포2동,2020,7963.0
강남구,개포2동,2021,10116.0
강남구,개포2동,2022,10266.0
강남구,개포4동,2018,6492.0
강남구,개포4동,2019,6267.0
강남구,개포4동,2020,7930.0
강남구,개포4동,2021,8562.0
강남구,개포4동,2022,8552.0
강남구,논현1동,2018,10886.0
강남구,논현1동,2019,10583.0
강남구,논현1동,2020,10447.0
강남구,논현1동,2021,10455.0
강남구,논현1동,2022,10388.0
강남구,논현2동,2018,10334.0
강남구,논현2동,2019,10320.0
강남구,논현2동,2020,10384.0
강남구,논현2동,2021,10256.0
강남구,논현2동,2022,10196.0
강남구,대치1동,2018,13774.0
강남구,대치1동,2019,12612.0
강남구,대치1동,2020,12823.0
강남구,대치1동,2021,16608.0
강남구,대치1동,2022,17827.0
강남구,대치2동,2018,14509.0
강남구,대치2동,2019,14407.0
강남구,대치2동,2020,15156.0
강남구,대치2동,2021,14925.0
강남구,대치2동,2022,15041.0
강남구,대치4동,2018,11372.0
강남구,대치4동,2019,11119.0
강남구,대치4동,2020,10919.0
강남구,대치4동,2021,9212.0
강남구,대치4동,2022,13749.0
강남구,도곡1동,2018,8750.0
강남구,도곡1동,2019,8805.0
강남구,도곡1동,2020,8866.0
강남구,도곡1동,2021,8937.0
강남구,도곡1동,2022,8961.0
강남구,도곡2동,2018,13729.0
강남구,도곡2동,2019,13650.0
강남구,도곡2동,2020,13757.0
강남구,도곡2동,2021,13567.0
강남구,도곡2동,2022,13523.0
강남구,삼성1동,2018,9402.0
강남구,삼성1동,2019,9251.0
강남구,삼성1동,2020,8410.0
강남구,삼성1동,2021,8350.0
강남구,삼성1동,2022,8432.0
강남구,삼성2동,2018,12043.0
강남구,삼성2동,2019,11882.0
강남구,삼성2동,2020,11866.0
강남구,삼성2동,2021,12240.0
강남구,삼성2동,2022,12402.0
강남구,세곡동,2018,18517.0
강남구,세곡동,2019,18715.0
강남구,세곡동,2020,18846.0
강남구,세곡동,2021,19057.0
강남구,세곡동,2022,19244.0
강남구,수서동,2018,5206.0
강남구,수서동,2019,5132.0
강남구,수서동,2020,5080.0
강남구,수서동,2021,5257.0
강남구,수서동,2022,5209.0
강남구,신사동,2018,8615.0
강남구,신사동,2019,8439.0
강남구,신사동,2020,8129.0
강남구,신사동,2021,7839.0
강남구,신사동,2022,7748.0
강남구,압구정동,2018,11900.0
강남구,압구정동,2019,11862.0
강남구,압구정동,2020,12226.0
강남구,압구정동,2021,12232.0
강남구,압구정동,2022,12258.0
강남구,역삼1동,2018,22980.0
강남구,역삼1동,2019,22751.0
