,구별,동별,0
2018,강남구,개포1동,3773.0
2018,강남구,개포2동,4746.0
2018,강남구,개포4동,6492.0
2018,강남구,기타,675.0
2018,강남구,논현1동,10886.0
2018,강남구,논현2동,10334.0
2018,강남구,논현동,1.0
2018,강남구,대치1동,13774.0
2018,강남구,대치2동,14509.0
2018,강남구,대치4동,11372.0
2018,강남구,도곡1동,8750.0
2018,강남구,도곡2동,13729.0
2018,강남구,삼성1동,9402.0
2018,강남구,삼성2동,12043.0
2018,강남구,세곡동,18517.0
2018,강남구,수서동,5206.0
2018,강남구,신사동,8615.0
2018,강남구,압구정동,11900.0
2018,강남구,역삼1동,22980.0
2018,강남구,역삼2동,14930.0
2018,강남구,일원1동,5153.0
2018,강남구,일원2동,5411.0
2018,강남구,일원본동,8390.0
2018,강남구,청담동,13724.0
2018,강동구,강일동,10305.0
2018,강동구,고덕1동,9102.0
2018,강동구,고덕2동,2438.0
2018,강동구,기타,89.0
2018,강동구,길1동,1.0
2018,강동구,길동,15941.0
2018,강동구,둔촌1동,668.0
2018,강동구,둔촌2동,8874.0
2018,강동구,명일1동,6637.0
2018,강동구,명일2동,5918.0
2018,강동구,상일동,4168.0
2018,강동구,성내1동,8578.0
2018,강동구,성내2동,6807.0
2018,강동구,성내3동,7026.0
2018,강동구,암사1동,10604.0
2018,강동구,암사2동,4715.0
2018,강동구,암사3동,6378.0
2018,강동구,천호1동,9055.0
2018,강동구,천호2동,10094.0
2018,강동구,천호3동,8014.0
2018,강동구,하일동,8.0
2018,강북구,기타,12.0
2018,강북구,미아동,5353.0
2018,강북구,번1동,4899.0
2018,강북구,번2동,4155.0
2018,강북구,번3동,4745.0
2018,강북구,삼각산동,9436.0
2018,강북구,삼양동,6280.0
2018,강북구,송중동,6285.0
2018,강북구,송천동,6114.0
2018,강북구,수유1동,5940.0
2018,강북구,수유2동,5452.0
2018,강북구,수유3동,5022.0
2018,강북구,우이동,5820.0
2018,강북구,인수동,7852.0
2018,강서구,가양1동,23791.0
2018,강서구,가양2동,4150.0
2018,강서구,가양3동,5034.0
2018,강서구,공항동,10614.0
2018,강서구,기타,309.0
2018,강서구,등촌1동,8737.0
2018,강서구,등촌2동,7357.0
2018,강서구,등촌3동,9935.0
2018,강서구,발산1동,13028.0
2018,강서구,방화1동,15265.0
2018,강서구,방화2동,10102.0
2018,강서구,방화3동,7760.0
2018,강서구,염창동,15089.0
2018,강서구,우장산동,14601.0
2018,강서구,화곡1동,16375.0
2018,강서구,화곡2동,5364.0
2018,강서구,화곡3동,6623.0
2018,강서구,화곡4동,6283.0
2018,강서구,화곡6동,7858.0
2018,강서구,화곡8동,6630.0
2018,강서구,화곡본동,9561.0
2018,관악구,기타,155.0
2018,관악구,낙성대동,3982.0
2018,관악구,난곡동,6601.0
2018,관악구,난향동,5083.0
2018,관악구,남현동,5172.0
2018,관악구,대학동,4896.0
2018,관악구,미성동,8749.0
2018,관악구,보라매동,6482.0
2018,관악구,삼성동,6742.0
2018,관악구,서림동,5855.0
2018,관악구,서원동,4998.0
2018,관악구,성현동,8933.0
2018,관악구,신림동,4506.0
2018,관악구,신사동,5375.0
2018,관악구,신원동,3558.0
2018,관악구,은천동,9084.0
2018,관악구,인헌동,6202.0
2018,관악구,조원동,5054.0
2018,관악구,중앙동,3012.0
2018,관악구,청룡동,5907.0
2018,관악구,청림동,4529.0
2018,관악구,행운동,6555.0
2018,광진구,광장동,11668.0
2018,광진구,구의1동,6332.0
2018,광진구,구의2동,7241.0
2018,광진구,구의3동,9174.0
2018,광진구,군자동,5162.0
2018,광진구,기타,79.0
2018,광진구,능동,3057.0
2018,광진구,자양1동,8133.0
2018,광진구,자양2동,8599.0
2018,광진구,자양3동,9589.0
2018,광진구,자양4동,5033.0
2018,광진구,중곡1동,4932.0
2018,광진구,중곡2동,5407.0
2018,광진구,중곡3동,4313.0
2018,광진구,중곡4동,7834.0
2018,광진구,화양동,3999.0
2018,구로구,가리봉동,2881.0
2018,구로구,개봉1동,10534.0
2018,구로구,개봉2동,9688.0
2018,구로구,개봉3동,6005.0
2018,구로구,개봉본동,17.0
2018,구로구,고척1동,8307.0
2018,구로구,고척2동,9088.0
2018,구로구,구로1동,19226.0
2018,구로구,구로2동,11388.0
2018,구로구,구로3동,9301.0
2018,구로구,구로4동,5891.0
2018,구로구,구로5동,10448.0
2018,구로구,구로본동,53.0
2018,구로구,기타,229.0
2018,구로구,수궁동,8375.0
2018,구로구,신도림동,12802.0
2018,구로구,오류1동,6998.0
2018,구로구,오류2동,13209.0
2018,금천구,가산동,18737.0
2018,금천구,기타,131.0
2018,금천구,독산1동,15276.0
2018,금천구,독산1동분소,2.0
2018,금천구,독산2동,5354.0
2018,금천구,독산3동,7554.0
2018,금천구,독산4동,4743.0
2018,금천구,시흥1동,11503.0
2018,금천구,시흥2동,7322.0
2018,금천구,시흥3동,4679.0
2018,금천구,시흥4동,6324.0
2018,금천구,시흥5동,5438.0
2018,노원구,공릉1.3동,93.0
2018,노원구,공릉1동,11532.0
2018,노원구,공릉2동,12457.0
2018,노원구,기타,188.0
2018,노원구,상계10동,4502.0
2018,노원구,상계1동,13877.0
2018,노원구,상계2동,6270.0
2018,노원구,상계3.4동,7753.0
2018,노원구,상계5동,5972.0
2018,노원구,상계6.7동,9134.0
2018,노원구,상계8동,6553.0
2018,노원구,상계9동,5956.0
2018,노원구,월계1동,7085.0
2018,노원구,월계2동,7329.0
2018,노원구,월계3동,9154.0
2018,노원구,월계4동,6.0
2018,노원구,중계1동,8412.0
2018,노원구,중계2.3동,8939.0
2018,노원구,중계4동,5964.0
2018,노원구,중계본동,8359.0
2018,노원구,하계1동,7651.0
2018,노원구,하계2동,6434.0
2018,도봉구,기타,101.0
2018,도봉구,도봉1동,6820.0
2018,도봉구,도봉2동,8581.0
2018,도봉구,방학1동,9480.0
2018,도봉구,방학2동,5197.0
2018,도봉구,방학3동,8750.0
2018,도봉구,쌍문1동,6389.0
2018,도봉구,쌍문2동,5124.0
2018,도봉구,쌍문3동,3971.0
