행정동_명칭,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
가락1동,409160024,10573114.0,37993.0,11210.0,5461.0,1576.0,18216.0,130999.0,322100.0,819299.0,984459.0,671076.0,552391.0,542972.0,552617.0,556266.0,552307.0,609138.0,698572.0,792554.0,1011124.0,501210.0,406037.0,380707.0,286874.0,127956.0
가락2동,409160388,6498510.0,11633.0,191.0,59.0,43.0,9387.0,93186.0,245913.0,674642.0,741585.0,445559.0,354404.0,325820.0,335317.0,330179.0,315359.0,351662.0,394254.0,465703.0,538737.0,268311.0,205181.0,194539.0,140764.0,56082.0
가락본동,409159660,3113688.0,25603.0,5388.0,4497.0,3324.0,31386.0,42439.0,75296.0,155707.0,222338.0,154095.0,132418.0,138879.0,148876.0,154589.0,154815.0,193418.0,213840.0,237442.0,309023.0,195594.0,152175.0,154290.0,137419.0,70837.0
가리봉동,406613480,2259660.0,11526.0,1133.0,826.0,1184.0,43781.0,67542.0,65687.0,123668.0,187858.0,126514.0,102103.0,94215.0,100700.0,107182.0,105337.0,115276.0,137151.0,200371.0,214731.0,142010.0,105812.0,100293.0,67714.0,37046.0
가산동,406970564,26070260.0,36275.0,4142.0,2720.0,3437.0,56058.0,253475.0,424180.0,1104290.0,1585669.0,983143.0,644155.0,666904.0,797671.0,897483.0,987265.0,1195061.0,1608773.0,3451096.0,5178368.0,2420350.0,1473643.0,1285003.0,710946.0,300153.0
가양1동,406247296,14562012.0,41863.0,5166.0,3222.0,2531.0,17651.0,150354.0,390690.0,1157703.0,1255853.0,658361.0,538223.0,564323.0,635911.0,674461.0,699259.0,812427.0,964069.0,1341621.0,1835202.0,847089.0,646257.0,639024.0,474858.0,205894.0
가양2동,406247660,696671.0,3288.0,79.0,0.0,0.0,3958.0,11804.0,17016.0,39057.0,60271.0,44352.0,39464.0,38814.0,42979.0,41595.0,41268.0,46321.0,54011.0,50002.0,56435.0,35685.0,23435.0,20290.0,16265.0,10282.0
가양3동,406248024,733804.0,1089.0,22.0,0.0,0.0,3507.0,14161.0,23353.0,48561.0,60822.0,45858.0,39831.0,40967.0,43618.0,44470.0,43052.0,46580.0,60224.0,52995.0,69681.0,31296.0,24243.0,19691.0,13354.0,6429.0
가회동,400785840,708215.0,0.0,0.0,0.0,0.0,0.0,221.0,18430.0,44143.0,61292.0,54462.0,47608.0,47290.0,42156.0,43545.0,45420.0,48234.0,58929.0,63776.0,57926.0,28351.0,18658.0,15061.0,10001.0,2712.0
갈현1동,404788020,14619545.0,15166.0,1096.0,1243.0,850.0,31058.0,358690.0,693887.0,1680611.0,1956541.0,1176898.0,812116.0,750379.0,830126.0,760058.0,707107.0,723583.0,851767.0,753124.0,716255.0,533308.0,423085.0,397087.0,309679.0,135831.0
갈현2동,404788384,5644214.0,24153.0,3067.0,2355.0,884.0,20060.0,86143.0,216735.0,522680.0,652296.0,382154.0,284020.0,270174.0,295173.0,283889.0,267424.0,307668.0,377654.0,326045.0,343192.0,277656.0,212699.0,210605.0,183886.0,93602.0
강일동,409518564,3801622.0,8979.0,5242.0,1913.0,2352.0,40099.0,88539.0,211084.0,511281.0,446036.0,273941.0,212193.0,192020.0,192727.0,190737.0,180579.0,195776.0,229431.0,209460.0,203939.0,140615.0,94018.0,79341.0,62798.0,28522.0
개봉1동,406614208,10640200.0,14381.0,2933.0,3460.0,4794.0,52895.0,218015.0,520520.0,1207837.0,1215347.0,743796.0,548101.0,519806.0,541792.0,521241.0,490162.0,520271.0,602371.0,640783.0,692831.0,514910.0,367294.0,324092.0,255836.0,116732.0
개봉2동,406611296,3755303.0,14379.0,3504.0,2383.0,2835.0,34707.0,70750.0,136809.0,257591.0,286539.0,209643.0,173125.0,164653.0,179674.0,192422.0,179761.0,198094.0,231959.0,260483.0,304631.0,258918.0,185441.0,177324.0,148556.0,81122.0
개봉3동,406611660,1386916.0,985.0,28.0,0.0,0.0,13143.0,31722.0,80700.0,182456.0,156970.0,108055.0,82701.0,74973.0,76359.0,74653.0,68167.0,68955.0,73864.0,75164.0,71717.0,48286.0,36606.0,28892.0,21820.0,10700.0
개포1동,408796752,1383381.0,1162.0,30.0,0.0,0.0,2843.0,9840.0,35749.0,99515.0,141428.0,88859.0,71514.0,70255.0,76473.0,79613.0,84412.0,114071.0,153183.0,114302.0,80825.0,52722.0,36082.0,32570.0,27367.0,10566.0
개포2동,408801120,4297670.0,9265.0,1856.0,568.0,289.0,3456.0,32089.0,129402.0,370522.0,422052.0,277801.0,217233.0,202462.0,226910.0,230489.0,222227.0,268478.0,411299.0,362728.0,310738.0,183735.0,123431.0,134051.0,112103.0,44486.0
개포4동,408797844,2200443.0,1948.0,374.0,520.0,207.0,960.0,15687.0,70138.0,199223.0,224755.0,148660.0,119427.0,107086.0,113639.0,123961.0,118925.0,130402.0,151898.0,200260.0,196706.0,94536.0,63678.0,58524.0,42695.0,16234.0
거여1동,409155292,4147125.0,8245.0,1402.0,1015.0,884.0,7258.0,82347.0,211280.0,595379.0,554963.0,306928.0,215170.0,190100.0,205331.0,198413.0,178768.0,189456.0,233332.0,245194.0,256142.0,151438.0,106418.0,99509.0,76102.0,32051.0
거여2동,409155656,1028052.0,7204.0,318.0,111.0,171.0,12780.0,13416.0,28548.0,64082.0,78166.0,60808.0,47826.0,48324.0,52642.0,51797.0,52802.0,55913.0,63326.0,70220.0,83609.0,77758.0,47968.0,44274.0,41893.0,24096.0
고덕1동,409520020,1232919.0,4241.0,2041.0,811.0,1225.0,5442.0,10640.0,42854.0,128644.0,115580.0,70426.0,65504.0,57175.0,64808.0,63050.0,65265.0,75902.0,103251.0,77662.0,78426.0,57543.0,43935.0,40360.0,43709.0,14425.0
고덕2동,409520384,1690238.0,3954.0,5292.0,2165.0,2955.0,18671.0,30071.0,52243.0,134606.0,148504.0,111524.0,95265.0,85635.0,92712.0,97746.0,90906.0,114647.0,140067.0,108874.0,115096.0,80792.0,55035.0,46401.0,41101.0,15976.0
고척1동,406610204,3991126.0,15365.0,2945.0,1305.0,2733.0,29626.0,65645.0,138633.0,328238.0,367152.0,247294.0,202322.0,197908.0,220636.0,211617.0,212631.0,247127.0,293133.0,294996.0,262101.0,170612.0,146312.0,150533.0,131142.0,51120.0
고척2동,406610568,3277307.0,6028.0,693.0,3.0,0.0,36772.0,69928.0,175729.0,353396.0,347697.0,244440.0,201941.0,183268.0,197418.0,187694.0,172177.0,180800.0,195778.0,180359.0,174482.0,121956.0,90416.0,70038.0,58421.0,27873.0
공덕동,405524028,15352354.0,46072.0,5024.0,2688.0,3188.0,13193.0,136334.0,289196.0,878105.0,1286391.0,755708.0,589491.0,638997.0,697154.0,736212.0,712385.0,775966.0,915415.0,1394959.0,2122610.0,949664.0,742529.0,785840.0,592433.0,282800.0
공릉1동,404432756,12284277.0,45631.0,12415.0,8262.0,9606.0,38463.0,258509.0,438794.0,1125285.0,1335946.0,815319.0,619883.0,606061.0,644218.0,651800.0,633728.0,663924.0,744698.0,807558.0,857294.0,572390.0,437894.0,425111.0,353802.0,177686.0
공릉2동,404424384,8090458.0,12360.0,18.0,0.0,0.0,14849.0,124251.0,359497.0,1002248.0,954256.0,531695.0,402802.0,403013.0,421570.0,447342.0,414860.0,463850.0,542136.0,558402.0,479714.0,293538.0,219862.0,200846.0,162301.0,81048.0
공항동,406249116,5656682.0,12793.0,3888.0,1563.0,1214.0,31143.0,117600.0,207845.0,510787.0,609097.0,392033.0,312322.0,296535.0,311616.0,310417.0,298240.0,311768.0,331320.0,364849.0,388647.0,250793.0,204572.0,189911.0,144798.0,52931.0
광장동,402242932,6048120.0,10532.0,2647.0,1557.0,761.0,3600.0,73662.0,232921.0,568258.0,676130.0,417528.0,299705.0,290170.0,316350.0,322844.0,318843.0,348581.0,404331.0,419021.0,480748.0,252994.0,196813.0,204979.0,154300.0,50845.0
광희동,401149476,14336227.0,98640.0,55945.0,31517.0,37286.0,54537.0,214150.0,163178.0,279107.0,462411.0,401071.0,422950.0,538967.0,643779.0,711746.0,857151.0,1017305.0,1199227.0,1576522.0,1918739.0,1087232.0,818008.0,831594.0,606942.0,308223.0
교남동,400785112,3385038.0,21262.0,6410.0,2543.0,2772.0,5960.0,26698.0,58225.0,158762.0,201629.0,166226.0,155527.0,164952.0,171441.0,176515.0,202301.0,250289.0,277043.0,289225.0,302201.0,200169.0,170904.0,166562.0,142298.0,65124.0
구로1동,406606928,1269764.0,1629.0,84.0,109.0,50.0,2315.0,15420.0,73877.0,176749.0,169383.0,100930.0,75392.0,62657.0,64334.0,66085.0,60551.0,63759.0,72371.0,64368.0,68249.0,45287.0,30389.0,25405.0,20106.0,10265.0
구로2동,406613844,8963979.0,44433.0,2480.0,337.0,2221.0,79915.0,211130.0,296833.0,688428.0,891128.0,573446.0,449362.0,422075.0,436334.0,435473.0,434928.0,509924.0,583049.0,751259.0,707113.0,401671.0,324068.0,320545.0,261638.0,136189.0
구로3동,406607656,29482041.0,87643.0,5881.0,1485.0,3381.0,54926.0,695480.0,874010.0,2105740.0,2853885.0,1797214.0,1129699.0,1052281.0,1150666.0,1179744.0,1135700.0,1249030.0,1491490.0,2535597.0,4099692.0,2119433.0,1345543.0,1185906.0,891747.0,435868.0
구로4동,406608020,2532473.0,4467.0,486.0,206.0,1150.0,20849.0,45354.0,62705.0,124147.0,175440.0,138042.0,123770.0,127594.0,136317.0,136777.0,141484.0,161912.0,171530.0,200089.0,210707.0,157700.0,115093.0,120235.0,102296.0,54123.0
