,연도,구별,동별,인구밀도
2,2018,종로구,사직동,7982
3,2018,종로구,삼청동,2062
4,2018,종로구,부암동,4642
5,2018,종로구,평창동,2154
6,2018,종로구,무악동,22944
7,2018,종로구,교남동,30989
8,2018,종로구,가회동,8419
9,2018,종로구,종로1.2.3.4가동,3601
10,2018,종로구,종로5.6가동,9328
11,2018,종로구,이화동,11053
12,2018,종로구,창신1동,20119
13,2018,종로구,창신2동,38519
14,2018,종로구,창신3동,32343
15,2018,종로구,숭인1동,29230
16,2018,종로구,숭인2동,28823
17,2018,종로구,청운효자동,5172
18,2018,종로구,혜화동,18184
20,2018,중구,소공동,3091
21,2018,중구,회현동,7086
22,2018,중구,명동,3505
23,2018,중구,필동,4425
24,2018,중구,장충동,4157
25,2018,중구,광희동,8185
26,2018,중구,을지로동,3168
27,2018,중구,신당5동,24849
28,2018,중구,황학동,40545
29,2018,중구,중림동,27042
30,2018,중구,신당동,17125
31,2018,중구,다산동,29633
32,2018,중구,약수동,37444
33,2018,중구,청구동,43659
34,2018,중구,동화동,43150
36,2018,용산구,후암동,21748
37,2018,용산구,용산2가동,6177
38,2018,용산구,남영동,7144
39,2018,용산구,원효로2동,21217
40,2018,용산구,효창동,20577
41,2018,용산구,용문동,45561
42,2018,용산구,이촌1동,10259
43,2018,용산구,이촌2동,7451
44,2018,용산구,이태원1동,16342
45,2018,용산구,이태원2동,12706
46,2018,용산구,서빙고동,5092
47,2018,용산구,보광동,22710
48,2018,용산구,청파동,22991
49,2018,용산구,원효로1동,27176
50,2018,용산구,한강로동,6624
51,2018,용산구,한남동,7869
53,2018,성동구,왕십리2동,44263
54,2018,성동구,마장동,22790
55,2018,성동구,사근동,12079
56,2018,성동구,행당1동,28353
57,2018,성동구,행당2동,59702
58,2018,성동구,응봉동,28781
59,2018,성동구,금호1가동,35198
60,2018,성동구,금호4가동,18438
61,2018,성동구,성수1가1동,8874
62,2018,성동구,성수1가2동,17737
63,2018,성동구,성수2가1동,15523
64,2018,성동구,성수2가3동,11568
65,2018,성동구,송정동,17321
66,2018,성동구,용답동,6750
67,2018,성동구,왕십리도선동,38685
68,2018,성동구,금호2.3가동,38230
69,2018,성동구,옥수동,14112
71,2018,광진구,화양동,21383
72,2018,광진구,군자동,29769
73,2018,광진구,중곡1동,26613
74,2018,광진구,중곡2동,41271
75,2018,광진구,중곡3동,29738
76,2018,광진구,중곡4동,13431
77,2018,광진구,능동,10810
78,2018,광진구,구의1동,41575
79,2018,광진구,구의2동,20125
80,2018,광진구,구의3동,29878
81,2018,광진구,광장동,15192
82,2018,광진구,자양1동,42940
83,2018,광진구,자양2동,16330
84,2018,광진구,자양3동,25110
85,2018,광진구,자양4동,20736
87,2018,동대문구,회기동,16932
88,2018,동대문구,휘경1동,23259
89,2018,동대문구,휘경2동,23950
90,2018,동대문구,청량리동,18773
91,2018,동대문구,용신동,19852
92,2018,동대문구,제기동,23369
93,2018,동대문구,전농1동,26040
94,2018,동대문구,전농2동,23664
95,2018,동대문구,답십리2동,34082
96,2018,동대문구,장안1동,31370
97,2018,동대문구,장안2동,29036
98,2018,동대문구,이문1동,25904
99,2018,동대문구,이문2동,31890
100,2018,동대문구,답십리1동,36410
102,2018,중랑구,면목2동,36277
103,2018,중랑구,면목4동,18676
104,2018,중랑구,면목5동,15736
105,2018,중랑구,면목7동,25584
106,2018,중랑구,상봉1동,30140
107,2018,중랑구,상봉2동,28299
108,2018,중랑구,중화1동,30926
109,2018,중랑구,중화2동,29245
110,2018,중랑구,묵1동,30194
111,2018,중랑구,묵2동,29079
112,2018,중랑구,망우3동,18519
113,2018,중랑구,신내1동,16310
114,2018,중랑구,신내2동,22605
115,2018,중랑구,면목본동,36196
116,2018,중랑구,면목3.8동,16251
117,2018,중랑구,망우본동,11039
119,2018,성북구,돈암1동,33478
120,2018,성북구,돈암2동,52652
121,2018,성북구,안암동,12977
122,2018,성북구,보문동,30477
123,2018,성북구,정릉1동,42368
124,2018,성북구,정릉2동,20741
125,2018,성북구,정릉3동,4661
126,2018,성북구,정릉4동,8678
127,2018,성북구,길음1동,47885
128,2018,성북구,길음2동,20288
129,2018,성북구,월곡1동,34388
130,2018,성북구,월곡2동,15222
131,2018,성북구,장위1동,30326
132,2018,성북구,장위2동,22491
133,2018,성북구,장위3동,17983
134,2018,성북구,성북동,6259
135,2018,성북구,삼선동,29316
136,2018,성북구,동선동,22447
137,2018,성북구,종암동,29367
138,2018,성북구,석관동,19680
140,2018,강북구,번1동,36298
141,2018,강북구,번2동,14003
142,2018,강북구,번3동,22055
143,2018,강북구,수유1동,20877
144,2018,강북구,수유2동,30858
145,2018,강북구,수유3동,28233
146,2018,강북구,삼양동,27974
147,2018,강북구,미아동,31819
148,2018,강북구,송중동,24220
149,2018,강북구,송천동,33544
150,2018,강북구,삼각산동,54071
151,2018,강북구,우이동,2000
152,2018,강북구,인수동,11278
154,2018,도봉구,쌍문1동,18087
155,2018,도봉구,쌍문2동,38111
156,2018,도봉구,쌍문3동,34812
157,2018,도봉구,쌍문4동,38658
158,2018,도봉구,방학1동,44294
159,2018,도봉구,방학2동,29254
160,2018,도봉구,방학3동,11112
161,2018,도봉구,창1동,30369
162,2018,도봉구,창2동,29300
163,2018,도봉구,창3동,22612
164,2018,도봉구,창4동,29650
165,2018,도봉구,창5동,37184
166,2018,도봉구,도봉1동,2619
167,2018,도봉구,도봉2동,34973
169,2018,노원구,월계1동,20765
170,2018,노원구,월계2동,13759
171,2018,노원구,월계3동,27774
172,2018,노원구,공릉2동,6091
173,2018,노원구,하계1동,19291
174,2018,노원구,하계2동,46769
175,2018,노원구,중계본동,13636
176,2018,노원구,중계1동,45002
177,2018,노원구,중계4동,12848
178,2018,노원구,상계1동,7297
179,2018,노원구,상계2동,35449
180,2018,노원구,상계5동,25970
181,2018,노원구,상계8동,36458
182,2018,노원구,상계9동,27590
183,2018,노원구,상계10동,21276
184,2018,노원구,상계3.4동,5272
185,2018,노원구,상계6.7동,31964
186,2018,노원구,중계2.3동,41984
187,2018,노원구,공릉1동,28362
189,2018,은평구,녹번동,19498
190,2018,은평구,불광1동,13286
191,2018,은평구,갈현1동,25970
192,2018,은평구,갈현2동,31971
193,2018,은평구,구산동,24733
194,2018,은평구,대조동,38362
195,2018,은평구,응암1동,21821
196,2018,은평구,응암2동,27033
197,2018,은평구,신사1동,34436
198,2018,은평구,신사2동,22247
199,2018,은평구,증산동,20262
200,2018,은평구,수색동,8733
201,2018,은평구,진관동,4899
202,2018,은평구,불광2동,21677
203,2018,은평구,응암3동,41932
204,2018,은평구,역촌동,42773
206,2018,서대문구,천연동,19633
207,2018,서대문구,홍제1동,18799
208,2018,서대문구,홍제3동,20514
209,2018,서대문구,홍제2동,14223
210,2018,서대문구,홍은1동,15273
211,2018,서대문구,홍은2동,14080
212,2018,서대문구,남가좌1동,33724
213,2018,서대문구,남가좌2동,32453
214,2018,서대문구,북가좌1동,37137
215,2018,서대문구,북가좌2동,40758
216,2018,서대문구,충현동,16331
217,2018,서대문구,북아현동,38765
218,2018,서대문구,신촌동,9094
219,2018,서대문구,연희동,13263
221,2018,마포구,용강동,26961
222,2018,마포구,대흥동,15524
223,2018,마포구,염리동,30379
224,2018,마포구,신수동,27956
225,2018,마포구,서교동,15918
226,2018,마포구,합정동,11358
227,2018,마포구,망원1동,19580
228,2018,마포구,망원2동,29315
229,2018,마포구,연남동,27177
230,2018,마포구,성산1동,25554
231,2018,마포구,성산2동,20166
232,2018,마포구,상암동,3994
233,2018,마포구,도화동,36847
234,2018,마포구,서강동,17670
235,2018,마포구,공덕동,40105
236,2018,마포구,아현동,33572
238,2018,양천구,목1동,23020
239,2018,양천구,목2동,30829
240,2018,양천구,목3동,43832
241,2018,양천구,목4동,47875
242,2018,양천구,신월1동,34429
243,2018,양천구,신월2동,37464
244,2018,양천구,신월3동,19754
245,2018,양천구,신월4동,37183
246,2018,양천구,신월5동,22839
247,2018,양천구,신월6동,16622
248,2018,양천구,신월7동,18779
249,2018,양천구,신정1동,30967
250,2018,양천구,신정2동,40360
251,2018,양천구,신정3동,17941
252,2018,양천구,신정6동,26563
253,2018,양천구,신정7동,24953
254,2018,양천구,목5동,23972
255,2018,양천구,신정4동,35835
257,2018,강서구,염창동,23572
258,2018,강서구,등촌1동,39929
259,2018,강서구,등촌2동,24041
260,2018,강서구,등촌3동,42125
261,2018,강서구,화곡본동,32784
262,2018,강서구,화곡2동,42640
263,2018,강서구,화곡3동,44569
264,2018,강서구,화곡4동,27676
265,2018,강서구,화곡6동,22179
266,2018,강서구,화곡8동,50628
267,2018,강서구,가양1동,7140
268,2018,강서구,가양2동,15763
269,2018,강서구,가양3동,16683
270,2018,강서구,발산1동,13135
271,2018,강서구,공항동,2635
272,2018,강서구,방화1동,44574
273,2018,강서구,방화2동,3805
274,2018,강서구,방화3동,10467
275,2018,강서구,화곡1동,48828
276,2018,강서구,우장산동,34121
278,2018,구로구,신도림동,25588
279,2018,구로구,구로1동,21481
280,2018,구로구,구로3동,26445
281,2018,구로구,구로4동,59054
282,2018,구로구,구로5동,33092
283,2018,구로구,고척1동,21258
284,2018,구로구,고척2동,28964
285,2018,구로구,개봉2동,42144
286,2018,구로구,개봉3동,27353
287,2018,구로구,오류1동,38392
288,2018,구로구,수궁동,9536
289,2018,구로구,가리봉동,40515
290,2018,구로구,구로2동,20619
291,2018,구로구,개봉1동,26456
292,2018,구로구,오류2동,9869
294,2018,금천구,가산동,9706
295,2018,금천구,독산1동,20012
296,2018,금천구,독산2동,36838
297,2018,금천구,독산3동,33372
298,2018,금천구,독산4동,31824
299,2018,금천구,시흥1동,21683
300,2018,금천구,시흥2동,18455
301,2018,금천구,시흥3동,10972
302,2018,금천구,시흥4동,26146
303,2018,금천구,시흥5동,15350
305,2018,영등포구,여의동,4044
306,2018,영등포구,당산1동,28481
307,2018,영등포구,당산2동,23349
308,2018,영등포구,양평1동,20408
309,2018,영등포구,양평2동,7654
310,2018,영등포구,신길1동,29842
311,2018,영등포구,신길3동,33775
312,2018,영등포구,신길4동,29786
313,2018,영등포구,신길5동,24785
314,2018,영등포구,신길6동,29119
315,2018,영등포구,신길7동,26900
316,2018,영등포구,대림1동,34755
317,2018,영등포구,대림2동,40420
318,2018,영등포구,대림3동,31073
319,2018,영등포구,영등포본동,24980
320,2018,영등포구,영등포동,20723
321,2018,영등포구,도림동,24919
322,2018,영등포구,문래동,21648
324,2018,동작구,노량진2동,22355
325,2018,동작구,상도1동,31998
326,2018,동작구,상도2동,28334
327,2018,동작구,상도3동,43635
328,2018,동작구,상도4동,40352
329,2018,동작구,사당1동,30461
330,2018,동작구,사당3동,29089
331,2018,동작구,사당4동,39713
332,2018,동작구,사당5동,23170
333,2018,동작구,대방동,26039
334,2018,동작구,신대방1동,43894
335,2018,동작구,신대방2동,20462
336,2018,동작구,흑석동,19780
337,2018,동작구,노량진1동,20761
338,2018,동작구,사당2동,10452
340,2018,관악구,보라매동,34734
341,2018,관악구,청림동,55090
342,2018,관악구,행운동,42275
343,2018,관악구,낙성대동,7833
344,2018,관악구,중앙동,40297
345,2018,관악구,인헌동,25271
346,2018,관악구,남현동,5810
347,2018,관악구,서원동,36820
348,2018,관악구,신원동,36580
349,2018,관악구,서림동,25132
350,2018,관악구,신사동,41316
351,2018,관악구,신림동,41215
352,2018,관악구,난향동,20866
353,2018,관악구,조원동,29588
354,2018,관악구,대학동,2991
355,2018,관악구,은천동,45894
356,2018,관악구,성현동,48578
357,2018,관악구,청룡동,25629
358,2018,관악구,난곡동,30713
359,2018,관악구,삼성동,9800
360,2018,관악구,미성동,24127
362,2018,서초구,서초1동,15193
363,2018,서초구,서초2동,14924
364,2018,서초구,서초3동,10496
365,2018,서초구,서초4동,36156
366,2018,서초구,잠원동,19865
367,2018,서초구,반포본동,12458
368,2018,서초구,반포1동,32109
369,2018,서초구,반포2동,12416
370,2018,서초구,반포3동,15964
371,2018,서초구,반포4동,14406
372,2018,서초구,방배본동,32457
373,2018,서초구,방배1동,25261
374,2018,서초구,방배2동,11653
375,2018,서초구,방배3동,9278
376,2018,서초구,방배4동,24941
377,2018,서초구,양재1동,8110
378,2018,서초구,양재2동,3170
379,2018,서초구,내곡동,1474
381,2018,강남구,신사동,9425
382,2018,강남구,논현1동,19249
383,2018,강남구,논현2동,15173
384,2018,강남구,삼성1동,7862
385,2018,강남구,삼성2동,24590
386,2018,강남구,대치1동,32392
387,2018,강남구,대치4동,29130
388,2018,강남구,역삼1동,15686
389,2018,강남구,역삼2동,32019
390,2018,강남구,도곡1동,22396
391,2018,강남구,도곡2동,34024
392,2018,강남구,개포1동,6142
393,2018,강남구,개포4동,12698
394,2018,강남구,일원본동,9605
395,2018,강남구,일원1동,18626
396,2018,강남구,일원2동,13381
397,2018,강남구,수서동,11483
398,2018,강남구,세곡동,7145
399,2018,강남구,압구정동,11125
400,2018,강남구,청담동,12955
401,2018,강남구,대치2동,20082
402,2018,강남구,개포2동,5520
404,2018,송파구,풍납1동,21273
405,2018,송파구,풍납2동,15817
406,2018,송파구,거여1동,26155
407,2018,송파구,거여2동,32640
408,2018,송파구,마천1동,36800
409,2018,송파구,마천2동,23240
410,2018,송파구,방이1동,33262
411,2018,송파구,방이2동,32251
412,2018,송파구,오륜동,6071
413,2018,송파구,오금동,24857
414,2018,송파구,송파1동,33419
415,2018,송파구,송파2동,40019
416,2018,송파구,석촌동,36589
417,2018,송파구,삼전동,35200
418,2018,송파구,가락본동,25091
419,2018,송파구,가락1동,832
420,2018,송파구,가락2동,35891
421,2018,송파구,문정1동,38805
422,2018,송파구,문정2동,13700
423,2018,송파구,잠실본동,31655
424,2018,송파구,잠실4동,19288
425,2018,송파구,잠실6동,6258
426,2018,송파구,잠실7동,17282
427,2018,송파구,잠실2동,17004
428,2018,송파구,잠실3동,24528
429,2018,송파구,장지동,25469
430,2018,송파구,위례동,11308
432,2018,강동구,강일동,11760
433,2018,강동구,상일동,4203
434,2018,강동구,명일1동,36857
435,2018,강동구,명일2동,18577
436,2018,강동구,고덕1동,15878
437,2018,강동구,고덕2동,3835
438,2018,강동구,암사2동,12467
439,2018,강동구,암사3동,7547
440,2018,강동구,천호1동,41048
441,2018,강동구,천호3동,36162
442,2018,강동구,성내1동,36200
443,2018,강동구,성내2동,38396
444,2018,강동구,성내3동,34021
445,2018,강동구,둔촌1동,345
446,2018,강동구,둔촌2동,28837
447,2018,강동구,암사1동,37020
448,2018,강동구,천호2동,23199
449,2018,강동구,길동,21738
452,2019,종로구,사직동,7980
453,2019,종로구,삼청동,2011
454,2019,종로구,부암동,4648
455,2019,종로구,평창동,2121
456,2019,종로구,무악동,24278
457,2019,종로구,교남동,30594
458,2019,종로구,가회동,8311
459,2019,종로구,종로1.2.3.4가동,3594
460,2019,종로구,종로5.6가동,9732
461,2019,종로구,이화동,10859
462,2019,종로구,창신1동,19610
463,2019,종로구,창신2동,37688
464,2019,종로구,창신3동,31613
465,2019,종로구,숭인1동,28400
466,2019,종로구,숭인2동,28291
467,2019,종로구,청운효자동,5051
468,2019,종로구,혜화동,18246
470,2019,중구,소공동,3220
471,2019,중구,회현동,6964
472,2019,중구,명동,3603
473,2019,중구,필동,4404
474,2019,중구,장충동,4138
475,2019,중구,광희동,8492
476,2019,중구,을지로동,3345
477,2019,중구,신당5동,28023
478,2019,중구,황학동,41482
479,2019,중구,중림동,26963
480,2019,중구,신당동,16789
481,2019,중구,다산동,29480
482,2019,중구,약수동,36946
483,2019,중구,청구동,42691
484,2019,중구,동화동,42288
486,2019,용산구,후암동,21448
487,2019,용산구,용산2가동,6039
488,2019,용산구,남영동,7069
489,2019,용산구,원효로2동,20730
490,2019,용산구,효창동,23409
491,2019,용산구,용문동,44954
492,2019,용산구,이촌1동,10229
493,2019,용산구,이촌2동,7381
494,2019,용산구,이태원1동,16179
495,2019,용산구,이태원2동,12571
496,2019,용산구,서빙고동,5036
497,2019,용산구,보광동,22341
498,2019,용산구,청파동,22704
499,2019,용산구,원효로1동,28186
500,2019,용산구,한강로동,6771
501,2019,용산구,한남동,7875
503,2019,성동구,왕십리2동,43278
504,2019,성동구,마장동,22890
505,2019,성동구,사근동,12312
506,2019,성동구,행당1동,27903
507,2019,성동구,행당2동,58667
508,2019,성동구,응봉동,28400
509,2019,성동구,금호1가동,34683
510,2019,성동구,금호4가동,18127
511,2019,성동구,성수1가1동,8671
512,2019,성동구,성수1가2동,16556
513,2019,성동구,성수2가1동,15019
514,2019,성동구,성수2가3동,11342
515,2019,성동구,송정동,15237
516,2019,성동구,용답동,5728
517,2019,성동구,왕십리도선동,38565
518,2019,성동구,금호2.3가동,37767
519,2019,성동구,옥수동,13960
521,2019,광진구,화양동,22015
522,2019,광진구,군자동,29877
523,2019,광진구,중곡1동,26269
524,2019,광진구,중곡2동,41025
525,2019,광진구,중곡3동,28858
526,2019,광진구,중곡4동,13153
527,2019,광진구,능동,10889
528,2019,광진구,구의1동,41184
529,2019,광진구,구의2동,20073
530,2019,광진구,구의3동,29504
531,2019,광진구,광장동,15097
532,2019,광진구,자양1동,42379
533,2019,광진구,자양2동,16008
534,2019,광진구,자양3동,24563
535,2019,광진구,자양4동,19828
537,2019,동대문구,회기동,17255
538,2019,동대문구,휘경1동,26203
539,2019,동대문구,휘경2동,23874
540,2019,동대문구,청량리동,18173
541,2019,동대문구,용신동,19965
542,2019,동대문구,제기동,23190
543,2019,동대문구,전농1동,26113
544,2019,동대문구,전농2동,23244
545,2019,동대문구,답십리2동,35866
546,2019,동대문구,장안1동,31322
547,2019,동대문구,장안2동,30317
548,2019,동대문구,이문1동,21453
549,2019,동대문구,이문2동,30687
550,2019,동대문구,답십리1동,36769
552,2019,중랑구,면목2동,35537
553,2019,중랑구,면목4동,18229
554,2019,중랑구,면목5동,15352
555,2019,중랑구,면목7동,25517
556,2019,중랑구,상봉1동,29999
557,2019,중랑구,상봉2동,29182
558,2019,중랑구,중화1동,30759
559,2019,중랑구,중화2동,27831
560,2019,중랑구,묵1동,30013
561,2019,중랑구,묵2동,28430
562,2019,중랑구,망우3동,18122
563,2019,중랑구,신내1동,16148
564,2019,중랑구,신내2동,22126
565,2019,중랑구,면목본동,35837
566,2019,중랑구,면목3.8동,15922
567,2019,중랑구,망우본동,10789
569,2019,성북구,돈암1동,32492
570,2019,성북구,돈암2동,52142
571,2019,성북구,안암동,13159
572,2019,성북구,보문동,29738
573,2019,성북구,정릉1동,44216
574,2019,성북구,정릉2동,20371
575,2019,성북구,정릉3동,4645
576,2019,성북구,정릉4동,8560
577,2019,성북구,길음1동,46939
578,2019,성북구,길음2동,28655
579,2019,성북구,월곡1동,33979
580,2019,성북구,월곡2동,15080
581,2019,성북구,장위1동,29417
582,2019,성북구,장위2동,20854
583,2019,성북구,장위3동,27046
584,2019,성북구,성북동,6148
585,2019,성북구,삼선동,28275
586,2019,성북구,동선동,22296
587,2019,성북구,종암동,28814
588,2019,성북구,석관동,21102
590,2019,강북구,번1동,29718
591,2019,강북구,번2동,18002
592,2019,강북구,번3동,16592
593,2019,강북구,수유1동,13078
594,2019,강북구,수유2동,38489
595,2019,강북구,수유3동,33422
