"구별","동별","주차장면수","인구밀도","평균교통량","평균유동인구","평균직장인구","평균거주인구","차량등록대수","주민인구","면적","승객수","구별_더미"
"강남구","개포1동",3332,5450,1871.16118130782,10043.1666666667,157,66,3875,6922,1.27,1383381,1
"강남구","개포2동",15709,11567,1871.16118130782,10305.3333333333,53,94,10266,29032,2.51,4297670,1
"강남구","개포4동",7438,15865,1871.16118130782,24289.3333333333,56,144,8552,23639,1.49,2200443,1
"강남구","논현1동",21536,17664,1385.57515301318,78993.3333333333,331,183,10388,22080,1.25,22841561,1
"강남구","논현2동",24924,14159,1871.16118130782,77894.3333333333,383,150,10196,20814,1.47,18207161,1
"강남구","대치1동",14116,30185,1871.16118130782,56480.6666666667,252,313,17827,23846,0.79,4610907,1
"강남구","대치2동",27402,18549,1871.16118130782,27973.6666666667,452,184,15041,37098,2,27150232,1
"강남구","대치4동",16756,26700,1871.16118130782,136631.5,464,285,13749,19491,0.73,23160438,1
"강남구","도곡1동",13319,20857,1871.16118130782,55651.6666666667,400,216,8961,21274,1.02,7837032,1
"강남구","도곡2동",25404,32202,1171.24388254486,41328.8333333333,1878,331,13523,32846,1.02,9223380,1
"강남구","삼성1동",20674,6566,1301.44227188082,19761.5,676,70,8432,12739,1.94,19090476,1
"강남구","삼성2동",24425,25050,1871.16118130782,70481.3333333333,498,241,12402,31062,1.24,9433356,1
"강남구","세곡동",21737,6821,997.524702931564,4814.16666666667,3,75,19244,43382,6.36,5309496,1
"강남구","수서동",8415,10071,1871.16118130782,9124.5,109,92,5209,14402,1.43,12619894,1
"강남구","신사동",16304,8400,3808.15558046836,36014.3333333333,161,96,7748,15876,1.89,4478167,1
"강남구","신사동",16304,8400,3808.15558046836,36014.3333333333,161,96,7748,15876,1.89,4478167,1
"강남구","압구정동",21948,10238,1871.16118130782,28364.1666666667,176,108,12258,25902,2.53,22222508,1
"강남구","역삼1동",46901,15130,1036.84584481175,70332.3333333333,724,152,21032,35556,2.35,42861690,1
"강남구","역삼2동",32980,32408,1871.16118130782,95658.3333333333,454,328,15266,37269,1.15,5661607,1
"강남구","일원1동",5810,16290,1915.72823159785,29709.1666666667,27,165,4607,14987,0.92,1201882,1
"강남구","일원본동",11775,8921,1871.16118130782,9876.16666666667,154,101,8307,23015,2.58,5823645,1
"강남구","청담동",26910,10939,2495.56107954545,39481.1666666667,240,113,11873,25489,2.33,6610867,1
"강동구","강일동",16089,14627,2124.16620441775,9627.33333333333,4,95,12728,33057,2.26,3801622,2
"강동구","고덕1동",11848,13826,2124.16620441775,17034.6666666667,11,136,8453,23919,1.73,1232919,2
"강동구","고덕2동",11651,11325,4058.70630372493,10442.5,8,93,7971,22764,2.01,1690238,2
"강동구","길동",17661,20910,2124.16620441775,100750.833333333,60,293,15919,45374,2.17,5802029,2
"강동구","둔촌2동",11512,24772,2124.16620441775,44231,31,165,7998,24277,0.98,5471071,2
"강동구","명일1동",13614,42034,2124.16620441775,91060.1666666667,67,417,8341,25641,0.61,5173806,2
"강동구","명일2동",6628,17863,2124.16620441775,20713,31,190,5792,17327,0.97,4647319,2
"강동구","성내1동",10876,34310,2124.16620441775,95642.1666666667,259,307,8309,19900,0.58,5041439,2
"강동구","성내2동",7869,35116,2124.16620441775,150514.5,37,389,6408,23528,0.67,18924272,2
"강동구","성내3동",10656,32494,2124.16620441775,127091.166666667,72,365,6976,23071,0.71,1565661,2
"강동구","암사1동",11699,33599,2124.16620441775,119367.333333333,53,480,10427,34271,1.02,1047323,2
"강동구","암사2동",7056,12770,2124.16620441775,9790,11,66,5015,15069,1.18,6463595,2
"강동구","암사3동",8124,6965,2124.16620441775,6924.5,17,100,6304,17481,2.51,1163485,2
"강동구","천호1동",9974,37563,2124.16620441775,153365.833333333,37,410,8730,26670,0.71,4393552,2
"강동구","천호2동",16529,21545,297.828081232493,58881.8333333333,21,189,9412,33825,1.57,3758143,2
"강동구","천호3동",11090,33771,2124.16620441775,140073,49,467,7608,26679,0.79,1613402,2
"강북구","미아동",7367,23317,1569.54658347463,58659.6666666667,22,267,4767,21685,0.93,8637666,3
"강북구","번1동",6575,28148,1569.54658347463,97479,41,308,4781,18578,0.66,18429555,3
"강북구","번2동",4328,16207,1569.54658347463,34421.5,14,165,3621,15397,0.95,3053665,3
"강북구","번3동",4842,14954,1569.54658347463,25103.1666666667,12,163,4488,16449,1.1,2491434,3
"강북구","삼각산동",12858,49902,1569.54658347463,45628,21,525,9378,30939,0.62,2437761,3
"강북구","삼양동",6786,25374,1569.54658347463,83779.6666666667,11,258,5922,23090,0.91,4118983,3
"강북구","송중동",9441,29614,1569.54658347463,98740.3333333333,21,280,6999,29910,1.01,11218734,3
"강북구","송천동",7837,28887,1569.54658347463,116135.333333333,20,296,5809,25998,0.9,13885997,3
"강북구","수유1동",5866,12276,1569.54658347463,33660.5,11,122,5595,20501,1.67,4755775,3
"강북구","수유2동",7176,36937,1569.54658347463,95555.1666666667,38,367,5368,21054,0.57,3262112,3
"강북구","수유3동",7327,33025,1569.54658347463,116526,47,320,5000,23778,0.72,7054747,3
"강북구","우이동",6600,1985,1569.54658347463,3332.33333333333,3,20,5875,20407,10.28,5351505,3
"강북구","인수동",9633,9121,1569.54658347463,28897.1666666667,15,109,7514,29916,3.28,3077129,3
"강서구","가양1동",49535,7310,1248.82774980472,4467.33333333333,9,68,26665,34359,4.7,14562012,4
"강서구","가양2동",5314,13902,1248.82774980472,18068.8333333333,29,146,4200,13902,1,696671,4
"강서구","가양3동",5567,29356,1248.82774980472,25190.8333333333,47,224,7575,14678,0.5,733804,4
"강서구","공항동",25818,2845,460.283372213582,3659.33333333333,30,27,11520,30927,10.87,5656682,4
"강서구","등촌1동",13600,39048,1248.82774980472,75359.8333333333,133,371,9259,24991,0.64,4798401,4
"강서구","등촌2동",9611,21582,1248.82774980472,46389.1666666667,55,232,6696,19855,0.92,2514525,4
"강서구","등촌3동",17670,38006,1248.82774980472,55491.5,146,297,9117,30025,0.79,10756283,4
"강서구","발산1동",29360,12325,988.56091516828,19081.6666666667,11,124,13981,36236,2.94,8361847,4
"강서구","방화1동",14206,28953,1248.82774980472,53042.3333333333,67,312,14972,42851,1.48,5860869,4
"강서구","방화2동",15923,3646,2787.59321855931,6112.83333333333,6,42,9349,23371,6.41,12211371,4
"강서구","방화3동",8603,8841,1248.82774980472,13549,26,120,7336,22544,2.55,2665736,4
"강서구","염창동",20668,23924,1248.82774980472,43429.1666666667,100,214,15499,41628,1.74,4548188,4
"강서구","우장산동",19795,31532,1248.82774980472,54566.5,49,344,13841,42883,1.36,10499278,4
"강서구","화곡1동",20220,47006,1248.82774980472,152157,42,428,15999,52647,1.12,24771328,4
"강서구","화곡2동",6412,39522,1248.82774980472,86197.8333333333,34,391,4832,17785,0.45,1622771,4
"강서구","화곡3동",9879,40760,1248.82774980472,72954.1666666667,103,416,6431,21603,0.53,1425640,4
"강서구","화곡4동",8090,25017,1248.82774980472,52201.3333333333,32,244,5844,20514,0.82,1760106,4
"강서구","화곡6동",14487,22795,1248.82774980472,49376.6666666667,104,234,7847,25303,1.11,4825927,4
"강서구","화곡8동",8322,46066,758.873493277701,147860,36,437,6098,24415,0.53,2845792,4
"강서구","화곡본동",12732,34817,1248.82774980472,92905.5,30,381,9200,34121,0.98,2982363,4
"관악구","낙성대동",7295,7898,1044.85391736156,21261.3333333333,44,67,3958,17928,2.27,5321774,6
"관악구","난곡동",6325,27791,1044.85391736156,68298,15,278,6307,26679,0.96,3710853,6
"관악구","난향동",5626,18813,1044.85391736156,19595.5,17,201,4838,15050,0.8,1942662,6
"관악구","남현동",7589,5554,1044.85391736156,14060.5,9,44,4997,18163,3.27,23832091,6
"관악구","대학동",7680,3169,1044.85391736156,8503.33333333333,4,30,4922,26301,8.3,9118250,6
"관악구","미성동",10039,22219,1044.85391736156,41204,27,228,8366,30662,1.38,5231734,6
"관악구","보라매동",8659,32447,1044.85391736156,48372.3333333333,24,306,6187,24660,0.76,3724635,6
"관악구","삼성동",5988,7760,1044.85391736156,17880.1666666667,7,92,5884,20642,2.66,3374736,6
"관악구","서림동",5825,24607,1044.85391736156,45142.8333333333,18,260,5487,24361,0.99,4096358,6
"관악구","서원동",6791,36171,1044.85391736156,82513,45,348,5087,23511,0.65,28336124,6
"관악구","성현동",11815,42397,1044.85391736156,69778.3333333333,105,480,8323,28830,0.68,3103820,6
"관악구","신림동",6791,44217,293.247015107212,162758,38,430,4578,23877,0.54,7432318,6
"관악구","신사동",6735,38623,1044.853917,112582.666666667,69,372,5117,24719,0.64,10187282,6
"관악구","신원동",3668,33855,1044.85391736156,120086.333333333,18,330,3312,18620,0.55,907188,6
"관악구","은천동",11107,42508,1044.85391736156,119790.5,63,457,8686,33156,0.78,4703071,6
"관악구","인헌동",6813,24184,1044.85391736156,94934,48,359,5909,26119,1.08,11293378,6
"관악구","조원동",7215,30582,1044.85391736156,92442.8333333333,50,268,4995,20490,0.67,8792256,6
"관악구","중앙동",4599,40218,1044.85391736156,141799.166666667,37,394,2983,15685,0.39,3156749,6
"관악구","청룡동",10372,31468,1044.85391736156,91949.6666666667,56,292,7592,37132,1.18,28515201,6
"관악구","청림동",4182,50017,1044.85391736156,92526.8333333333,101,513,4357,15005,0.3,1327762,6
"관악구","행운동",8846,41161,1796.46081961591,103413.666666667,58,391,6251,29636,0.72,5390685,6
"광진구","광장동",16425,14377,542.774410774411,20741.8333333333,58,123,11677,34362,2.39,6048120,6
